split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,zk1lXf7Ceiw,176,M,SLOW,SOUTH,1.0,Non-Engineering,Higher Order BVPs,parakeet,transcript_raw,Transcript,..,..,can be written as,can be written as,4.0
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,parakeet,transcript_raw,Transcript,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which","F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which","f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2","f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2",1.875
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),parakeet,transcript_raw,Transcript,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.","In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.","In short time, S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu.","In short time, S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu.",1.8571
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,parakeet,transcript_raw,Transcript,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign","by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign","x by minus 12 by 2 x x x So it is h square by 2 but it had 3 factorial circuits. So, it was 3 factorial and that multiplied by 2, so that it becomes 3. And divided by 2, yes.","x by minus 12 by 2 x x x So it is h square by 2 but it had 3 factorial circuits. So, it was 3 factorial and that multiplied by 2, so that it becomes 3. And divided by 2, yes.",1.85
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,parakeet,transcript_raw,Transcript,considered in problem 45.,considered in problem 45.,"Considered in problem 45. Okay, let us do that.","Considered in problem 45. Okay, let us do that.",1.5
test,nwcOtus_7eo,230,M,SLOW,NORTH,13.909,Engineering,Free Vibration,parakeet,transcript_raw,Transcript,"This is k1 and this is y; that means, k1 y is equal to k2 x minus k2y. Therefore, y is","This is k1 and this is y; that means, k1 y is equal to k2 x minus k2y. Therefore, y is","is a y that means k 1 y is equal to k 2 x minus y k 2 x minus k 2 y. Therefore, y is 1 minus 1 minus 1 y 2 y 2 is 1 y","is a y that means k 1 y is equal to k 2 x minus y k 2 x minus k 2 y. Therefore, y is 1 minus 1 minus 1 y 2 y 2 is 1 y",1.4762
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,parakeet,transcript_raw,Transcript,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, uh but it is an abstraction. We'll we'll talk about how it affects our analysis. So uh as many number of processors as you need, which means it k it is valid for a single processor to a machine of even millions of processors. Yes. Right. Right. Um the so one is the num amount of resources, how much memory I have, how much local versus or shared.","I won't say assumption, uh but it is an abstraction. We'll we'll talk about how it affects our analysis. So uh as many number of processors as you need, which means it k it is valid for a single processor to a machine of even millions of processors. Yes. Right. Right. Um the so one is the num amount of resources, how much memory I have, how much local versus or shared.",1.4
test,SL21aDqgs8Q,220,M,SLOW,EAST,17.64,Engineering,33 Design for Strength,parakeet,transcript_raw,Transcript,are example for a hollow shaft we can see that this comes to be=Td0/2 and Ip will be,are example for a hollow shaft we can see that this comes to be=Td0/2 and Ip will be,"Example for hollow shaft, we can see that this comes out to be equals to T d 0 by 2 and I p will be 0. So, this is the power of the p","Example for hollow shaft, we can see that this comes out to be equals to T d 0 by 2 and I p will be 0. So, this is the power of the p",1.3333
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),parakeet,transcript_raw,Transcript,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look","is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look","Rate could be something like, Well, two people arrive per minute. Okay, so that's two. And I want to ask the question: what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put I'll just substitute K with zero.","Rate could be something like, Well, two people arrive per minute. Okay, so that's two. And I want to ask the question: what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put I'll just substitute K with zero.",1.2083
test,RZQTTfU9TNA,284,M,FAST,SOUTH,29.08,Engineering,Encoders and Decoders,parakeet,transcript_raw,Transcript,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.","normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.","This is a practical 328 decoder. Actually, I can give you the IC number if you want to. It is 74138. Does not matter, do not have to remember numbers. I do not remember numbers. I will always look up the data. In fact, I am not even sure it is 128 or 138. I think it is 138. Somebody has a book, you can have a quick look at it. Anyway, now I have to do this.","This is a practical 328 decoder. Actually, I can give you the IC number if you want to. It is 74138. Does not matter, do not have to remember numbers. I do not remember numbers. I will always look up the data. In fact, I am not even sure it is 128 or 138. I think it is 138. Somebody has a book, you can have a quick look at it. Anyway, now I have to do this.",1.1304
test,kPnr_57oii4,290,M,SLOW,EAST,29.74,Engineering,Other matching networks,parakeet,transcript_raw,Transcript,"course assuming that Q is large, so what is this","course assuming that Q is large, so what is this","Course, approximate assuming that q is large assuming that q is large. So, what is this?","Course, approximate assuming that q is large assuming that q is large. So, what is this?",1.1
test,u_Hku0A_rNQ,210,M,SLOW,NORTH,24.54,Engineering,Lecture-32,parakeet,transcript_raw,Transcript,"right, we need to repeat the first p knots. To do so, we set the last n plus 1 knots as ourf parameter values. We insure that the first","right, we need to repeat the first p knots. To do so, we set the last n plus 1 knots as ourf parameter values. We insure that the first","That is right, we need to repeat the first p naughts. To do so, we set the last n plus 1 naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n","That is right, we need to repeat the first p naughts. To do so, we set the last n plus 1 naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n",1.0345
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),parakeet,transcript_raw,Transcript,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"Much higher compared to the summer. And it is a labor-intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds. Once the sludge is dried, how can we remove it? We have to remove the sludge from the sludge trying bud manually. So, it is a labor-intensive process and the slides are not a slow slow","Much higher compared to the summer. And it is a labor-intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds. Once the sludge is dried, how can we remove it? We have to remove the sludge from the sludge trying bud manually. So, it is a labor-intensive process and the slides are not a slow slow",1.0179
test,vlFdVYAXIxg,125,M,SLOW,EAST,25.89,Engineering,and Computer Aided Design of Filters,parakeet,transcript_raw,Transcript,"X 3 its fine, what about X 4, X 5, X 6, X 7? Now you see, W N Say W 8, N is 8 in our case .W 8, 5 W 8, 4 how much is it? Minus 1? W 8, 5 minus W 9,","X 3 its fine, what about X 4, X 5, X 6, X 7? Now you see, W N Say W 8, N is 8 in our case .W 8, 5 W 8, 4 how much is it? Minus 1? W 8, 5 minus W 9,","Then added with G 3, it will give me x 3, it is fine. What about x 4, x 5, x 6, x 7? Now, you see w n say w 8 n is 8 in our case, w 8","Then added with G 3, it will give me x 3, it is fine. What about x 4, x 5, x 6, x 7? Now, you see w n say w 8 n is 8 in our case, w 8",0.9783
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,parakeet,transcript_raw,Transcript,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here","n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here","One thing you have a numerical methods problem, generally we work on shared memory model, but people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.","One thing you have a numerical methods problem, generally we work on shared memory model, but people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.",0.9756
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,parakeet,transcript_raw,Transcript,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"By what is the concentration of B n plus in the solution? So, Rn minus B n plus resin means active activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.","By what is the concentration of B n plus in the solution? So, Rn minus B n plus resin means active activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.",0.9574
test,qBw8ZQrJeys,292,M,SLOW,SOUTH,7.01,Engineering,Level Testing,parakeet,transcript_raw,Transcript,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.","that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.",This will continue in the next slide.,This will continue in the next slide.,0.9333
test,6CwSfoOR7-U,50,M,SLOW,EAST,15.7,Engineering,25,parakeet,transcript_raw,Transcript,"Therefore, if you look at the sway moments, they turn out to be equal toů.","Therefore, if you look at the sway moments, they turn out to be equal toů.","So, this for, therefore, if you look at the sway moments, if you look at the sway moments, they turn out to be equal to m m","So, this for, therefore, if you look at the sway moments, if you look at the sway moments, they turn out to be equal to m m",0.9333
test,vlImg6wCr8M,195,M,AVG,SOUTH,24.56,Engineering,Op-Amp Circuits and Signal conditioning for Microsystems Devices,parakeet,transcript_raw,Transcript,that is v0 = v01 which v1 x r2/r1 +v02 which is –v2 x r2/r1 so that is r2/r1 x v1-v2. so ultimately what we conclude is this is an amplifier which uses an output = the difference between the 2 v1-v2. if v1 is connected to this + terminal v2 is connected to – terminal,that is v0 = v01 which v1 x r2/r1 +v02 which is –v2 x r2/r1 so that is r2/r1 x v1-v2. so ultimately what we conclude is this is an amplifier which uses an output = the difference between the 2 v1-v2. if v1 is connected to this + terminal v2 is connected to – terminal,"which is V 1 into R to bar 1 plus V naught 2, which is minus V 2 into R to bar 1. So, that is R to bar 1 into V 1 minus V 2. So, ultimately what we conclude is, this is an amplifier which gives an output equal to the difference between the two V 1 minus V 2. If V 1 is connected to this plus termial, V 2 is connected to minus terminal.","which is V 1 into R to bar 1 plus V naught 2, which is minus V 2 into R to bar 1. So, that is R to bar 1 into V 1 minus V 2. So, ultimately what we conclude is, this is an amplifier which gives an output equal to the difference between the two V 1 minus V 2. If V 1 is connected to this plus termial, V 2 is connected to minus terminal.",0.9107
test,9rEn4MNpZS4,211,M,SLOW,EAST,21.67,Engineering,Approximate Methods - II,parakeet,transcript_raw,Transcript,"fixed and free ends. So, once again","fixed and free ends. So, once again","Uh fixed and the free ends. So, once again, this is the","Uh fixed and the free ends. So, once again, this is the",0.8571
