split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,281474976884635_f3269_chunk_0.wav,,8.7595,Female,18-30,Kannada,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.,,our district hasana was the land of the great hoysala dynasty who ruled over this region from eleventh to fourteenth century ce
test,281474976885801_f2235_chunk_24.wav,,3.1000625,Female,30-45,Kannada,There is a gradual shift in the mentality,,there is a gradual shift in the mentality
test,281474976925705_f2479_chunk_0.wav,,0.4500625,Female,18-30,Dogri,Wow,,now
test,281474976901104_f2909_chunk_0.wav,,2.721125,Female,45-60,Maithili,Nipah virus belongs to  the,,nipa virus belongs to the
test,281474976888137_f2862_chunk_0.wav,,3.6943125,Male,30-45,Maithili,How much money is left in my Arunachal Pradesh Rural Bank account?,,how much money is left in my arunachural puddhs rural bank account
test,281474976897257_f2902_chunk_0.wav,,8.5104375,Female,30-45,Bengali,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.,,govnda has received twelve filmfare award nominations and four z ce awards
test,281474976897459_f2145_chunk_1.wav,,1.7331875,Male,45-60,Bodo,There are many big rivers,,there are many big rivers
test,281474976893913_f2002_chunk_19.wav,,3.9504375,Male,30-45,Bodo,where it is joined by other branches to form the Brahmaputra,,where it is joined by other branches to form the brahmaputra
test,281474976887171_f3278_chunk_0.wav,,7.96,Female,18-30,Malayalam,There have been many attempts recently to make sure that the people maintain their,,there have been many attempts recently to make sure that the people maintain their
test,281474976889893_f2012_chunk_0.wav,,3.949,Female,18-30,Dogri,"Jammu, Samba, Kathua, Rajouri, Poonch",,jamu samba katua rajori punch
test,281474976888630_f3289_chunk_6.wav,,5.48,Male,45-60,Kannada,"Among the poets, I remember William Wordsworth, T.S.",,among the poets i remember william wordsworth t s el
test,281474976901801_f1956_chunk_0.wav,,6.1086875,Female,30-45,Assamese,What are the main social welfare and development programs and initiatives in your district?,,what are the main social welfare and development programs and initiatives in your district
test,281474976884131_f3182_chunk_7.wav,,2.5345625,Female,18-30,Marathi,normal competitions what we have.,,the normal competitions what we have
test,281474976893178_f1746_chunk_2.wav,,3.865125,Female,60+,Odia,what is an usual word and what is unusual words and phrases,,what is an usual word and what is unusual words and phrases
test,281474976888910_f3173_chunk_1.wav,,11.12,Male,18-30,Nepali,see this track as my professionalism but I used to manage some time in writing as my,,see this track as my professionalism but i used to manage some time in writing as well
test,281474976891399_f2256_chunk_0.wav,,1.4345,Male,30-45,Malayalam,Can you speak 5 numbers,,can you speak fiveine numbers
test,281474976888891_f3059_chunk_0.wav,,3.8423125,Male,18-30,Nepali,Will I be able to pay using UPI apps on Hotstar website?,,will i be able to pay using upi apps on herotstarle website
test,281474976894763_f2870_chunk_0.wav,,0.9681875,Female,30-45,Nepali,Backward,,backward
test,281474976891379_f346_chunk_0.wav,,1.8966875,Male,30-45,Malayalam,define the word absolute,,define the word absolute
test,281474976883853_f3233_chunk_0.wav,,7.9886875,Male,45-60,Nepali,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,,meghala is one of the less developed or underdeveloped states in northeastern india
test,281474976888952_f1897_chunk_1.wav,,12.1041875,Female,18-30,Konkani,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.",,could literally feel how the people live in villages how difficult their lives are what all circumstances they go through and i could sympathize with them
test,281474976893301_f2100_chunk_1.wav,,13.5411875,Female,45-60,Hindi,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,,it is something which gives you warmth and the flavours are very different from the kind of food we as north indians eat
test,281474976900640_f2173_chunk_4.wav,,25.48975,Male,30-45,Urdu,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,,it is not only restricted to schoolb books the schoolgers are asked by their rss appointed teachers to attend the rss shakas from a young age thus enabling the sang parivwa to indoctrinate young impressionable minds
test,281474976898128_f2237_chunk_0.wav,,14.1029375,Female,18-30,Odia,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier",,so as in our state the government is launching a lot of programs and schemes for business dealers and owners to make the traditional way of business into digitalization as it is more easier
test,281474976884181_f1862_chunk_1.wav,,12.1811875,Male,60+,Punjabi,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",,on each and every subject and he deftly deals with handles all the good part of the happenings around the world
test,281474976888157_f3255_chunk_7.wav,,4.48,Male,30-45,Maithili,So these are some of the features of Mithila cooking.,,so these are some of the features of midla cooking
test,281474976887664_f1766_chunk_0.wav,,14.646375,Male,60+,Konkani,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience
test,281474976893764_f1557_chunk_0.wav,,0.5244375,Male,30-45,Punjabi,Play,,pole
test,281474976900326_f424_chunk_0.wav,,0.679625,Male,45-60,Kashmiri,Visual,,which one
test,281474976886877_f3160_chunk_4.wav,,8.0826875,Female,18-30,Tamil,"And also, people speaking English have different accents in different regions.",,and also people speaking english have different accents in different regions
test,281474976893787_f3214_chunk_1.wav,,7.0,Male,30-45,Punjabi,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",,district education health care poverty reduction women's empowerment
test,281474976893075_f2114_chunk_7.wav,,1.484875,Male,60+,Marathi,source language,,source language
test,281474976896704_f1716_chunk_3.wav,,1.0956875,Female,45-60,Telugu,"trains,",,brains
test,281474976895627_f1138_chunk_0.wav,,0.395,Male,30-45,Assamese,Cat,,again
test,281474976894265_f3140_chunk_2.wav,,5.0868125,Female,30-45,Kashmiri,"Through poetry, I can put my thoughts on a display more creatively.",,through poetry i can put my thoughts on a display more creatively than
test,281474976883948_f1921_chunk_6.wav,,1.5471875,Female,18-30,Malayalam,The main food of,,the main foot of
test,281474976888909_f3258_chunk_4.wav,,10.13425,Male,18-30,Nepali,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature
test,281474976885520_f1686_chunk_2.wav,,3.9085,Male,18-30,Kannada,our local traditions and beliefs by giving an opportunity,,our local traditions and beliefs by giving an opportunity
test,281474976903872_f1626_chunk_0.wav,,7.0956875,Female,45-60,Nepali,Are there any vaccination centres available in South Goa district for age group 18+ years,,are there any vaccination centres available in south goa district for age group eighteen plus years
test,281474976899454_f1985_chunk_1.wav,,9.5431875,Female,30-45,Marathi,hang on the rock. I find it useful and best because it helps me that we climb faster.,,hang on the rock and i find it useful and best because it helps me helps me climb faster
test,281474976897558_f1287_chunk_0.wav,,9.697,Female,18-30,Hindi,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years,,can you list all the vaccination centres where first dose of co vaccine is available for age groups fifteen to seventeen years
test,281474976886709_f3213_chunk_5.wav,,5.0,Female,45-60,Telugu,and they went off into the space when earth was burning up or being destroyed,,they went off into the space when earth was burning up or being destroyed
test,281474976886998_f3238_chunk_3.wav,,1.48,Female,45-60,Telugu,that I came here.,,that i came here some
test,281474976901435_f1232_chunk_0.wav,,3.3408125,Male,45-60,Urdu,send a complaint to consumer service of this company,,send a complaint to consumer service of this company
test,281474976894274_f2214_chunk_12.wav,,6.55,Female,30-45,Kashmiri,"In the university, I learned the technicalities of language since I am a linguistics student.",,in the university i learned the technicalities of language since i amm a linguistics student
test,281474976887166_f3220_chunk_4.wav,,11.12,Female,18-30,Malayalam,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,",,embroidery and their view they used to teach us the basic ele embroidery patterns like running stitch
test,281474976898577_f1235_chunk_0.wav,,6.8309375,Male,60+,Bengali,Book a HP gas cylinder using my registered contact number 79083174897,,book a h p g cylinder using my registered contact number seven nine zero eight three one seven four eight nine seven
test,281474976894274_f2214_chunk_3.wav,,11.43175,Female,30-45,Kashmiri,English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language.,,english was taught quite effectively by our teachers they stressed upon the importance and use of grammar and the students were expected to give their hundred percent in learning the language
test,281474976902188_f2127_chunk_7.wav,,2.89975,Female,45-60,Urdu,the colleges of art literature,,the colleges of art literature
test,281474976886876_f2174_chunk_2.wav,,8.458125,Female,18-30,Tamil,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift",,the change in season for example it is extremely cold during the winters and is extremely hot during the summer so this shift
test,281474976894291_f2897_chunk_0.wav,,3.0410625,Male,18-30,Bengali,Show my DTH bill readings from the last 6 months.,,show my dt bill readings from the last six months
test,281474976883998_f2011_chunk_4.wav,,12.4730625,Male,18-30,Gujarati,And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,,and not much is left at the behest of the writer or author and the grammar punctuation is very well structured and written and documented as well
test,281474976884135_f3212_chunk_6.wav,,1.24,Female,18-30,Marathi,to everybody.,,to everybody
test,281474976887086_f1867_chunk_6.wav,,14.36525,Female,30-45,Gujarati,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",,the radiation the chemotherapy everything every option for cancer treatment is available over here and it is largely used not only by the people of gujarat but also by the nearby states
test,281474976888952_f3218_chunk_3.wav,,5.04,Female,18-30,Konkani,"how difficult their lives are, what all circumstances they go through,",,how difficult their lives are what all circumstances they go through
test,281474976896655_f2403_chunk_0.wav,,9.2244375,Female,45-60,Telugu,You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal,,you are two hours late than the delivery time for my products panten bamboo shampoo and twenty four mantra chanadal
test,281474976900629_f577_chunk_0.wav,,2.938875,Male,30-45,Urdu,List all items from Pet food items.,,list all items from pet food items
test,281474976896697_f3121_chunk_0.wav,,4.2363125,Female,45-60,Telugu,What is your favorite painting style or technique and why?,,what is your favourite painting style or technique and why
test,281474976900290_f379_chunk_0.wav,,2.589375,Male,45-60,Kashmiri,show me what day the thirty first is on,,show me what day the thirty first is on
test,281474976898094_f2705_chunk_0.wav,,7.303625,Female,18-30,Odia,Are there any vaccination centres available in Bhandara district for age group 15-17 years,,are there any vaccination centres available in pandara district for age group fifteen to seventeen years
test,281474976900596_f3268_chunk_6.wav,,6.486625,Male,30-45,Urdu,whereby humans are entrusted with the safe keeping of earth and its variety of life.,,whereby humans are entrusted with the safe keeping of earth and its variety of life
test,281474976894937_f1920_chunk_2.wav,,8.9308125,Female,30-45,Malayalam,It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.,,it's an about abused malali im migrant worker employed in saudi arabia as a godather against his will
test,281474976894270_f2003_chunk_6.wav,,6.7960625,Female,30-45,Kashmiri,The intricate yet beautiful floral motifs on paper mashi products are in,,the intricate yet beautiful floral motifs on paper mashi products are in
test,281474976897395_f3303_chunk_3.wav,,6.56,Male,18-30,Odia,So there are a lot of beaches throughout the eastern coastline of Odisha.,,so there are a lot of beaches throughout the eastern coastline of odessa on
test,281474976888873_f2272_chunk_2.wav,,8.42525,Female,18-30,Nepali,and after that we celebrate Chaitra Dasai and after that we celebrate Dasai,,and after that we celebrate chit dasi and after that we celebrate dasi
test,281474976901155_f2246_chunk_4.wav,,1.427,Female,45-60,Maithili,I use some words,,i use some words
test,281474976889220_f3112_chunk_13.wav,,6.12,Female,30-45,Urdu,"Some of the other regional languages are Tulu, Kodava, Konkani, Bihari and Urdu.",,some of the other regional languages are tulu kodawa konkani bari and urdu
test,281474976901603_f2233_chunk_0.wav,,4.933625,Female,30-45,Maithili,Biodiversity actually plays a very important role in my garden,,biodiversity actually plays a very important role in my garden
test,281474976885804_f1685_chunk_1.wav,,4.14975,Female,30-45,Kannada,with the leading newspapers such as Bangalore Mirror,,with the leading newspapers such as bangalore mirror
test,281474976888129_f2720_chunk_0.wav,,1.99025,Male,30-45,Maithili,when was dev anand born,,when was devanon born
test,281474976888157_f3255_chunk_3.wav,,17.75,Male,30-45,Maithili,And Taruah is something in which any vegetable is fried or some of the leaves like there is one leaf called known as Tilkor.,,and turua is something in which any vegetable is fried or some of the leaves like there is one leaf called nonas tilkor
test,281474976888201_f1854_chunk_3.wav,,4.8235,Female,18-30,Punjabi,"end of the year which are a source of great joy and fun, especially for the kids.",,end of the year which are a source of great joy and fun especially for the kids
test,281474976895431_f3247_chunk_9.wav,,5.0270625,Male,18-30,Konkani,The government of Goa and the tourism department must promote these places,,the government of goa and the tourism department must promote these places
test,281474976902167_f389_chunk_0.wav,,0.2343125,Female,45-60,Urdu,Up,,
test,281474976897535_f2230_chunk_6.wav,,2.901125,Male,30-45,Sindhi,like the physical practice of yoga,,like the physical practice of yoga
test,281474976903206_f1342_chunk_0.wav,,0.402625,Female,45-60,Tamil,Three,,three
test,281474976897706_f2738_chunk_0.wav,,0.3774375,Male,60+,Odia,Stop,,so
test,281474976893138_f110_chunk_0.wav,,3.779125,Female,60+,Odia,"Further, undue influence rarely occurs on its own.",,further undue influence rarely occurs on its own
test,281474976897399_f2215_chunk_10.wav,,1.324625,Male,18-30,Odia,and,,and uh
test,281474976884628_f2121_chunk_4.wav,,13.8574375,Female,18-30,Kannada,mint tea is a very great refreshing drink and this vandalaga and dodapathre can be used in preparation of a regional delicacy called one thambuli,,mint tea is a very great refreshing drink and this ondalag and dodaapatre can be used in preparation of a regional delicacy called one tambuli
test,281474976891552_f1370_chunk_0.wav,,5.593125,Male,30-45,Konkani,"Again, Dayanand was well received and the Rajkot group elected to join his cause.",,again danan was well received and the rjkod group elected to join his cause
test,281474976893068_f2055_chunk_2.wav,,3.2245,Male,60+,Marathi,The major challenge faced by students in Maharashtra,,the major challenge faced by students in maharashtra
test,281474976887077_f3162_chunk_0.wav,,3.647,Female,30-45,Gujarati,Can you speak the five dates that you remember?,,can you speak the five dates that you remember
test,281474976884359_f2087_chunk_4.wav,,9.6023125,Female,18-30,Tamil,Mysore has propagated the art of sandalwood carving and Chennapatna toys are very famous and are often gifted as presents for special occasions,,mysore has propagated the art of sandalwood carving and chandapatna toys are very famous and are often gifted as presents for special occasions
test,281474976894267_f3266_chunk_3.wav,,5.72,Female,30-45,Kashmiri,and mostly those who are not able to find government jobs in both teaching and non-teaching sectors,,and mostly those who are not able to find government jobs in both teaching and non teaching sectors
test,281474976897117_f2288_chunk_1.wav,,3.9696875,Male,18-30,Hindi,invest in mutual funds where risk is low.,,invest in mutual funds where risk is low
test,281474976888160_f3202_chunk_3.wav,,6.703,Male,30-45,Maithili,The city was mostly developed by the Maharajas of Dharbhanga like Lakshmishwar Singh and Kameshwar Singh.,,the city was mostly developed by the maharajas of drahanga like lakshmi surur singh and kamish surur singh
test,281474976900603_f2255_chunk_27.wav,,1.9818125,Male,30-45,Urdu,on both the sides of river,,on both sides of river
test,281474976897070_f2946_chunk_0.wav,,3.91025,Male,18-30,Hindi,Can I avail any extra discount offers on Cereals this year?,,can i avail any extra discount offers on cereahs this year
test,281474976887089_f1758_chunk_1.wav,,4.067625,Female,30-45,Gujarati,main medium of communication has been Gujarati,,main medium of communication has been gujarati
test,281474976894267_f3266_chunk_8.wav,,14.17025,Female,30-45,Kashmiri,Stone-penetrating which is a reaction to the Indian rule in Kashmir again poses a threat to education since  youth the youth of Kashmir is involved in these activities rather than going to school.,,stone penelting which is a reaction to the indian rule in kashmir again poses a threat to education since youth the youth of kashmir is involved in these activities rather than going to school
test,281474976883831_f1642_chunk_0.wav,,3.24325,Male,45-60,Nepali,What's my Fin care is Small Finance Bank account balance?,,watch's my finger small finance bank account balance
test,281474976888160_f3202_chunk_1.wav,,6.4229375,Male,30-45,Maithili,"It was a capital of Raj, Dharbhanga, an estate established in the 16th century.",,it was a capital of raj drabanga an estate established in the sixteenth century
test,281474976887784_f298_chunk_0.wav,,1.666125,Female,45-60,Telugu,define the word novel,,define the word novel
test,281474976884267_f1694_chunk_0.wav,,4.778375,Male,45-60,Tamil,"We differ from other countries in terms of food, in terms of dress",,we differ from other countries in terms of food in terms of dress
test,281474976897288_f1126_chunk_0.wav,,0.7803125,Female,30-45,Bengali,Forward,,forward
test,281474976885801_f2235_chunk_16.wav,,4.6668125,Female,30-45,Kannada,for higher education they have to travel or shift to a,,for higher education they have to travel or shift a tour
test,281474976896056_f280_chunk_0.wav,,0.3625625,Male,30-45,Kannada,Agree,,agree
test,281474976894213_f155_chunk_0.wav,,5.21525,Female,30-45,Kashmiri,Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.,,anura kashap is an indian filmmaker and actor known for his works in hindi cinema
test,281474976894892_f328_chunk_0.wav,,2.433125,Female,30-45,Malayalam,what type of learning system do you use,,what type of learning system do you use
test,281474976887814_f3207_chunk_0.wav,,4.56,Female,45-60,Telugu,Different nations face different complex problems in various domains.,,different nations face different complex problems in various domains
test,281474976915906_f3221_chunk_1.wav,,11.0,Female,30-45,Nepali,"Commonly here, the culture is followed according to the norms of Nepali people.",,commonly here the culture is followed m according to the norms of nepali people
test,281474976906740_f2821_chunk_0.wav,,0.9239375,Male,18-30,Assamese,new list,,new list
test,281474976894775_f2871_chunk_0.wav,,0.7199375,Female,30-45,Nepali,Skip,,skip
test,281474976890909_f2938_chunk_0.wav,,8.5980625,Female,45-60,Konkani,Dostana was a commercial success and grossed 871 million Indian Rupees Worldwide.,,dostana was a commercial success and grossed eight seventy one million indian rupees worldwide
test,281474976915904_f3186_chunk_1.wav,,9.9,Female,30-45,Nepali,by Badrinarayan Pradhan from its original book written by Meksim Gurki in his noble mother.,,by badrinaren pradan from its original work written by maskim gurki in his noble mother
test,281474976883957_f1030_chunk_1.wav,,2.371,Male,18-30,Gujarati,this incident was the third major attack this week.,,this incident was the third major attack this week
test,281474976891520_f1080_chunk_0.wav,,5.25525,Female,45-60,Telugu,Do I have enough money in my SBI account to make a transaction of 400 Rs ?,,do i have enough money in my s b i account to make a transaction of four hundred rupees
test,281474976901789_f1955_chunk_0.wav,,2.2385625,Female,30-45,Assamese,Can you speak five district names?,,can you speak fiveipe district names
test,281474976901793_f1768_chunk_0.wav,,4.24875,Female,30-45,Assamese,What is your favorite painting style or technique and why?,,what is your favorite painting style or technique and why
test,281474976887704_f3204_chunk_6.wav,,6.575,Male,30-45,Gujarati,"And I think in all the major cities of Gujarat,",,and i think in all the major cities of gujarat
test,281474976891408_f1727_chunk_1.wav,,1.1205,Male,30-45,Malayalam,your singing technique,,your singing technique
test,281474976901602_f2119_chunk_10.wav,,4.7203125,Female,30-45,Maithili,"So, providing a sense of depth when they coverage or cross over other lines",,so providing a sense of depth when they coverage or cross over other lines
test,281474976884190_f689_chunk_0.wav,,1.2201875,Male,18-30,Telugu,what is the weather like,,what is the weather like
test,281474976897475_f711_chunk_0.wav,,3.104625,Male,30-45,Sindhi,what's the recipe for pasta sauce,,what's the recipe for pasta sauce
test,281474976900602_f2216_chunk_12.wav,,1.050125,Male,30-45,Urdu,etc,,et cetera
test,281474976899796_f2149_chunk_3.wav,,8.5755625,Female,30-45,Odia,"and also to school, providing computers and books to the school students",,and also the school providing computer and books to the school students
test,281474976901155_f2246_chunk_5.wav,,5.5085625,Female,45-60,Maithili,and I try to make songs of my own style and own rhythms.,,and i tried to make songs of my own style and own rhythms
test,281474976886876_f2174_chunk_0.wav,,9.166,Female,18-30,Tamil,The season or the climate in my district is generally dry and it's a comfortable weather. It's not very sunny or very cold.,,the season or the climate in my district is generally dry and it's a comfortable weather it's not very sunny or very cold
test,281474976894337_f2017_chunk_0.wav,,22.449875,Male,18-30,Bengali,"My favorite English TV show is Breaking Bad. I didn't watch it live when it started broadcasting, but I watched it later and when I watched it there were five seasons and it was extremely thrilling, grippy and all the familiar issues and other external societal issues has been addressed with such a great expertise.",,my favorite english tv show is breaking bad i didn't watch it live when it started broadcasting but i watched it later and when i watched it there were five seasons and it was extremely thrilling creepy and all the familial issues and other external societal issues has been addressed with such a great expertise
