duration_bucket,model,corpus_wer_pct
0-5s,tiny,30.0
0-5s,base,25.0
0-5s,small,25.0
0-5s,medium,25.0
0-5s,large,25.0
0-5s,large_v3_turbo,35.0
0-5s,parakeet,40.0
0-5s,parakeet_ctc,30.0
0-5s,qwen3,30.0
0-5s,medium_hf,25.0
0-5s,medium_ft,35.0
0-5s,tiny_hf,30.0
0-5s,tiny_ft,60.0
0-5s,small_hf,25.0
0-5s,small_ft,35.0
5-15s,tiny,27.67
5-15s,base,25.11
5-15s,small,22.46
5-15s,medium,21.61
5-15s,large,25.28
5-15s,large_v3_turbo,26.99
5-15s,parakeet,23.91
5-15s,parakeet_ctc,25.36
5-15s,qwen3,23.65
5-15s,medium_hf,21.01
5-15s,medium_ft,20.92
5-15s,tiny_hf,27.24
5-15s,tiny_ft,27.75
5-15s,small_hf,21.86
5-15s,small_ft,23.06
15-30s,tiny,18.85
15-30s,base,16.97
15-30s,small,14.9
15-30s,medium,13.82
15-30s,large,14.77
15-30s,large_v3_turbo,16.69
15-30s,parakeet,14.96
15-30s,parakeet_ctc,15.79
15-30s,qwen3,15.98
15-30s,medium_hf,12.2
15-30s,medium_ft,12.29
15-30s,tiny_hf,19.91
15-30s,tiny_ft,17.46
15-30s,small_hf,13.12
15-30s,small_ft,13.84
30-60s,tiny,21.64
30-60s,base,19.63
30-60s,small,22.6
30-60s,medium,19.83
30-60s,large,22.35
30-60s,large_v3_turbo,24.51
30-60s,parakeet,18.93
30-60s,parakeet_ctc,19.83
30-60s,qwen3,20.62
30-60s,medium_hf,25.41
30-60s,medium_ft,25.69
30-60s,tiny_hf,38.52
30-60s,tiny_ft,29.88
30-60s,small_hf,52.54
30-60s,small_ft,34.03
60s+,tiny,34.56
60s+,base,33.33
60s+,small,45.87
60s+,medium,37.31
60s+,large,38.23
60s+,large_v3_turbo,56.57
60s+,parakeet,18.35
60s+,parakeet_ctc,20.18
60s+,qwen3,20.8
60s+,medium_hf,119.27
60s+,medium_ft,133.03
60s+,tiny_hf,39.14
60s+,tiny_ft,44.34
60s+,small_hf,18.96
60s+,small_ft,27.83
