split,ID,Speaker_ID,Speech_Duration_seconds,Accent,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,4.906,INDIAN,in accordance to your request i am sending you sample pages of the dictionary,,"In accordance to your request, I am sending you sample pages of the dictionary."
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,3.874,INDIAN,i want to listen to joy to the world again,,I want to listen to joy to the world again.
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,3.479,INDIAN,i want to listen to secret lovers again,,I want to listen to secret lovers again.
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,laundry reminder,,Laundry Reminder
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,6.331,INDIAN,the pupil's party have got the election sewn up they are sure to win,,"The pupils party have got the election, so when up they are sure to win."
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,5.306,INDIAN,fill in the chart write names of your favorite band book and movie,,"Fill in the chart write names of your favorite band, book and movie."
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,5.245,INDIAN,how much is stayfree sanitary pad drymax all night,,How much is a step free sanitary pad dry max all night?
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,3.715,INDIAN,replay the song gaal ni kadni,,"Replay the song, Gal Ni Kad Ni"
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,6.375,INDIAN,in a scramble in front of the goal the ball was kicked in,,"In a scramble in front of the goal, the ball was kicked in."
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,7.685,INDIAN,the meeting was a dud as far as new business was concerned,,The meeting was a dud as far as new business was concerned.
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,play songs by mynampati sreeram chandra,,Play Songs by Maya Pathy Shri Ram Chandra
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,stop playing the mill,,"Stop playing, Damile."
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,AESRC2020-INDIAN-ACCENT-G00942,4.747,INDIAN,we must put our heads together and decide what to do,,We must put our heads together and decide what to do.
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1300,AESRC2020-INDIAN-ACCENT-G00942,5.913,INDIAN,the mother set her naughty son over her knee and beat him,,The mother set her naughty son over her knee and beat him.
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2353,AESRC2020-INDIAN-ACCENT-G00942,6.93,INDIAN,remove the show ogo bodhu sundori from my watch list,,"Remove the show, Ogo, BDHU Sundari from my watchlist."
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2355,AESRC2020-INDIAN-ACCENT-G00942,4.583,INDIAN,what times can i visit akshardham temple,,What times can I visit Akshardham temple?
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S3370,AESRC2020-INDIAN-ACCENT-G00942,2.132,INDIAN,it's time to cook,,It's time to cook.
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S1298,AESRC2020-INDIAN-ACCENT-G00967,6.115,INDIAN,this ocean is much deeper than the water oceans of the earth,,This ocean is much deeper than the water oceans of the earth.
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S1299,AESRC2020-INDIAN-ACCENT-G00967,6.36,INDIAN,an english idioms is set expression made of two or more words,,And English idioms is set expression mat of two or more words.
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S2354,AESRC2020-INDIAN-ACCENT-G00967,4.935,INDIAN,i want to make a playlist from the song so sincere,,I want to make a playlist from the song so sincere.
