split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,lLbFCGEDUbo,146,M,SLOW,EAST,19.699,Non-Engineering,Purusharthas,parakeet,hf_clean,alt,the one s t time because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,the one s t time because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,"The first time. And therefore, because I find a lot of them have plagiarized, therefore, I will not deduct or make any punishment for plagiarism. Then, what the teacher tends to be arriving it as, is, arriving",the first time and therefore because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,0.1081,0.1005,0.9118,1.0
test,6og4v4zQxt0,322,M,FAST,SOUTH,22.899,Non-Engineering,Soil and Water Assessment Tools (SWAT) Model,parakeet,hf_clean,alt,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere,"Of category. But there the problem is about the parameters which are being monitored of a particular region. Whereas, when it comes down to the agriculture activities and agriculture or any other land-based activities, we do not have enough monitoring stations or input parameters are not available uniformly everywhere.",of category but there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or input parameters are not available uniformly everywhere,0.0385,0.0278,0.9762,0.9615
test,uUzDQA7qJPI,327,M,SLOW,SOUTH,24.661,Engineering,38 PLL(PHASE LOCKED LOOP),parakeet,hf_clean,alt,that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,"And it will be widening here, assuming that ultimately, let us say the DC should shift in such a manner that it should go from Vcq to some other value, which is going to change the frequency to that value. So, that value of frequency, let us say, is this corresponding to V C.",and it will be widening here assuming that ultimately let us say the dc should shift in such a manner that it should go from vcq to some other value which is going to change the frequency to that value so that value of frequency let us say is this corresponding to v c,0.3091,0.2351,0.9091,0.9818
test,x6937JZof3A,150,F,AVG,EAST,23.69,Non-Engineering,Space,parakeet,hf_clean,alt,extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,"Extra or beyond the physical, that is symbolic, political, sentimental, or emotional, identity-creating, and metaphorical. Now, there are certain themes about space, which Nair brings to us in his book on Introduction to Cultural Studies, through a theorist named Doreen Massey.",extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which nair brings to us in his book on introduction to cultural studies through a theorist named doreen massey,0.1111,0.0737,0.95,0.9333
test,5IhMAUDmlaE,201,M,FAST,NORTH,21.549,Engineering,Piezoelectric Material -- II: Applications,parakeet,hf_clean,alt,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the one hundred microns which allow you see reaching them the higher electrical fields even more than we can say you know,"Extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics, there are you know like various layers are there in the ceramics, and using these layers thinner than the hundred microns, which allow you see reaching then the higher electrical fields, even more than we can say.",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the hundred microns which allow you see reaching then the higher electrical fields even more than we can say,0.0656,0.0423,0.9535,0.9508
test,wWsl48VLfVY,308,M,FAST,SOUTH,25.561,Non-Engineering,38 Creativity and Managing Innovation Process -II,parakeet,hf_clean,alt,so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,"So, it is not enough, good enough to throw up a set of ideas, but to understand its total implication at the individual level, group level, as well as at the organizational level. Also, you have to see historically what influences of where we have done similar things and been very successful, but also look at the cost and the time implications within the",so it is not enough good enough to throw up a set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the cost and the time implications within the,0.0781,0.0462,0.9778,1.0
test,BvJXc1DQI-0,272,M,AVG,EAST,23.23,Non-Engineering,Special Techniques II,parakeet,hf_clean,alt,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,"Expansion of the numbers. So, let us see how we can work it out. So, this is, I got an expression here. I can simply notice that if you pull out this a square from there, this will go to the numerator and will cancel with.",expansion of the numbers so let us see how we can work it out so this is i got an expression here i can simply notice that if you pull out this a square from there this will go to the numerator and will cancel with,0.0417,0.0183,1.0,0.9583
test,3_GaTA2VGrA,225,M,SLOW,SOUTH,23.14,Engineering,Fundamental Ideas,parakeet,hf_clean,alt,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,"addition. We can actually illustrate this much more clearly when we demonstrate the states graphically. But since entropy increases, P02 cannot be equal to P01, P02 has to be less than P01. So, heat addition, even if you have heat addition in a reversible process, even a reversible heat addition process.",addition we can actually illustrate this much more clearly when we demonstrate the states graphically but since entropy increases p02 cannot be equal to p01 p02 has to be less than p01 so heat addition even if you have heat addition in a reversible process even a reversible heat addition process,0.28,0.1956,0.9118,1.02
test,Ew5hHweMUkA,49,M,AVG,SOUTH,19.471,Engineering,7 Soil Mechanics,parakeet,hf_clean,alt,"In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.",in the case of earth dam different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength,"In the case of ethodam, a different gradations are required in the different zones. So, the selection of fill material is important where the gradation will come into the picture because for certain types of constructions, you are required to have a well-graded materials to contribute to the strength.",in the case of ethodam a different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain types of constructions you are required to have a well graded materials to contribute to the strength,0.102,0.0375,0.8889,1.0204
test,wW1kjrnktDU,160,M,FAST,SOUTH,30.79,Non-Engineering,Risk Management-II,parakeet,hf_clean,alt,a equipment if it is construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contract are you know monitor and they will have to approve some parts of the contract some execution of some aspect,a equipment if it is construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contract are you know monitor and they will have to approve some parts of the contract some execution of some aspect,"Equipment EPC construction contract has been signed, the project sponsor is not, you know, is completely given all the responsibility for the contractor. The project company in his own interest will have to ensure that some parts of the contracts are monitored and they will have to approve some parts of the contract, you know, the execution of some aspects.",equipment epc construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor the project company in his own interest will have to ensure that some parts of the contracts are monitored and they will have to approve some parts of the contract you know the execution of some aspects,0.2031,0.1028,0.8605,0.9375
