split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_hf,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,"Favorite, Kairu Tamidhu.",favorite kairu tamidhu,1.5,0.2727,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,medium_hf,transcript_clean,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,1904869163,one billion nine hundred and four million eight hundred and sixty nine thousand one hundred and sixty three,1.1,1.3404,0.7143,1.8
test,AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,AESRC2020-INDIAN-ACCENT-G33434,4.507,INDIAN,medium_hf,transcript_clean,gold,has the song mwana oyo won any wards,has the song mwana oyo won any wards,"Here's the song, Moana or You Want Any Words.",here s the song moana or you want any words,0.875,0.3056,0.375,1.25
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,medium_hf,transcript_clean,gold,lay the prince ascetic next,lay the prince ascetic next,Lay the prints as static snacks.,lay the prints as static snacks,0.8,0.4074,0.4,1.2
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,medium_hf,transcript_clean,gold,of it the plot of lioness,of it the plot of lioness,Or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,medium_hf,transcript_clean,gold,adjust direction to,adjust direction to,Adjust direction to look good,adjust direction to look good,0.6667,0.5263,1.0,1.6667
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,medium_hf,transcript_clean,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be large.,only play songs while smile be large,0.6667,0.4242,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,medium_hf,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,When did Bandawla Azul Day Zero 1 first debuted?,when did bandawla azul day zero one first debuted,0.6667,0.2553,0.4444,1.0
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,medium_hf,transcript_clean,gold,what's kevee keyam enterprises contact number,what s kevee keyam enterprises contact number,What's Kiwi Qayam Enterprise's contact number?,what s kiwi qayam enterprise s contact number,0.5714,0.1556,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,medium_hf,transcript_clean,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,How large is splash top wired? XDisplay Free,how large is splash top wired xdisplay free,0.5556,0.0682,0.625,0.8889
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,medium_hf,transcript_clean,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,"I better rock now, feets like such a looser.",i better rock now feets like such a looser,0.5385,0.3148,0.5,0.6923
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,medium_hf,transcript_clean,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,Create a playlist with only T and Shesha Gopalan songs.,create a playlist with only t and shesha gopalan songs,0.5,0.102,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G03218-G03218S2365,AESRC2020-INDIAN-ACCENT-G03218,3.912,INDIAN,medium_hf,transcript_clean,gold,what is quinte west weekly forecast,what is quinte west weekly forecast,What is going to waste weekly forecast?,what is going to waste weekly forecast,0.5,0.2,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,medium_hf,transcript_clean,gold,skip chitrahaar,skip chitrahaar,Skip Chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G03884-G03884S3378,AESRC2020-INDIAN-ACCENT-G03884,2.051,INDIAN,medium_hf,transcript_clean,gold,i am feeling hot,i am feeling hot,I'm feeling hot.,im feeling hot,0.5,0.125,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G12416-G12416S2355,AESRC2020-INDIAN-ACCENT-G12416,4.215,INDIAN,medium_hf,transcript_clean,gold,how popular is the show rukawat ke liye khed hai,how popular is the show rukawat ke liye khed hai,How popular is the show?,how popular is the show,0.5,0.5208,0.5,0.5
test,AESRC2020-INDIAN-ACCENT-G13667-G13667S2366,AESRC2020-INDIAN-ACCENT-G13667,3.83,INDIAN,medium_hf,transcript_clean,gold,what is the air quality in cookshire eaton,what is the air quality in cookshire eaton,What is the air quality in cook shear heat on?,what is the air quality in cook shear heat on,0.5,0.1429,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,medium_hf,transcript_clean,gold,five fifty four am,five fifty four am,5 54 a.m.,five fifty four a m,0.5,0.0556,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G14064-G14064S2373,AESRC2020-INDIAN-ACCENT-G14064,4.345,INDIAN,medium_hf,transcript_clean,gold,play dev negi fast tempo songs,play dev negi fast tempo songs,Play Dave Nagy's Fast Tempo Songs.,play dave nagy s fast tempo songs,0.5,0.2,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G32335-G32335S2354,AESRC2020-INDIAN-ACCENT-G32335,2.88,INDIAN,medium_hf,transcript_clean,gold,where is vanakamal hotel,where is vanakamal hotel,Where is one Kamal Hotel?,where is one kamal hotel,0.5,0.1667,0.75,1.25
