split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,lLbFCGEDUbo,146,M,SLOW,EAST,19.699,Non-Engineering,Purusharthas,large,transcript_clean,Transcript,"the first time. Because, I find a lot of them have plagiarised, therefore I will not deduct, or make any punishment, for plagiarism. Then, what the teacher tends to be arriving it as, is arriving",the first time because i find a lot of them have plagiarised therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,"the first time. And therefore, because I find a lot of them have plagiarized, therefore I will not deduct or make any punishment for plagiarism. Then what the teacher tends to be arriving it as, is arriving",the first time and therefore because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,0.0857
test,6og4v4zQxt0,322,M,FAST,SOUTH,22.899,Non-Engineering,Soil and Water Assessment Tools (SWAT) Model,large,transcript_clean,Transcript,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere,of category. But there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or input parameters are not available uniformly everywhere.,of category but there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or input parameters are not available uniformly everywhere,0.0385
test,uUzDQA7qJPI,327,M,SLOW,SOUTH,24.661,Engineering,38 PLL(PHASE LOCKED LOOP),large,transcript_clean,Transcript,"that ultimately, let us say the D C should shift in such a manner that it should go from V...V C Q to some other value, which is going to change the frequency to that value. So that value of frequency let it...let us say, is this corresponding to V c final. So,",that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,"and it will be widening here, assuming that ultimately, let us say, the d c should shift in such a manner that it should go from V c q to some other value which is going to chain the frequency to that value. So that value of frequency, let us say, is this, corresponding to V c.",and it will be widening here assuming that ultimately let us say the d c should shift in such a manner that it should go from v c q to some other value which is going to chain the frequency to that value so that value of frequency let us say is this corresponding to v c,0.2364
test,x6937JZof3A,150,F,AVG,EAST,23.69,Non-Engineering,Space,large,transcript_clean,Transcript,"extra or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which, which Nayar brings to us in his book on introduction to cultural studies through, through a theorist name Doreen Massey and",extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,"extra and or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space, which Nayer brings to us in his book on introduction to cultural studies through a through a theorist named Doreen Massey. And then.",extra and or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which nayer brings to us in his book on introduction to cultural studies through a through a theorist named doreen massey and then,0.1333
test,5IhMAUDmlaE,201,M,FAST,NORTH,21.549,Engineering,Piezoelectric Material -- II: Applications,large,transcript_clean,Transcript,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the one hundred microns which allow you see reaching them the higher electrical fields even more than we can say you know,"extreme accuracy and thus we can use this as the actuators in that. So, when we are talking about the ceramics, there are you know like various layers are there in the ceramics and using these layers thinner than the 100 microns, which allow you see reaching then the higher electrical fields even more than we can say. .",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the one hundred microns which allow you see reaching then the higher electrical fields even more than we can say,0.0492
test,wWsl48VLfVY,308,M,FAST,SOUTH,25.561,Non-Engineering,38 Creativity and Managing Innovation Process -II,large,transcript_clean,Transcript,"So the so it is not enough, good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the",so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,"So the, so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the cost and the time implications within",so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the cost and the time implications within,0.0308
test,BvJXc1DQI-0,272,M,AVG,EAST,23.23,Non-Engineering,Special Techniques II,large,transcript_clean,Transcript,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with",expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with I'll just say click circle from there that folks that can not go back or efficient so we can just use this here at the eye and you don't actually go back there directly control So, if a sq has a why is comparison your conclusion for the middle of x are you left or right on x and v Ba My first one, is it is curl curve is the controlling when you look at c c. So, this is using해요ув 의료용 we can let the word queremos",expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with i will just say click circle from there that folks that can not go back or efficient so we can just use this here at the eye and you do not actually go back there directly control so if a sq has a why is comparison your conclusion for the middle of x are you left or right on x and v ba my first one is it is curl curve is the controlling when you look at c c so this is using해요ув 의료용 we can let the word queremos,1.8958
test,3_GaTA2VGrA,225,M,SLOW,SOUTH,23.14,Engineering,Fundamental Ideas,large,transcript_clean,Transcript,"addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process",addition okay we can actually illustrate this much more clearly when we demonstrate the states graphically okay since the entropy increases p02 cannot be equal to p01 p02 has to be p01 so even if you have heat addition in a reversible process even a reversible heat addition process,"addition okay. We can actually illustrate this much more clearly when we demonstrate the states graphically okay but since entropy increases P02 cannot be equal to P01, P02 has to be less than P01. So heat addition even if you have heat addition in a reversible process, even a reversible heat addition process.",addition okay we can actually illustrate this much more clearly when we demonstrate the states graphically okay but since entropy increases p02 cannot be equal to p01 p02 has to be less than p01 so heat addition even if you have heat addition in a reversible process even a reversible heat addition process,0.1224
test,Ew5hHweMUkA,49,M,AVG,SOUTH,19.471,Engineering,7 Soil Mechanics,large,transcript_clean,Transcript,"In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.",in the case of earth dam different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength,In the kins of earth dam different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions you are required to have a well graded material to contribute to the strength.,in the kins of earth dam different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain type of constructions you are required to have a well graded material to contribute to the strength,0.0816
test,wW1kjrnktDU,160,M,FAST,SOUTH,30.79,Non-Engineering,Risk Management-II,large,transcript_clean,Transcript,"a equipment if it is construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contract are, you know monitor and they will have to approve some parts of the contract some execution of some aspect",a equipment if it is construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contract are you know monitor and they will have to approve some parts of the contract some execution of some aspect,"equipment EPC construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contracts are you know monitored and they will have to approve some parts of the execution of some aspects of the contract.",equipment epc construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contracts are you know monitored and they will have to approve some parts of the execution of some aspects of the contract,0.1719
test,UugCD-SaRFg,160,M,AVG,SOUTH,23.881,Non-Engineering,Analysis of company Performance - Part 1,large,transcript_clean,Transcript,"is called as your quick assets. So. quick assets divided by current liabilities gives you quick ratio. So, let us calculate the quick ratio of NTPC for 2012. So, the quick ratio is quick assets by current liabilities quick assets is nothing but 38912.52 crores,",is called as your quick assets so quick assets divided by current liabilities gives you quick ratio so let us calculate the quick ratio of ntpc for two thousand and twelve so the quick ratio is quick assets by current liabilities quick assets is nothing but thirty eight thousand nine hundred and twelve point five two crores,"is called as your quick assets. So, quick assets divided by current liabilities gives you quick ratio. So, let us calculate the quick ratio of NTPC for 2012. So, the quick ratio is quick assets by current liabilities, quick assets is nothing but 38912.52 crores,",is called as your quick assets so quick assets divided by current liabilities gives you quick ratio so let us calculate the quick ratio of ntpc for two thousand and twelve so the quick ratio is quick assets by current liabilities quick assets is nothing but thirty eight thousand nine hundred and twelve point five two crores,0.0
test,l8Tl1vQCeeE,29,M,AVG,EAST,38.06,Engineering,Various types of compact heat exchangers,large,transcript_clean,Transcript,the pressure drop and the heat transfer coefficient as I told the kind of corrugation. It increases the turbulence and as you know that increasing turbulence increases the heat transfer coefficient but at the same time it increases the pressure loss. Materials of construction for these kind of plates are usually it is at least the these are little costly materials are,the pressure drop and the heat transfer coefficient as i told the kind of corrugation it increases the turbulence and as you know that increasing turbulence increases the heat transfer coefficient but at the same time it increases the pressure loss materials of construction for these kind of plates are usually it is at least the these are little costly materials are,"the pressure drop and the heat transfer coefficient. As I told the kind of corrugation it increases the turbulence and as we know that increasing turbulence increases the heat transfer coefficient, but at the same time it increases the pressure loss. Material of construction for this kind of plates are usually it is at least the these are little",the pressure drop and the heat transfer coefficient as i told the kind of corrugation it increases the turbulence and as we know that increasing turbulence increases the heat transfer coefficient but at the same time it increases the pressure loss material of construction for this kind of plates are usually it is at least the these are little,0.0968
test,Ps99Cs0RQJs,75,M,FAST,EAST,24.05,Engineering,Canal Design-2,large,transcript_clean,Transcript,"when we propose triangular channel, then it may not be possible to provide exactly a triangular channel and then in many a time it is given like this and this portion isrounded up and then we provide these things like that, but the angle if you extend, this should be say 45 degree and 45 degree like that, well.",when we propose triangular channel then it may not be possible to provide exactly a triangular channel and then in many a time it is given like this and this portion isrounded up and then we provide these things like that but the angle if you extend this should be say forty five degree and forty five degree like that well,"when we propose triangular channel, then it may not be possible to provide exactly a triangular channel and then in many a time it is given like this and this portion is rounded up and then we provide these things like that, but the angle if we extend this should be say 45 degree and 45 degree like that. Well, now, we have seen that the angle of",when we propose triangular channel then it may not be possible to provide exactly a triangular channel and then in many a time it is given like this and this portion is rounded up and then we provide these things like that but the angle if we extend this should be say forty five degree and forty five degree like that well now we have seen that the angle of,0.1803
test,zJfDG9kP-fk,244,M,FAST,EAST,19.649,Engineering,Lecture-29,large,transcript_clean,Transcript,"direction flow here, the flow is moving up; the flow is moving down here. So, the flow can be significantly reduced, and as a result of which, the entrainment of slag can also be or the mixing of the slag or opening of this area can also be substantially eliminated. So, when you have a turbo stop, it is not necessary to have dam and the weir, but we",direction flow here the flow is moving up the flow is moving down here so the flow can be significantly reduced and as a result of which the entrainment of slag can also be or the mixing of the slag or opening of this area can also be substantially eliminated so when you have a turbo stop it is not necessary to have dam and the weir but we,"flow here, the flow is moving up, the flow is moving down here. So, the flow can be significantly reduced and as a result of which the entrainment of slag can also be or the mixing of the slag or opening of this area can also be substantially eliminated. So, when you have a turbo stop, it is not necessary to have dam in the wear, but we must understand",flow here the flow is moving up the flow is moving down here so the flow can be significantly reduced and as a result of which the entrainment of slag can also be or the mixing of the slag or opening of this area can also be substantially eliminated so when you have a turbo stop it is not necessary to have dam in the wear but we must understand,0.0725
test,qKBnLqFn_X8,303,M,FAST,SOUTH,14.81,Engineering,Surface Effects and Physical properties of nanomaterials,large,transcript_clean,Transcript,"And therefore, the next layer becomes the surface then the next layer becomes the surface or the next layer becomes then therefore there is a continuous melting from outward to inward. There are two possibilities. So, let me write down the scenario of melting.",and therefore the next layer becomes the surface then the next layer becomes the surface or the next layer becomes then therefore there is a continuous melting from outward to inward there are two possibilities so let me write down the scenario of melting,"and therefore, the next layer becomes a surface, then the next layer becomes a surface or the next layer becomes. Then therefore, there is a continuous melting from outward to inward there are two possibilities. So, let me write down the scenario of melting.",and therefore the next layer becomes a surface then the next layer becomes a surface or the next layer becomes then therefore there is a continuous melting from outward to inward there are two possibilities so let me write down the scenario of melting,0.0455
test,JuNDS4R-OwI,231,M,FAST,NORTH,18.71,Engineering,& Product Data Exchange,large,transcript_clean,Transcript,"another arc is possible which is a major arc then center point of this arc, start point and end point. Is it necessary to store all these data? Not necessary, because there is a lot of redundancy in terms of information storage.",another arc is possible which is a major arc then center point of this arc start point and end point is it necessary to store all these data not necessary because there is a lot of redundancy in terms of information storage,"arc is possible which is a major arc then center point of this arc, start point and end point. Is it necessary to store all these data? Not necessary because there is a lot of redundancy in terms of information storage.",arc is possible which is a major arc then center point of this arc start point and end point is it necessary to store all these data not necessary because there is a lot of redundancy in terms of information storage,0.0238
test,_iB21ry4tj0,224,M,SLOW,NORTH,34.51,Engineering,Lecture 2 Finite Element Method,large,transcript_clean,Transcript,"It will be into omega squared, omega squared rho U will be 0. How do I find omega and how do I find the corresponding U's? As for as U is concerned, U at 0 for all times the displacement small u as the function of x and t was equal to 0, at x equal to 0. So U of 0 is equal to 0 from the fixed boundary condition at 0. For this particular problem,",it will be into omega squared omega squared rho u will be zero how do i find omega and how do i find the corresponding u s as for as u is concerned u at zero for all times the displacement small u as the function of x and t was equal to zero at x equal to zero so u of zero is equal to zero from the fixed boundary condition at zero for this particular problem,"sorry it will be into omega squared, omega squared rho u will be 0. Now, how do I find the omega and how do I find the corresponding u's? So, what are now as far as u is concerned u at 0 for all times the displacement small u as a function of x and t was equal to 0 at x equal to 0. So, u of 0 is equal to 0 from the fixed boundary condition at 0.",sorry it will be into omega squared omega squared rho u will be zero now how do i find the omega and how do i find the corresponding u s so what are now as far as u is concerned u at zero for all times the displacement small u as a function of x and t was equal to zero at x equal to zero so u of zero is equal to zero from the fixed boundary condition at zero,0.1667
