split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,lLbFCGEDUbo,146,19.699,M,SLOW,EAST,Non-Engineering,Purusharthas,small_hf,transcript_clean,gold,"the first time. Because, I find a lot of them have plagiarised, therefore I will not deduct, or make any punishment, for plagiarism. Then, what the teacher tends to be arriving it as, is arriving",the first time because i find a lot of them have plagiarised therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,"the first time. And therefore, because I find a lot of them have plagiarized. Therefore, I will not deduct or make any punishment for plagiarism. Then, what the teacher tends to be arriving at as is arriving",the first time and therefore because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving at as is arriving,0.1143,0.0856,0.9375,1.0571
test,6og4v4zQxt0,322,22.899,M,FAST,SOUTH,Non-Engineering,Soil and Water Assessment Tools (SWAT) Model,small_hf,transcript_clean,gold,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere,"of category. But there the problem is about the parameters which are being monitored of a particular region. Whereas, when it comes down to the agriculture activities and agriculture or any other land based activities, we do not have enough monitoring stations or input parameters are not available uniformly everywhere.",of category but there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or input parameters are not available uniformly everywhere,0.0385,0.0278,0.9762,0.9615
test,uUzDQA7qJPI,327,24.661,M,SLOW,SOUTH,Engineering,38 PLL(PHASE LOCKED LOOP),small_hf,transcript_clean,gold,"that ultimately, let us say the D C should shift in such a manner that it should go from V...V C Q to some other value, which is going to change the frequency to that value. So that value of frequency let it...let us say, is this corresponding to V c final. So,",that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,"And, it will be widening here, assuming that ultimately, let us say, the DC should shift in such a manner that it should go from V C Q to some other value, which is going to change the frequency to that value. So, that value of frequency, let us say, is this corresponding to V C",and it will be widening here assuming that ultimately let us say the dc should shift in such a manner that it should go from v c q to some other value which is going to change the frequency to that value so that value of frequency let us say is this corresponding to v c,0.2545,0.2271,0.9394,1.0182
test,x6937JZof3A,150,23.69,F,AVG,EAST,Non-Engineering,Space,small_hf,transcript_clean,gold,"extra or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which, which Nayar brings to us in his book on introduction to cultural studies through, through a theorist name Doreen Massey and",extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,"extra and beyond the physical that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which Nyer brings to us in his book on Introduction to Cultural Studies through a theorist named Doreen Massey.",extra and beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which nyer brings to us in his book on introduction to cultural studies through a theorist named doreen massey,0.1333,0.0842,0.95,0.9333
test,5IhMAUDmlaE,201,21.549,M,FAST,NORTH,Engineering,Piezoelectric Material -- II: Applications,small_hf,transcript_clean,gold,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the one hundred microns which allow you see reaching them the higher electrical fields even more than we can say you know,"extreme accuracy and thus we can use this as the actuators in that. So, when we are talking about the ceramics, there are various layers are there in the ceramics and using these layers thinner than the 100 microns, which allow reaching then the higher electrical fields even more than we can say",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are various layers are there in the ceramics and using these layers thinner than the one hundred microns which allow reaching then the higher electrical fields even more than we can say,0.1311,0.0967,0.8837,0.8852
test,wWsl48VLfVY,308,25.561,M,FAST,SOUTH,Non-Engineering,38 Creativity and Managing Innovation Process -II,small_hf,transcript_clean,gold,"So the so it is not enough, good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the",so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,"So it is not enough, good enough to throw up set of ideas, but to understand its total implication at the individual level, group level as well as at the organizational level. Also you have to see historically what influences of where we have done similar things and been very successful, but also look at the cost and the time implications within the",so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the cost and the time implications within the,0.0462,0.0256,0.9783,0.9692
test,BvJXc1DQI-0,272,23.23,M,AVG,EAST,Non-Engineering,Special Techniques II,small_hf,transcript_clean,gold,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with",expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here I can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with",expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,0.0,0.0,1.0,1.0
test,3_GaTA2VGrA,225,23.14,M,SLOW,SOUTH,Engineering,Fundamental Ideas,small_hf,transcript_clean,gold,"addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process",addition okay we can actually illustrate this much more clearly when we demonstrate the states graphically okay since the entropy increases p02 cannot be equal to p01 p02 has to be p01 so even if you have heat addition in a reversible process even a reversible heat addition process,"addition okay. We can actually illustrate this much more clearly when we demonstrate the states graphically okay but since entropy increases P02 cannot be equal to P01, P02 has to be less than P01. So heat addition even if you have heat addition in a reversible process, even a reversible heat addition process",addition okay we can actually illustrate this much more clearly when we demonstrate the states graphically okay but since entropy increases p02 cannot be equal to p01 p02 has to be less than p01 so heat addition even if you have heat addition in a reversible process even a reversible heat addition process,0.1224,0.1135,1.0,1.0816
test,Ew5hHweMUkA,49,19.471,M,AVG,SOUTH,Engineering,7 Soil Mechanics,small_hf,transcript_clean,gold,"In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.",in the case of earth dam different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength,In the kins of earth dam a different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions you are required to have a well graded materials to contribute to the strength.,in the kins of earth dam a different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain type of constructions you are required to have a well graded materials to contribute to the strength,0.0816,0.0375,0.9444,1.0408
test,wW1kjrnktDU,160,30.79,M,FAST,SOUTH,Non-Engineering,Risk Management-II,small_hf,transcript_clean,gold,"a equipment if it is construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contract are, you know monitor and they will have to approve some parts of the contract some execution of some aspect",a equipment if it is construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contract are you know monitor and they will have to approve some parts of the contract some execution of some aspect,"equipment EPC construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company and his own interest will have to ensure that some parts of the contracts are you know monitored and they will have to approve some parts of the contracts are monitored and they will have to approve some parts of the execution of some aspects",equipment epc construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company and his own interest will have to ensure that some parts of the contracts are you know monitored and they will have to approve some parts of the contracts are monitored and they will have to approve some parts of the execution of some aspects,0.3125,0.2056,0.8605,1.125
