ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.3765,0.0793,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.3953,0.0721,47
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.2713,0.0763,47
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.4934,0.0753,71
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.2893,0.0815,32
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.3538,0.0839,44
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.4043,0.079,63
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.2633,0.0993,28
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.393,0.0873,45
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.3402,0.0865,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.4624,0.0728,64
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.3663,0.0682,49
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.3697,0.078,62
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.3107,0.0776,42
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.3915,0.084,48
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.4578,0.0697,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.2935,0.0649,45
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.5174,0.1107,67
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.3345,0.0766,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.4188,0.059,63
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.4016,0.074,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.306,0.0805,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.2356,0.0792,26
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.2173,0.0938,26
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.4115,0.0778,53
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.3898,0.0616,56
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.4029,0.0805,66
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.4838,0.0683,64
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.2447,0.0826,30
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.5095,0.0953,77
AESRC2020-INDIAN-ACCENT-G02523-G02523S3370,2.17,0.1687,0.0777,21
AESRC2020-INDIAN-ACCENT-G02582-G02582S2355,2.621,0.4046,0.1544,51
AESRC2020-INDIAN-ACCENT-G02628-G02628S2354,3.837,0.389,0.1014,59
AESRC2020-INDIAN-ACCENT-G02770-G02770S2354,3.972,0.3153,0.0794,46
AESRC2020-INDIAN-ACCENT-G02796-G02796S2355,3.594,0.294,0.0818,42
AESRC2020-INDIAN-ACCENT-G02801-G02801S2355,3.24,0.3125,0.0964,51
AESRC2020-INDIAN-ACCENT-G02930-G02930S2354,2.74,0.2797,0.1021,37
AESRC2020-INDIAN-ACCENT-G03084-G03084S2363,3.464,0.5298,0.1529,39
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,5.122,0.4147,0.081,50
AESRC2020-INDIAN-ACCENT-G03133-G03133S1299,3.61,0.3229,0.0894,52
AESRC2020-INDIAN-ACCENT-G03234-G03234S1299,5.492,0.461,0.084,70
AESRC2020-INDIAN-ACCENT-G03234-G03234S2366,3.61,0.4207,0.1165,32
AESRC2020-INDIAN-ACCENT-G03294-G03294S1298,4.463,0.4027,0.0902,63
AESRC2020-INDIAN-ACCENT-G03334-G03334S2355,2.524,0.2131,0.0844,26
AESRC2020-INDIAN-ACCENT-G03524-G03524S3380,2.072,0.1674,0.0808,20
AESRC2020-INDIAN-ACCENT-G03704-G03704S3376,3.269,0.1975,0.0604,27
AESRC2020-INDIAN-ACCENT-G03749-G03749S2372,6.06,0.4371,0.0721,56
AESRC2020-INDIAN-ACCENT-G03804-G03804S2373,3.681,0.3921,0.1065,54
AESRC2020-INDIAN-ACCENT-G03809-G03809S2371,3.675,0.2451,0.0667,46
AESRC2020-INDIAN-ACCENT-G03841-G03841S3378,2.805,0.2169,0.0773,26
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,2.625,0.274,0.1044,28
AESRC2020-INDIAN-ACCENT-G03884-G03884S1299,5.607,0.4813,0.0858,82
AESRC2020-INDIAN-ACCENT-G03899-G03899S3378,3.785,0.2906,0.0768,43
AESRC2020-INDIAN-ACCENT-G03903-G03903S1292,6.355,0.3919,0.0617,87
AESRC2020-INDIAN-ACCENT-G03924-G03924S1300,4.098,0.4185,0.1021,55
AESRC2020-INDIAN-ACCENT-G04008-G04008S2372,4.25,0.2912,0.0685,43
AESRC2020-INDIAN-ACCENT-G04061-G04061S1299,6.183,0.4732,0.0765,71
AESRC2020-INDIAN-ACCENT-G04084-G04084S2373,4.025,0.2498,0.0621,33
AESRC2020-INDIAN-ACCENT-G10825-G10825S2354,4.285,0.421,0.0983,52
AESRC2020-INDIAN-ACCENT-G10825-G10825S2355,2.575,0.2666,0.1035,34
AESRC2020-INDIAN-ACCENT-G10839-G10839S2354,3.99,0.3186,0.0798,51
AESRC2020-INDIAN-ACCENT-G10858-G10858S3370,2.462,0.193,0.0784,23
AESRC2020-INDIAN-ACCENT-G10940-G10940S1300,4.863,0.3655,0.0752,53
AESRC2020-INDIAN-ACCENT-G10965-G10965S1300,4.065,0.3396,0.0835,51
AESRC2020-INDIAN-ACCENT-G10965-G10965S2353,2.774,0.2933,0.1057,35
AESRC2020-INDIAN-ACCENT-G11785-G11785S1299,5.151,0.3652,0.0709,56
AESRC2020-INDIAN-ACCENT-G11785-G11785S2354,4.358,0.3399,0.078,43
AESRC2020-INDIAN-ACCENT-G11837-G11837S1299,3.845,0.4132,0.1075,60
AESRC2020-INDIAN-ACCENT-G12412-G12412S1300,4.67,0.3651,0.0782,54
AESRC2020-INDIAN-ACCENT-G12412-G12412S2354,3.795,0.3395,0.0895,45
AESRC2020-INDIAN-ACCENT-G12444-G12444S2355,3.437,0.2668,0.0776,32
AESRC2020-INDIAN-ACCENT-G12532-G12532S2352,5.403,0.3429,0.0635,61
AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,4.009,0.3156,0.0787,35
AESRC2020-INDIAN-ACCENT-G12699-G12699S2354,3.29,0.2924,0.0889,39
AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,2.307,0.167,0.0724,21
AESRC2020-INDIAN-ACCENT-G12730-G12730S1299,6.297,0.466,0.074,73
AESRC2020-INDIAN-ACCENT-G12737-G12737S1299,4.257,0.367,0.0862,48
AESRC2020-INDIAN-ACCENT-G12738-G12738S1300,6.385,0.3658,0.0573,50
AESRC2020-INDIAN-ACCENT-G12738-G12738S2355,4.84,0.4907,0.1014,63
AESRC2020-INDIAN-ACCENT-G12776-G12776S2351,2.818,0.2409,0.0855,40
AESRC2020-INDIAN-ACCENT-G12854-G12854S1300,4.406,0.3399,0.0772,51
AESRC2020-INDIAN-ACCENT-G12854-G12854S3370,2.51,0.1919,0.0765,25
AESRC2020-INDIAN-ACCENT-G12864-G12864S2354,4.475,0.2907,0.065,49
AESRC2020-INDIAN-ACCENT-G12885-G12885S2355,4.747,0.4148,0.0874,60
AESRC2020-INDIAN-ACCENT-G12890-G12890S2354,4.665,0.3647,0.0782,55
AESRC2020-INDIAN-ACCENT-G12925-G12925S2352,2.777,0.2407,0.0867,29
AESRC2020-INDIAN-ACCENT-G12929-G12929S1298,6.094,0.3684,0.0605,61
AESRC2020-INDIAN-ACCENT-G13083-G13083S1300,3.915,0.2892,0.0739,38
AESRC2020-INDIAN-ACCENT-G13083-G13083S2365,4.145,0.2404,0.058,34
AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,3.28,0.2157,0.0658,36
AESRC2020-INDIAN-ACCENT-G13176-G13176S2365,5.07,0.3398,0.067,43
AESRC2020-INDIAN-ACCENT-G13217-G13217S1300,4.175,0.314,0.0752,43
AESRC2020-INDIAN-ACCENT-G13373-G13373S1297,3.486,0.4639,0.1331,63
AESRC2020-INDIAN-ACCENT-G13373-G13373S1298,3.58,0.364,0.1017,62
AESRC2020-INDIAN-ACCENT-G13378-G13378S1299,5.43,0.4171,0.0768,48
AESRC2020-INDIAN-ACCENT-G13456-G13456S1299,7.02,0.4402,0.0627,67
AESRC2020-INDIAN-ACCENT-G13630-G13630S2364,7.334,0.3657,0.0499,48
AESRC2020-INDIAN-ACCENT-G13683-G13683S2366,5.393,0.4495,0.0834,65
AESRC2020-INDIAN-ACCENT-G13707-G13707S1299,5.07,0.3463,0.0683,52
AESRC2020-INDIAN-ACCENT-G13707-G13707S1300,4.405,0.3743,0.085,43
AESRC2020-INDIAN-ACCENT-G13713-G13713S1300,4.458,0.4753,0.1066,73
AESRC2020-INDIAN-ACCENT-G13799-G13799S1299,3.932,0.4293,0.1092,57
AESRC2020-INDIAN-ACCENT-G14064-G14064S2372,6.968,0.4459,0.064,63
AESRC2020-INDIAN-ACCENT-G20961-G20961S3370,2.762,0.2409,0.0872,29
AESRC2020-INDIAN-ACCENT-G22350-G22350S1300,4.355,0.3692,0.0848,49
AESRC2020-INDIAN-ACCENT-G22485-G22485S2355,3.9,0.2919,0.0748,48
AESRC2020-INDIAN-ACCENT-G22525-G22525S2355,2.82,0.2182,0.0774,32
AESRC2020-INDIAN-ACCENT-G22552-G22552S2352,2.871,0.2902,0.1011,42
AESRC2020-INDIAN-ACCENT-G22552-G22552S2354,3.83,0.3165,0.0826,40
AESRC2020-INDIAN-ACCENT-G22669-G22669S1299,4.718,0.3736,0.0792,64
AESRC2020-INDIAN-ACCENT-G23074-G23074S2365,4.95,0.4406,0.089,75
AESRC2020-INDIAN-ACCENT-G23213-G23213S3376,4.26,0.3663,0.086,53
AESRC2020-INDIAN-ACCENT-G23248-G23248S1300,6.475,0.4191,0.0647,64
AESRC2020-INDIAN-ACCENT-G23248-G23248S2365,4.325,0.3159,0.073,42
AESRC2020-INDIAN-ACCENT-G23374-G23374S1300,3.294,0.3422,0.1039,52
AESRC2020-INDIAN-ACCENT-G23507-G23507S1200,3.755,0.4399,0.1171,61
AESRC2020-INDIAN-ACCENT-G23553-G23553S2366,4.29,0.2673,0.0623,57
AESRC2020-INDIAN-ACCENT-G23571-G23571S3376,3.47,0.266,0.0767,41
AESRC2020-INDIAN-ACCENT-G23656-G23656S1300,3.825,0.3648,0.0954,51
AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,2.674,0.1918,0.0717,22
AESRC2020-INDIAN-ACCENT-G23678-G23678S2366,3.284,0.2916,0.0888,36
AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,4.47,0.2904,0.065,53
AESRC2020-INDIAN-ACCENT-G23687-G23687S1300,4.485,0.2905,0.0648,48
AESRC2020-INDIAN-ACCENT-G23687-G23687S2364,3.996,0.2671,0.0668,42
AESRC2020-INDIAN-ACCENT-G23715-G23715S1299,4.624,0.4896,0.1059,75
AESRC2020-INDIAN-ACCENT-G23773-G23773S1300,5.56,0.4792,0.0862,68
AESRC2020-INDIAN-ACCENT-G23773-G23773S2373,4.509,0.3993,0.0886,48
AESRC2020-INDIAN-ACCENT-G23817-G23817S2373,4.525,0.3209,0.0709,43
AESRC2020-INDIAN-ACCENT-G23819-G23819S1298,6.063,0.4208,0.0694,67
AESRC2020-INDIAN-ACCENT-G23821-G23821S1300,7.415,0.3957,0.0534,70
AESRC2020-INDIAN-ACCENT-G23930-G23930S1297,6.33,0.4157,0.0657,70
AESRC2020-INDIAN-ACCENT-G23952-G23952S1300,5.016,0.4384,0.0874,64
AESRC2020-INDIAN-ACCENT-G24000-G24000S2372,4.885,0.2909,0.0595,44
AESRC2020-INDIAN-ACCENT-G32673-G32673S2354,2.853,0.2399,0.0841,35
AESRC2020-INDIAN-ACCENT-G32882-G32882S1300,4.28,0.3403,0.0795,54
AESRC2020-INDIAN-ACCENT-G32893-G32893S1298,4.986,0.4638,0.093,67
AESRC2020-INDIAN-ACCENT-G32941-G32941S2353,4.873,0.2661,0.0546,40
AESRC2020-INDIAN-ACCENT-G32952-G32952S2355,3.84,0.2899,0.0755,43
AESRC2020-INDIAN-ACCENT-G32966-G32966S1300,6.049,0.4148,0.0686,67
AESRC2020-INDIAN-ACCENT-G32977-G32977S2354,3.373,0.316,0.0937,42
AESRC2020-INDIAN-ACCENT-G32980-G32980S1300,3.924,0.4391,0.1119,59
AESRC2020-INDIAN-ACCENT-G33040-G33040S2365,3.798,0.3144,0.0828,48
AESRC2020-INDIAN-ACCENT-G33409-G33409S1300,4.945,0.3655,0.0739,64
AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,4.507,0.3888,0.0863,39
AESRC2020-INDIAN-ACCENT-G33487-G33487S1199,5.312,0.4409,0.083,54
AESRC2020-INDIAN-ACCENT-G33487-G33487S1200,5.565,0.4145,0.0745,59
AESRC2020-INDIAN-ACCENT-G33625-G33625S1300,4.71,0.3891,0.0826,66
AESRC2020-INDIAN-ACCENT-G33816-G33816S2372,4.638,0.3411,0.0736,53
AESRC2020-INDIAN-ACCENT-G40915-G40915S2354,3.71,0.2901,0.0782,39
AESRC2020-INDIAN-ACCENT-G40917-G40917S2355,4.853,0.3902,0.0804,59
AESRC2020-INDIAN-ACCENT-G42029-G42029S2363,3.3,0.2183,0.0662,29
AESRC2020-INDIAN-ACCENT-G42302-G42302S1299,5.954,0.389,0.0653,67
AESRC2020-INDIAN-ACCENT-G42538-G42538S2354,2.945,0.24,0.0815,31
AESRC2020-INDIAN-ACCENT-G42543-G42543S1300,6.083,0.39,0.0641,76
AESRC2020-INDIAN-ACCENT-G42659-G42659S1299,6.263,0.4387,0.07,64
AESRC2020-INDIAN-ACCENT-G42659-G42659S2355,3.651,0.3164,0.0867,36
AESRC2020-INDIAN-ACCENT-G42717-G42717S2354,3.589,0.2934,0.0818,42
AESRC2020-INDIAN-ACCENT-G42717-G42717S2355,3.409,0.2896,0.085,36
AESRC2020-INDIAN-ACCENT-G42895-G42895S1300,4.26,0.3395,0.0797,45
AESRC2020-INDIAN-ACCENT-G43065-G43065S3375,3.115,0.2408,0.0773,27
AESRC2020-INDIAN-ACCENT-G43223-G43223S1299,3.76,0.4395,0.1169,66
AESRC2020-INDIAN-ACCENT-G43364-G43364S1300,4.115,0.3653,0.0888,57
AESRC2020-INDIAN-ACCENT-G43364-G43364S2355,2.707,0.241,0.089,32
AESRC2020-INDIAN-ACCENT-G43367-G43367S3370,2.29,0.2652,0.1158,40
AESRC2020-INDIAN-ACCENT-G43468-G43468S2353,3.63,0.2896,0.0798,37
AESRC2020-INDIAN-ACCENT-G43652-G43652S1299,3.705,0.3638,0.0982,45
AESRC2020-INDIAN-ACCENT-G43935-G43935S1300,5.265,0.414,0.0786,72
AESRC2020-INDIAN-ACCENT-G43935-G43935S2372,3.167,0.2892,0.0913,43
AESRC2020-INDIAN-ACCENT-G51201-G51201S1299,4.427,0.3889,0.0878,63
AESRC2020-INDIAN-ACCENT-G52739-G52739S2354,4.993,0.2909,0.0583,32
AESRC2020-INDIAN-ACCENT-G52843-G52843S3370,3.95,0.2906,0.0736,54
AESRC2020-INDIAN-ACCENT-G53397-G53397S2355,4.482,0.2902,0.0648,41
AESRC2020-INDIAN-ACCENT-G53668-G53668S2366,4.42,0.3148,0.0712,49
AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,4.96,0.2903,0.0585,43
AESRC2020-INDIAN-ACCENT-G53975-G53975S1300,8.24,0.4923,0.0597,82
AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,4.18,0.3387,0.081,46
AESRC2020-INDIAN-ACCENT-G64015-G64015S1300,6.085,0.5134,0.0844,74
AESRC2020-INDIAN-ACCENT-G90219-G90219S1299,4.616,0.4646,0.1007,75
AESRC2020-INDIAN-ACCENT-G90233-G90233S1299,5.778,0.3649,0.0632,56
AESRC2020-INDIAN-ACCENT-G90249-G90249S3370,3.293,0.2164,0.0657,34
AESRC2020-INDIAN-ACCENT-G90279-G90279S1300,5.807,0.441,0.0759,77
AESRC2020-INDIAN-ACCENT-G90279-G90279S3370,3.59,0.2902,0.0808,47
AESRC2020-INDIAN-ACCENT-G90311-G90311S1300,3.982,0.3653,0.0917,52
