split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,favorite caro tha methu,favorite caro tha methu,1.5,0.2381,0.5,2.0
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,lay the prince ascetic next,lay the prince ascetic next,play the prince as kettic necks,play the prince as kettic necks,0.8,0.2593,0.4,1.2
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by benny dick silver man orgester and carl,play songs by benny dick silver man orgester and carl,0.75,0.2642,0.5,1.25
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,3.92,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,how many branches does she gai tree bhujna laai,how many branches does she gai tree bhujna laai,0.7143,0.2174,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by mya pati shri ram chandra,play songs by mya pati shri ram chandra,0.6667,0.1282,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy 3 a year become famous,0.6667,0.2,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G03370-G03370S2354,AESRC2020-INDIAN-ACCENT-G03370,4.21,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,how much is protect handwash masterchef refill packet,how much is protect handwash masterchef refill packet,how much is protekt hand wash master chef refill packet,how much is protekt hand wash master chef refill packet,0.625,0.0566,0.625,1.25
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambobada pao centre have take away,does best jambobada pao center have take away,0.625,0.1111,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2346,AESRC2020-INDIAN-ACCENT-G02207,2.907,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,show more shows like legion,show more shows like legion,show more sauce like leggi on,show more sauce like leggi on,0.6,0.2222,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rahmet the dhariya illahi,play rahmet the dhariya illahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,change the song to everyday we lit,change the song to everyday we lit,sends the song to every day we lid,sends the song to every day we lid,0.5714,0.2059,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,are pets allowed in rome's hat hotel in us,are pets allowed in rome is hat hotel in us,0.5556,0.2326,0.5556,1.1111
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,when did bandawla azul day zero and first debut,when did bandawla azul day 0 and 1st debut,0.5556,0.2444,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G03640-G03640S2365,AESRC2020-INDIAN-ACCENT-G03640,4.752,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,when is rahat fateh ali khan and tanishk bagchi next concert,when is rahat fateh ali khan and tanishk bagchi next concert,when is rat fate alikhan and tanish kbakchi next concert,when is rat fate alikhan and tanish kbakchi next concert,0.5455,0.1167,0.4545,0.9091
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser or looser,i better rock now fits like such a looser or looser,0.5385,0.2222,0.5,0.8462
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,stop playing the mill,stop playing the mill,stop playing damill,stop playing damill,0.5,0.1905,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,create a playlist with only tea and shesha gopalan songs,create a playlist with only tea and shesha gopalan songs,0.5,0.1429,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,small_aesrc_ft_seed46,whisper_norm,gold,is de souza resorts adult only,is de souza resorts adult only,is this user results adult only,is this user results adult only,0.5,0.3,0.5,1.0
