split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny,transcript_clean,gold,will there be snow in amsterda,will there be snow in amsterda,"So, they are not going to hear the bell now here, I already have a story.",so they are not going to hear the bell now here i already have a story,2.6667,1.7,0.0,2.6667
test,AESRC2020-INDIAN-ACCENT-G13236-G13236S2364,AESRC2020-INDIAN-ACCENT-G13236,3.439,INDIAN,tiny,transcript_clean,gold,who writes seshulatha kosuru music,who writes seshulatha kosuru music,Hooray it's take humour to conceal music.,hooray it s take humour to conceal music,1.4,0.7059,0.2,1.6
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,"Please, don't forget to subscribe to my channel.",please dont forget to subscribe to my channel,1.3333,0.7692,0.0,1.3333
test,AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,AESRC2020-INDIAN-ACCENT-G03086,5.122,INDIAN,tiny,transcript_clean,gold,remove shows similar to chakravartin ashoka samrat,remove shows similar to chakravartin ashoka samrat,Remove shoes similar to chakra worth in a shock sun rot,remove shoes similar to chakra worth in a shock sun rot,1.1429,0.26,0.4286,1.5714
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,tiny,transcript_clean,gold,skip apni mitti,skip apni mitti,Okay.,okay,1.0,0.8667,0.0,0.3333
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,"favourite, car oil",favourite car oil,1.0,0.4545,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny,transcript_clean,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,Shiva vedhana,shiva vedhana,1.0,0.8,0.0,0.3333
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,The Dutch based jump-up power center have taken away.,the dutch based jump up power center have taken away,1.0,0.5111,0.25,1.25
test,AESRC2020-INDIAN-ACCENT-G90236-G90236S2355,AESRC2020-INDIAN-ACCENT-G90236,3.115,INDIAN,tiny,transcript_clean,gold,play all episodes of aane wala pal,play all episodes of aane wala pal,please follow us on NAA imbalaur.,please follow us on naa imbalaur,1.0,0.6471,0.0,0.8571
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny,transcript_clean,gold,decrease speed,decrease speed,The crease speed.,the crease speed,1.0,0.2143,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,tiny,transcript_clean,gold,uninstall choices,uninstall choices,An installed choices.,an installed choices,1.0,0.2353,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G91301-G91301S2352,AESRC2020-INDIAN-ACCENT-G91301,2.665,INDIAN,tiny,transcript_clean,gold,what genre of music is priyadarshini,what genre of music is priyadarshini,one gender of mu-sliq is pre-editioned.,one gender of mu sliq is pre editioned,1.0,0.5278,0.3333,1.3333
test,AESRC2020-INDIAN-ACCENT-G90527-G90527S2355,AESRC2020-INDIAN-ACCENT-G90527,4.361,INDIAN,tiny,transcript_clean,gold,is palmolive hand wash sea minerals bottle a reliable product,is palmolive hand wash sea minerals bottle a reliable product,This palm olive hand was seen in it as bottle air reliable product.,this palm olive hand was seen in it as bottle air reliable product,0.9,0.2295,0.4,1.3
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,tiny,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,"n one, 0, is 1 first debit.",n one zero is one first debit,0.8889,0.5957,0.1111,0.7778
test,AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,AESRC2020-INDIAN-ACCENT-G33434,4.507,INDIAN,tiny,transcript_clean,gold,has the song mwana oyo won any wards,has the song mwana oyo won any wards,"Hashtag song, whanah or you want any words?",hashtag song whanah or you want any words,0.875,0.3333,0.25,1.0
test,AESRC2020-INDIAN-ACCENT-G03144-G03144S2366,AESRC2020-INDIAN-ACCENT-G03144,3.115,INDIAN,tiny,transcript_clean,gold,where can i buy mann bharrya,where can i buy mann bharrya,Will can I buy man's body young?,will can i buy man s body young,0.8333,0.5,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,tiny,transcript_clean,gold,only play songs by ismael belouch,only play songs by ismael belouch,"Only play songs might be small, be large.",only play songs might be small be large,0.8333,0.4242,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G12093-G12093S2365,AESRC2020-INDIAN-ACCENT-G12093,3.155,INDIAN,tiny,transcript_clean,gold,what is zaika darbar speciality,what is zaika darbar speciality,What is the zycather bar of speciality?,what is the zycather bar of speciality,0.8,0.4516,0.6,1.4
test,AESRC2020-INDIAN-ACCENT-G03370-G03370S3370,AESRC2020-INDIAN-ACCENT-G03370,2.174,INDIAN,tiny,transcript_clean,gold,plug the smart fan off,plug the smart fan off,Plug this part for an off.,plug this part for an off,0.8,0.3182,0.4,1.2
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,tiny,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,"Play, Ramada, Dariya, Ilahi,",play ramada dariya ilahi,0.8,0.1852,0.2,0.8
