split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_aesrc_ft,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,favourite car or ta meto,favorite car or ta meto,2.0,0.4762,0.5,2.5
test,AESRC2020-INDIAN-ACCENT-G13176-G13176S2365,AESRC2020-INDIAN-ACCENT-G13176,5.07,INDIAN,medium_aesrc_ft,whisper_norm,gold,does handicrafts emporium cater for vegans,does handicrafts emporium cater for vegans,does handy crafts emporium catar for wagons,does handy crafts emporium catar for wagons,0.6667,0.1429,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G23324-G23324S2354,AESRC2020-INDIAN-ACCENT-G23324,6.337,INDIAN,medium_aesrc_ft,whisper_norm,gold,is there a warranty on gillette cartridges venus blades,is there a warranty on gillette cartridges venus blades,is there a barang p on zillat kati days vanus blades,is there a barang p on zillat kati days vanus blades,0.6667,0.2909,0.5556,1.2222
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,medium_aesrc_ft,whisper_norm,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,create a playlist with only t n shesha gopal in songs,create a playlist with only t n shesha gopal in songs,0.625,0.102,0.75,1.375
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,medium_aesrc_ft,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambu bada pao centre have take away,does best jambu bada pao center have take away,0.625,0.1111,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,medium_aesrc_ft,whisper_norm,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser or loser,i better rock now fits like such a looser or loser,0.6154,0.2407,0.5833,0.8462
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,medium_aesrc_ft,whisper_norm,gold,lay the prince ascetic next,lay the prince ascetic next,lay the prince as catech snacks,lay the prince as catech snacks,0.6,0.3333,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,medium_aesrc_ft,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rehmat the darya elahi,play rehmat the darya elahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,medium_aesrc_ft,whisper_norm,gold,what's kevee keyam enterprises contact number,what is kevee keyam enterprises contact number,what's kivi kayam enterprise's contact number,what is kivi kayam enterprise is contact number,0.5714,0.1304,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,medium_aesrc_ft,whisper_norm,gold,change the song to everyday we lit,change the song to everyday we lit,send the song to every day we live,send the song to every day we live,0.5714,0.2353,0.5714,1.1429
