split,ID,Speaker_ID,Speech_Duration_seconds,Accent,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,in accordance to your request i am sending you sample pages of the dictionary,,in accordance to your request i' am sending you sample pages of the dictionary
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,i want to listen to joy to the world again,,i want to listen to joy to the world again
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,i want to listen to secret lovers again,,i want to listen to secret lovers again
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,laundry reminder,,laundry reminder
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,the pupil's party have got the election sewn up they are sure to win,,the people's party have got the election swun up they're sure to win
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,fill in the chart write names of your favorite band book and movie,,fill in the chart write names of your favorite band book and movie
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,how much is stayfree sanitary pad drymax all night,,how much is staffy's sanitary pad dryax all night
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,replay the song gaal ni kadni,,replay the song galni katni
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,in a scramble in front of the goal the ball was kicked in,,in a scramble in front of the goal the ball was kicked in
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,the meeting was a dud as far as new business was concerned,,the meeting was headed as far as new business was concerned
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,play songs by mynampati sreeram chandra,,play songs by mayapati shiriram chandra
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,stop playing the mill,,stop playing damel
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,we must put our heads together and decide what to do,,we must put our heads together and decide what to do
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1300,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,the mother set her naughty son over her knee and beat him,,the mother sat her naughty son over her knee and beat him
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2353,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,remove the show ogo bodhu sundori from my watch list,,remove the show ogo boduundri from my watchist
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2355,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,what times can i visit akshardham temple,,what times can i visit aksharddam temple
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S3370,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,it's time to cook,,it's time to cook
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S1298,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,this ocean is much deeper than the water oceans of the earth,,this ocean is much deeper than the water oceans of the earth
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S1299,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,an english idioms is set expression made of two or more words,,an english iom is an expression made of two or more words
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S2354,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,i want to make a playlist from the song so sincere,,i want to make a playlist from the song so sincere
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S2355,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,is there recent news about john kander,,is there recent news about john cander
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S1299,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,bill wants to go into law when he gets out of school,,bill wants to go into law when he gets out of school
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S1300,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,wfm can do for desktops what the snmp standard did for the network,,wfm can do for desktops what the snmp standard did for the network
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S2354,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,add the song we don't care to my favorites,,add the song we don't care to my favorites
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S2355,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,where can i buy music by killer mike,,where can i buy music by killer mike
test,AESRC2020-INDIAN-ACCENT-G01009-G01009S1298,AESRC2020-INDIAN-ACCENT-G01009,,INDIAN,do you remember the game of the division in the past it,,do you remember the game of the division in the past date
test,AESRC2020-INDIAN-ACCENT-G01009-G01009S1300,AESRC2020-INDIAN-ACCENT-G01009,,INDIAN,they had to endure the pain of waiting in line in the airport,,they had to endure the pain of waiting in line in the airport
test,AESRC2020-INDIAN-ACCENT-G01009-G01009S2352,AESRC2020-INDIAN-ACCENT-G01009,,INDIAN,what are the lyrics to mundiyan,,what are the lyrics to mundia
test,AESRC2020-INDIAN-ACCENT-G01009-G01009S2355,AESRC2020-INDIAN-ACCENT-G01009,,INDIAN,what are the some famous dishes to try in republic of slovenia,,what are the some famous dishes to try in republic of slovenia
