split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_hf,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,Favorite Karutham Yudhu,favorite karutham yudhu,1.5,0.1818,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,small_hf,transcript_clean,gold,adjust direction to,adjust direction to,Add just direction to look.,add just direction to look,1.0,0.3684,0.6667,1.6667
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,small_hf,transcript_clean,gold,will there be snow in amsterda,will there be snow in amsterda,We'll just be snowing and I'm straddle,well just be snowing and im straddle,1.0,0.6,0.1667,1.1667
test,AESRC2020-INDIAN-ACCENT-G22849-G22849S2354,AESRC2020-INDIAN-ACCENT-G22849,2.961,INDIAN,small_hf,transcript_clean,gold,when was the show yahan main ghar ghar kheli made,when was the show yahan main ghar ghar kheli made,"Vinvalda Show, here I play homemade.",vinvalda show here i play homemade,0.9,0.6122,0.1111,0.6
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_hf,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,The best Jumbobada Power Center have take away.,the best jumbobada power center have take away,0.75,0.2222,0.375,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_hf,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,Play Songs by Maya Pathy Shri Ram Chandra,play songs by maya pathy shri ram chandra,0.6667,0.2051,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,small_hf,transcript_clean,gold,of it the plot of lioness,of it the plot of lioness,or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,small_hf,transcript_clean,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be loved.,only play songs while smile be loved,0.6667,0.3939,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,small_hf,transcript_clean,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,R-pads allowed in Rome's head hotel Innes.,r pads allowed in rome s head hotel innes,0.6667,0.3488,0.3333,1.0
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small_hf,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,When did one daula azul day zero and first debit?,when did one daula azul day zero and first debit,0.6667,0.3191,0.4444,1.1111
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,small_hf,transcript_clean,gold,skip apni mitti,skip apni mitti,Skip your mythy.,skip your mythy,0.6667,0.4667,0.3333,1.0
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,small_hf,transcript_clean,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,How large is the flash top wired X display free?,how large is the flash top wired x display free,0.6667,0.2045,0.625,1.1111
test,AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,AESRC2020-INDIAN-ACCENT-G03626,5.64,INDIAN,small_hf,transcript_clean,gold,what year did kuchh jhuki palkain come out,what year did kuchh jhuki palkain come out,What did it? Kuch Juki palkae come out?,what did it kuch juki palkae come out,0.625,0.2381,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,AESRC2020-INDIAN-ACCENT-G12644,4.009,INDIAN,small_hf,transcript_clean,gold,what other songs are by erk tha jerk,what other songs are by erk tha jerk,What are the songs are by Irktha Jock?,what are the songs are by irktha jock,0.625,0.25,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,small_hf,transcript_clean,gold,lay the prince ascetic next,lay the prince ascetic next,Play the Prince as Kettic next.,play the prince as kettic next,0.6,0.1481,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,small_hf,transcript_clean,gold,what's kevee keyam enterprises contact number,what s kevee keyam enterprises contact number,Watch Kiwi Kayaam Enterprises Contact Number,watch kiwi kayaam enterprises contact number,0.5714,0.2,0.4286,0.8571
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small_hf,transcript_clean,gold,change the song to everyday we lit,change the song to everyday we lit,Since the song to every day we lead.,since the song to every day we lead,0.5714,0.2353,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G11837-G11837S2365,AESRC2020-INDIAN-ACCENT-G11837,2.649,INDIAN,small_hf,transcript_clean,gold,what are harrdy sandhu top ten songs,what are harrdy sandhu top ten songs,"Voter Hardys, Andhu Top 10 Songs",voter hardys andhu top ten songs,0.5714,0.25,0.4286,0.8571
test,AESRC2020-INDIAN-ACCENT-G33140-G33140S2365,AESRC2020-INDIAN-ACCENT-G33140,2.395,INDIAN,small_hf,transcript_clean,gold,put you are a lie on next,put you are a lie on next,Put your RLI on next.,put your rli on next,0.5714,0.24,0.4286,0.7143
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,5.245,INDIAN,small_hf,transcript_clean,gold,how much is stayfree sanitary pad drymax all night,how much is stayfree sanitary pad drymax all night,How much is a step free sanitary pad dry max all night?,how much is a step free sanitary pad dry max all night,0.5556,0.12,0.7778,1.3333
