ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.2645,0.0557,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.2959,0.054,45
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.2653,0.0746,48
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.3232,0.0494,71
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.2302,0.0648,34
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.2617,0.0621,44
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.2894,0.0565,61
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.2262,0.0853,26
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.2344,0.0521,43
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.2509,0.0638,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.2502,0.0394,63
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.2359,0.0439,50
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.3016,0.0636,62
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.2381,0.0595,42
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.2769,0.0594,48
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.341,0.0519,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.3104,0.0686,50
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.2839,0.0607,65
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.2742,0.0628,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.2684,0.0378,62
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.2735,0.0504,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.2391,0.0629,48
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.2721,0.0914,26
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.2306,0.0996,26
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.2771,0.0524,52
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.2738,0.0433,55
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.2314,0.0462,66
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.3299,0.0466,64
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.2255,0.0762,30
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.2923,0.0547,70
AESRC2020-INDIAN-ACCENT-G02523-G02523S3370,2.17,0.2437,0.1123,21
AESRC2020-INDIAN-ACCENT-G02582-G02582S2355,2.621,0.3093,0.118,48
AESRC2020-INDIAN-ACCENT-G02628-G02628S2354,3.837,0.2607,0.068,55
AESRC2020-INDIAN-ACCENT-G02770-G02770S2354,3.972,0.2709,0.0682,46
AESRC2020-INDIAN-ACCENT-G02796-G02796S2355,3.594,0.2497,0.0695,42
AESRC2020-INDIAN-ACCENT-G02801-G02801S2355,3.24,0.3224,0.0995,50
AESRC2020-INDIAN-ACCENT-G02930-G02930S2354,2.74,0.2266,0.0827,40
AESRC2020-INDIAN-ACCENT-G03084-G03084S2363,3.464,0.2533,0.0731,42
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,5.122,0.2693,0.0526,56
AESRC2020-INDIAN-ACCENT-G03133-G03133S1299,3.61,0.2145,0.0594,52
AESRC2020-INDIAN-ACCENT-G03234-G03234S1299,5.492,0.2321,0.0423,67
AESRC2020-INDIAN-ACCENT-G03234-G03234S2366,3.61,0.203,0.0562,36
AESRC2020-INDIAN-ACCENT-G03294-G03294S1298,4.463,0.2529,0.0567,65
AESRC2020-INDIAN-ACCENT-G03334-G03334S2355,2.524,0.2716,0.1076,26
AESRC2020-INDIAN-ACCENT-G03524-G03524S3380,2.072,0.1643,0.0793,20
AESRC2020-INDIAN-ACCENT-G03704-G03704S3376,3.269,0.1663,0.0509,27
AESRC2020-INDIAN-ACCENT-G03749-G03749S2372,6.06,0.238,0.0393,54
AESRC2020-INDIAN-ACCENT-G03804-G03804S2373,3.681,0.2525,0.0686,53
AESRC2020-INDIAN-ACCENT-G03809-G03809S2371,3.675,0.2252,0.0613,46
AESRC2020-INDIAN-ACCENT-G03841-G03841S3378,2.805,0.2276,0.0811,27
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,2.625,0.1945,0.0741,26
AESRC2020-INDIAN-ACCENT-G03884-G03884S1299,5.607,0.3105,0.0554,84
AESRC2020-INDIAN-ACCENT-G03899-G03899S3378,3.785,0.2107,0.0557,43
AESRC2020-INDIAN-ACCENT-G03903-G03903S1292,6.355,0.262,0.0412,86
AESRC2020-INDIAN-ACCENT-G03924-G03924S1300,4.098,0.2717,0.0663,54
AESRC2020-INDIAN-ACCENT-G04008-G04008S2372,4.25,0.2416,0.0568,43
AESRC2020-INDIAN-ACCENT-G04061-G04061S1299,6.183,0.2489,0.0403,73
AESRC2020-INDIAN-ACCENT-G04084-G04084S2373,4.025,0.2157,0.0536,33
AESRC2020-INDIAN-ACCENT-G10825-G10825S2354,4.285,0.2882,0.0673,53
AESRC2020-INDIAN-ACCENT-G10825-G10825S2355,2.575,0.2142,0.0832,34
AESRC2020-INDIAN-ACCENT-G10839-G10839S2354,3.99,0.2866,0.0718,51
AESRC2020-INDIAN-ACCENT-G10858-G10858S3370,2.462,0.2411,0.098,23
AESRC2020-INDIAN-ACCENT-G10940-G10940S1300,4.863,0.2928,0.0602,53
AESRC2020-INDIAN-ACCENT-G10965-G10965S1300,4.065,0.2637,0.0649,51
AESRC2020-INDIAN-ACCENT-G10965-G10965S2353,2.774,0.28,0.1009,34
AESRC2020-INDIAN-ACCENT-G11785-G11785S1299,5.151,0.2865,0.0556,58
AESRC2020-INDIAN-ACCENT-G11785-G11785S2354,4.358,0.2833,0.065,45
AESRC2020-INDIAN-ACCENT-G11837-G11837S1299,3.845,0.3143,0.0817,59
AESRC2020-INDIAN-ACCENT-G12412-G12412S1300,4.67,0.3099,0.0664,53
AESRC2020-INDIAN-ACCENT-G12412-G12412S2354,3.795,0.2357,0.0621,46
AESRC2020-INDIAN-ACCENT-G12444-G12444S2355,3.437,0.2965,0.0863,33
AESRC2020-INDIAN-ACCENT-G12532-G12532S2352,5.403,0.2738,0.0507,61
AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,4.009,0.2375,0.0592,39
AESRC2020-INDIAN-ACCENT-G12699-G12699S2354,3.29,0.2479,0.0754,40
AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,2.307,0.2089,0.0906,21
AESRC2020-INDIAN-ACCENT-G12730-G12730S1299,6.297,0.3078,0.0489,73
AESRC2020-INDIAN-ACCENT-G12737-G12737S1299,4.257,0.2605,0.0612,50
AESRC2020-INDIAN-ACCENT-G12738-G12738S1300,6.385,0.2666,0.0418,46
AESRC2020-INDIAN-ACCENT-G12738-G12738S2355,4.84,0.2925,0.0604,62
AESRC2020-INDIAN-ACCENT-G12776-G12776S2351,2.818,0.2471,0.0877,40
AESRC2020-INDIAN-ACCENT-G12854-G12854S1300,4.406,0.2858,0.0649,51
AESRC2020-INDIAN-ACCENT-G12854-G12854S3370,2.51,0.2263,0.0902,25
AESRC2020-INDIAN-ACCENT-G12864-G12864S2354,4.475,0.2697,0.0603,49
AESRC2020-INDIAN-ACCENT-G12885-G12885S2355,4.747,0.2764,0.0582,54
AESRC2020-INDIAN-ACCENT-G12890-G12890S2354,4.665,0.2533,0.0543,55
AESRC2020-INDIAN-ACCENT-G12925-G12925S2352,2.777,0.2335,0.0841,28
AESRC2020-INDIAN-ACCENT-G12929-G12929S1298,6.094,0.2452,0.0402,61
AESRC2020-INDIAN-ACCENT-G13083-G13083S1300,3.915,0.2322,0.0593,40
AESRC2020-INDIAN-ACCENT-G13083-G13083S2365,4.145,0.1913,0.0461,34
AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,3.28,0.1944,0.0593,37
AESRC2020-INDIAN-ACCENT-G13176-G13176S2365,5.07,0.2602,0.0513,44
AESRC2020-INDIAN-ACCENT-G13217-G13217S1300,4.175,0.2447,0.0586,42
AESRC2020-INDIAN-ACCENT-G13373-G13373S1297,3.486,0.2872,0.0824,63
AESRC2020-INDIAN-ACCENT-G13373-G13373S1298,3.58,0.2625,0.0733,64
AESRC2020-INDIAN-ACCENT-G13378-G13378S1299,5.43,0.2753,0.0507,48
AESRC2020-INDIAN-ACCENT-G13456-G13456S1299,7.02,0.316,0.045,67
AESRC2020-INDIAN-ACCENT-G13630-G13630S2364,7.334,0.2558,0.0349,47
AESRC2020-INDIAN-ACCENT-G13683-G13683S2366,5.393,0.2807,0.052,59
AESRC2020-INDIAN-ACCENT-G13707-G13707S1299,5.07,0.2667,0.0526,51
AESRC2020-INDIAN-ACCENT-G13707-G13707S1300,4.405,0.2633,0.0598,45
AESRC2020-INDIAN-ACCENT-G13713-G13713S1300,4.458,0.2874,0.0645,70
AESRC2020-INDIAN-ACCENT-G13799-G13799S1299,3.932,0.272,0.0692,57
AESRC2020-INDIAN-ACCENT-G14064-G14064S2372,6.968,0.3114,0.0447,63
AESRC2020-INDIAN-ACCENT-G20961-G20961S3370,2.762,0.254,0.092,29
AESRC2020-INDIAN-ACCENT-G22350-G22350S1300,4.355,0.2496,0.0573,49
AESRC2020-INDIAN-ACCENT-G22485-G22485S2355,3.9,0.2746,0.0704,48
AESRC2020-INDIAN-ACCENT-G22525-G22525S2355,2.82,0.2225,0.0789,35
AESRC2020-INDIAN-ACCENT-G22552-G22552S2352,2.871,0.2428,0.0846,40
AESRC2020-INDIAN-ACCENT-G22552-G22552S2354,3.83,0.2557,0.0668,41
AESRC2020-INDIAN-ACCENT-G22669-G22669S1299,4.718,0.2339,0.0496,64
AESRC2020-INDIAN-ACCENT-G23074-G23074S2365,4.95,0.2929,0.0592,76
AESRC2020-INDIAN-ACCENT-G23213-G23213S3376,4.26,0.2744,0.0644,52
AESRC2020-INDIAN-ACCENT-G23248-G23248S1300,6.475,0.2995,0.0463,64
AESRC2020-INDIAN-ACCENT-G23248-G23248S2365,4.325,0.2532,0.0586,42
AESRC2020-INDIAN-ACCENT-G23374-G23374S1300,3.294,0.2308,0.0701,52
AESRC2020-INDIAN-ACCENT-G23507-G23507S1200,3.755,0.2959,0.0788,60
AESRC2020-INDIAN-ACCENT-G23553-G23553S2366,4.29,0.2384,0.0556,57
AESRC2020-INDIAN-ACCENT-G23571-G23571S3376,3.47,0.2531,0.0729,37
AESRC2020-INDIAN-ACCENT-G23656-G23656S1300,3.825,0.2447,0.064,51
AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,2.674,0.2355,0.0881,20
AESRC2020-INDIAN-ACCENT-G23678-G23678S2366,3.284,0.2558,0.0779,36
