split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976885510_f2092_chunk_4.wav,,0.6919375,Male,18-30,Kannada,qwen3,transcript_clean,gold,Chitradurga,chitradurga,चित्र दुर्गा.,च त र द र ग,6.0,1.0,0.0,6.0
test,281474976895273_f2716_chunk_1.wav,,1.705625,Male,30-45,Kashmiri,qwen3,transcript_clean,gold,RSRTC.,rsrtc,R S R T C.,r s r t c,5.0,0.8,0.0,5.0
test,281474976887081_f2283_chunk_7.wav,,0.694,Female,30-45,Gujarati,qwen3,transcript_clean,gold,Halarda,halarda,हालारे डा,ह ल र ड,4.0,1.0,0.0,4.0
test,281474976884349_f1690_chunk_2.wav,,0.6885,Female,18-30,Tamil,qwen3,transcript_clean,gold,Coimbatore,coimbatore,कोई बतौर.,क ई बत र,4.0,1.0,0.0,4.0
test,281474976888936_f2388_chunk_1.wav,,2.2556875,Female,18-30,Konkani,qwen3,transcript_clean,gold,@upi,upi,At the rate of UPI.,at the rate of upi,4.0,5.0,1.0,5.0
test,281474976887122_f1775_chunk_0.wav,,0.8094375,Female,30-45,Telugu,qwen3,transcript_clean,gold,Oregano,oregano,आरी क्या ना,आर क य न,4.0,1.1429,0.0,4.0
test,281474976888913_f3176_chunk_3.wav,,12.16525,Male,18-30,Nepali,qwen3,transcript_clean,gold,"Dakshineswar Kali Temple, Azadara Palace, Radha Vinod Temple,",dakshineswar kali temple azadara palace radha vinod temple,"दक्षिणी ओर काली मंदिर और काली टेम्पल, आज़र द्वारा पैलेस, राधा बिनोद टेम्पल.",दक ष ण ओर क ल म द र और क ल ट म पल आज र द व र प ल स र ध ब न द ट म पल,3.875,1.0345,0.0,3.875
test,281474976894171_f2343_chunk_0.wav,,10.4198125,Male,45-60,Odia,qwen3,transcript_clean,gold,For registered application ID MK201839611100749221,for registered application id mk201839611100749221,For registered application ID MK two zero one eight three nine six one one one zero zero seven four nine two two one.,for registered application id mk two zero one eight three nine six one one one zero zero seven four nine two two one,3.8,1.68,0.8,4.6
test,281474976884634_f2217_chunk_3.wav,,1.9201875,Female,18-30,Kannada,qwen3,transcript_clean,gold,"Veeragase, Kamsale",veeragase kamsale,अ बीरगासे कम साढ़े,अ ब रग स कम स ढ,3.5,0.9412,0.0,3.5
test,281474976888231_f1490_chunk_1.wav,,1.728625,Female,60+,Tamil,qwen3,transcript_clean,gold,COVOVAX,covovax,Go bo bags.,go bo bags,3.0,1.0,0.0,3.0
test,281474976892313_f2965_chunk_1.wav,,2.3185,Male,30-45,Dogri,qwen3,transcript_clean,gold,Saptagiri Gramin Bank account.,saptagiri gramin bank account,सप्त तग्री ग्राम बैंक अकाउंट.,सप त तग र ग र म ब क अक उ ट,3.0,0.8966,0.0,3.0
test,281474976906775_f2449_chunk_0.wav,,0.5736875,Male,18-30,Assamese,qwen3,transcript_clean,gold,Previous,previous,P. P. S.,p p s,3.0,0.75,0.0,3.0
test,281474976909234_f2865_chunk_1.wav,,1.210625,Female,45-60,Punjabi,qwen3,transcript_clean,gold,PayUmoney,payumoney,Pay you money.,pay you money,3.0,0.4444,0.0,3.0
test,281474976893988_f2006_chunk_4.wav,,0.5846875,Female,45-60,Telugu,qwen3,transcript_clean,gold,Vishnupriya,vishnupriya,I snubbed you.,i snubbed you,3.0,0.9091,0.0,3.0
test,281474976909249_f2537_chunk_0.wav,,0.8928125,Female,45-60,Punjabi,qwen3,transcript_clean,gold,Disagree,disagree,Do you agree?,do you agree,3.0,0.75,0.0,3.0
test,281474976885725_f2188_chunk_0.wav,,1.18425,Female,18-30,Gujarati,qwen3,transcript_clean,gold,Makar Sankranti,makar sankranti,मकर संक्रांति.,मकर स क र त,2.5,0.9333,0.0,2.5
test,281474976893957_f2857_chunk_0.wav,,2.24275,Female,45-60,Telugu,qwen3,transcript_clean,gold,Can I dispute my Yono SBI rewards?,can i dispute my yono sbi rewards,क्या नहीं डिस्प्यूट में यूनो एसबीआई रिवॉर्ड,क य नह ड स प य ट म य न एसब आई र व र ड,2.4286,0.9697,0.0,2.4286
test,281474976893912_f2185_chunk_7.wav,,0.671375,Male,30-45,Bodo,qwen3,transcript_clean,gold,addiction,addiction,At extent.,at extent,2.0,0.7778,0.0,2.0
test,281474976896757_f1719_chunk_3.wav,,0.5978125,Female,30-45,Sindhi,qwen3,transcript_clean,gold,"Vinod,",vinod,We know.,we know,2.0,1.0,0.0,2.0
test,281474976893632_f1794_chunk_1.wav,,0.502125,Male,30-45,Malayalam,qwen3,transcript_clean,gold,Kannur,kannur,Can no.,can no,2.0,0.6667,0.0,2.0
