split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,lMIVXmVvqBM,153,21.21,M,AVG,EAST,Non-Engineering,Varieties of Materialism,tiny_hf,whisper_norm,gold,"there is nothing called mind and Hume was really rejecting the rationalist that mind is substance. So, for Hume meaning full statements about the world must be expressible as statements about the actual and possible observation, this is Hume’s notion, that the how when",there is nothing called mind and hume was really rejecting the rationalist that mind is substance so for hume meaning full statements about the world must be expressible as statements about the actual and possible observation this is hume s notion that the how when,is really rejecting the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,is really rejecting the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,9.7778,6.3094,0.1212,9.8667
test,7jwzkMvfbbU,277,33.279,M,FAST,SOUTH,Engineering,4-20 mA current Transmitter design,tiny_hf,whisper_norm,gold,"transmitters. So, this is basically called 4 to 20 milliampere current transmitters; over all, it looks like this; that, normally what is done is, you have a supply like 24 volt supply, normally used in the industry; then, there in two long wires like this; typically, this is in the",transmitters so this is basically called 4 to 20 milliampere current transmitters over all it looks like this that normally what is done is you have a supply like 24 volt supply normally used in the industry then there in 2 long wires like this typically this is in the,"So, this is basically called 4 to 20 milliampere current transmitters. Overall it looks like this that normally what is the what is the what is the that you have a supply like 24 is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the",so this is basically called 4 to 20 milliampere current transmitters overall it looks like this that normally what is the what is the what is the that you have a supply like 24 is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the what is the,8.7,6.2825,0.6389,9.24
test,tYaqEzhHolE,257,24.35,M,FAST,EAST,Engineering,36 Hydrodynamic Derivatives and Stability,tiny_hf,whisper_norm,gold,"Now, we will find y r y r dot - another cross coupled terms; we will see that the same theory will actually apply; because, cross coupled terms always mean that there is an interplay of positive or negative; here, - this is a little more difficult to see - here what happened? You are now rotating it - positive; that means, if you rotate that basically you are giving",now we will find y r y r dot another cross coupled terms we will see that the same theory will actually apply because cross coupled terms always mean that there is an interplay of positive or negative here this is a little more difficult to see here what happened you are now rotating it positive that means if you rotate that basically you are giving,"Now, we will find y r y r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r",now we will find y r y r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r,6.5909,2.2678,0.1277,6.7121
test,bkzKVsIEjxk,175,38.81,M,SLOW,NORTH,Non-Engineering,Line Integral in the Complex,tiny_hf,whisper_norm,gold,"t. Hence integral of this real part of z square dz along path C is real part z square x square minus y square. So, x square minus y square dz by dt dt and t varies from 0 to 2 substitute the value x in y x is t, so 0 to 2 exist. So, t square and then dz by dt becomes one dt and that value will come out to be t cube by 3 and then 0 to 2. So, it is the 8 by 3.",t hence integral of this real part of z square dz along path c is real part z square x square minus y square so x square minus y square dz by dt dt and t varies from 0 to 2 substitute the value x in y x is t so 0 to 2 exist so t square and then dz by dt becomes one dt and that value will come out to be t cube by 3 and then 0 to 2 so it is the 8 by 3,"of this real part of z is equal to z along plus c is real part z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal x is t. So, is 0 to 2 x is t. So, t square and then dz by dt dz by dt becomes 1. So, it t and that value will come out to be t cube by 3 and then 0 to 2.",of this real part of z is equal to z along plus c is real part z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal to z is equal x is t so is 0 to 2 x is t so t square and then dz by dt dz by dt becomes one so it t and that value will come out to be t cube by 3 and then 0 to 2,4.9111,4.0342,0.7209,5.3222
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,tiny_hf,whisper_norm,gold,..,.,can be written as,can be written as,4.0,17.0,0.0,4.0
test,J7-9nhlJWXA,149,24.32,M,FAST,NORTH,Non-Engineering,Outlines of Predicate Logic,tiny_hf,whisper_norm,gold,"numbers 1, 2, 3, 4, 5, 6, except I are not for any number that you take into condition let us say you take two there always be one number bigger than that one that number is smaller than the other number its successor two < 3 a 3 < 4 etc. So now these kinds of sentences which we need to invoke some kind of relations between the individual terms",numbers one 2 3 4 5 6 except i are not for any number that you take into condition let us say you take 2 there always be one number bigger than that one that number is smaller than the other number its successor 2 3 a 3 4 etc so now these kinds of sentences which we need to invoke some kind of relations between the individual terms,"numbers 1, 2, 3, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6",numbers one 2 3 4 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,3.1304,1.1111,0.1346,3.2319
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,tiny_hf,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,"f which we have seen c times n minus 1 minus 2j. Sorry, this is I made a mistake here, j 2 is 1, but j 2 is 2j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2",f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),tiny_hf,whisper_norm,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 0 52 22059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"in short time S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square H rho G. So, 8 pi mu S d S d T is equal to pi r square H rho G. So, S d s d t is equal to pi r square h rho g. So, S d s d t is equal to r square h rho g by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by 8 mu,1.6286,1.6293,0.7143,2.4
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),tiny_hf,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people that I've permanent okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people that I've at the bus stop k is that zero right so I'll put it's a substitute k would zero,rate could be something like well 2 people that i have permanent okay so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people that i have at the bus stop k is that 0 right so i will put it is a substitute k would 0,1.3333,0.8034,0.1176,1.3958
test,l8kIWLWfbZ8,195,15.83,M,FAST,SOUTH,Engineering,- MESFET : Effects of channel length and gate length on IDS and gm,tiny_hf,whisper_norm,gold,it is not Vpo it is Vpo cylindrical is equal to q ND amplitude twice epsilon r epsilon,it is not vpo it is vpo cylindrical is equal to q nd amplitude twice epsilon r epsilon,"in fact, it is not if you throw it, it will be throw a friend in it. A equal to V and V and the magnitude, twice epsilon are epsilon 0.",in fact it is not if you throw it it will be throw a friend in it a equal to v and v and the magnitude twice epsilon are epsilon 0,1.2222,0.7209,0.5385,1.7222
