split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,lLbFCGEDUbo,146,19.699,M,SLOW,EAST,Non-Engineering,Purusharthas,parakeet_ctc,hf_raw,alt,the one s t time because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,the one s t time because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,first time and therefore because i find a lot of them have plagiarized therefore i will not deduct or make any any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,first time and therefore because i find a lot of them have plagiarized therefore i will not deduct or make any any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,0.1622,0.1164,0.9118,1.0
test,6og4v4zQxt0,322,22.899,M,FAST,SOUTH,Non-Engineering,Soil and Water Assessment Tools (SWAT) Model,parakeet_ctc,hf_raw,alt,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere,category but there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or input parameters are not available uniformly everywhere,category but there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or input parameters are not available uniformly everywhere,0.0577,0.037,0.9762,0.9423
test,uUzDQA7qJPI,327,24.661,M,SLOW,SOUTH,Engineering,38 PLL(PHASE LOCKED LOOP),parakeet_ctc,hf_raw,alt,that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,and it will be widening here assuming that ultimately let us say the dc should shift in such a manner that it should go from v c q to some other value which is going to change the frequency to that value so that value of frequency let it say let us say is this corresponding to v c,and it will be widening here assuming that ultimately let us say the dc should shift in such a manner that it should go from v c q to some other value which is going to change the frequency to that value so that value of frequency let it say let us say is this corresponding to v c,0.2364,0.2151,0.9394,1.0727
test,x6937JZof3A,150,23.69,F,AVG,EAST,Non-Engineering,Space,parakeet_ctc,hf_raw,alt,extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,extra and or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nyer brings to us in his book an introduction to cultural studies through a through a theorist named doreen massey and there,extra and or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nyer brings to us in his book an introduction to cultural studies through a through a theorist named doreen massey and there,0.1333,0.0561,0.925,1.0667
test,5IhMAUDmlaE,201,21.549,M,FAST,NORTH,Engineering,Piezoelectric Material -- II: Applications,parakeet_ctc,hf_raw,alt,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields even more than we can say you know,extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the hundred microns which allow you see reaching then the higher electrical fields even more than we can say,extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the hundred microns which allow you see reaching then the higher electrical fields even more than we can say,0.0667,0.0526,0.9524,0.9667
test,wWsl48VLfVY,308,25.561,M,FAST,SOUTH,Non-Engineering,38 Creativity and Managing Innovation Process -II,parakeet_ctc,hf_raw,alt,so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the the cost and the time implications within the,so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the the cost and the time implications within the,0.0781,0.052,0.9778,1.0
test,BvJXc1DQI-0,272,23.23,M,AVG,EAST,Non-Engineering,Special Techniques II,parakeet_ctc,hf_raw,alt,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,0.0,0.0,1.0,1.0
test,3_GaTA2VGrA,225,23.14,M,SLOW,SOUTH,Engineering,Fundamental Ideas,parakeet_ctc,hf_raw,alt,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,addition ok we can actually illustrate this much more clearly when we demonstrate the states graphically ok but since entropy increases p zero two cannot be equal to p zero one p zero two has to be less than p zero one so heat addition even if you have heat addition in a reversible process even a reversible heat addition process,addition ok we can actually illustrate this much more clearly when we demonstrate the states graphically ok but since entropy increases p zero two cannot be equal to p zero one p zero two has to be less than p zero one so heat addition even if you have heat addition in a reversible process even a reversible heat addition process,0.26,0.2435,1.0,1.22
test,Ew5hHweMUkA,49,19.471,M,AVG,SOUTH,Engineering,7 Soil Mechanics,parakeet_ctc,hf_raw,alt,"In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.",in the case of earth dam different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength,in the case of eerdam a different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because the for certain type of constructions you are required to have a well graded materials to contribute to the strength and road,in the case of eerdam a different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because the for certain type of constructions you are required to have a well graded materials to contribute to the strength and road,0.1429,0.0819,0.9167,1.0816
test,wW1kjrnktDU,160,30.79,M,FAST,SOUTH,Non-Engineering,Risk Management-II,parakeet_ctc,hf_raw,alt,a equipment if it is construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contract are you know monitor and they will have to approve some parts of the contract some execution of some aspect,a equipment if it is construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contract are you know monitor and they will have to approve some parts of the contract some execution of some aspect,equipment epca contract construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor you know the project company in his own interest will have to ensure that some parts of the contracts are you know monitored and and they will have to approve some parts of the contract you know the execution of some aspects,equipment epca contract construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor you know the project company in his own interest will have to ensure that some parts of the contracts are you know monitored and and they will have to approve some parts of the contract you know the execution of some aspects,0.2031,0.1,0.8605,1.0312
