split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,base,whisper_norm,gold,one nine zero four eight six nine one six three,1904869163,1 9 0 4 8 6 9 1 6 3.,one 9 0 4 8 6 9 one 6 3,10.0,1.5,0.0,10.0
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,base,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,And in wonderful olives they cumin 1 stone be it...,and in wonderful olives they cumin one stone be it .,1.2222,0.8667,0.0,1.2222
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,base,whisper_norm,gold,laundry reminder,laundry reminder,Lawn re-reminder.,lawn re reminder,1.0,0.1875,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,base,whisper_norm,gold,stop playing the mill,stop playing the mill,So stopped playing metなんだ,so stopped playing metなんた,1.0,0.619,0.25,1.0
test,AESRC2020-INDIAN-ACCENT-G03161-G03161S2365,AESRC2020-INDIAN-ACCENT-G03161,3.217,INDIAN,base,whisper_norm,gold,add sajan ghar jaana hai to up next,add sajan ghar jaana hai to up next,Ed Saajan has to go home to the next house.,ed saajan has to go home to the next house,1.0,0.6286,0.25,1.25
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,base,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,nan,nan,1.0,0.963,0.0,0.2
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,base,whisper_norm,gold,uninstall choices,uninstall choices,and install choices.,and install choices,1.0,0.1765,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,base,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,Favorite Karuta Meyutu?,favorite karuta meyutu,1.0,0.2381,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,base,whisper_norm,gold,is de souza resorts adult only,is de souza resorts adult only,"If this is your results, add it only.",if this is your results add it only,1.0,0.5,0.3333,1.3333
test,AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,AESRC2020-INDIAN-ACCENT-G33434,4.507,INDIAN,base,whisper_norm,gold,has the song mwana oyo won any wards,has the song mwana oyo won any wards,has to song one or all one in words.,has to song one or all one in words,0.875,0.4444,0.25,1.125
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,base,whisper_norm,gold,what's kevee keyam enterprises contact number,what is kevee keyam enterprises contact number,What's key week I am enterprise is contact number.,what is key week i am enterprise is contact number,0.8571,0.1957,0.5714,1.4286
test,AESRC2020-INDIAN-ACCENT-G23773-G23773S2372,AESRC2020-INDIAN-ACCENT-G23773,2.41,INDIAN,base,whisper_norm,gold,where can i watch patton,where can i watch patton,Wicked and I watched Fatten.,wicked and i watched fatten,0.8,0.4167,0.2,1.0
test,AESRC2020-INDIAN-ACCENT-G23952-G23952S2373,AESRC2020-INDIAN-ACCENT-G23952,2.81,INDIAN,base,whisper_norm,gold,play songs similar to buzzkill,play songs similar to buzzkill,Place on similar to bus gear.,place on similar to bus gear,0.8,0.3667,0.4,1.2
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,base,whisper_norm,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,R-pads allowed in rooms had total in-s.,r pads allowed in rooms had total in s,0.7778,0.3023,0.3333,1.0
test,AESRC2020-INDIAN-ACCENT-G03089-G03089S2365,AESRC2020-INDIAN-ACCENT-G03089,4.645,INDIAN,base,whisper_norm,gold,which awards has m k sankaran namboothiri won,which awards has m k sankaran namboothiri won,which awards has MK Sun Karan Nambu 3-1.,which awards has mk sun karan nambu 3 one,0.75,0.2667,0.375,1.125
test,AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,AESRC2020-INDIAN-ACCENT-G03626,5.64,INDIAN,base,whisper_norm,gold,what year did kuchh jhuki palkain come out,what year did kuchh jhuki palkain come out,I took some dirt cards and come out!,i took some dirt cards and come out,0.75,0.6667,0.25,1.0
test,AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,AESRC2020-INDIAN-ACCENT-G12708,2.307,INDIAN,base,whisper_norm,gold,water should be heat,water should be heat,What I should be hit?,what i should be hit,0.75,0.25,0.5,1.25
test,AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,AESRC2020-INDIAN-ACCENT-G23656,2.674,INDIAN,base,whisper_norm,gold,show me mundiyan lyrics,show me mundiyan lyrics,Shony Mundia lyrics.,shony mundia lyrics,0.75,0.2609,0.25,0.75
test,AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,AESRC2020-INDIAN-ACCENT-G03086,5.122,INDIAN,base,whisper_norm,gold,remove shows similar to chakravartin ashoka samrat,remove shows similar to chakravartin ashoka samrat,Remove the shows similar to Chakra-worthin Ashok-Sanrat.,remove the shows similar to chakra worthin ashok sanrat,0.7143,0.2,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,AESRC2020-INDIAN-ACCENT-G03853,2.625,INDIAN,base,whisper_norm,gold,i can not sleep turn it off,i can not sleep turn it off,I cannot slip the net off.,i cannot slip the net off,0.7143,0.2963,0.2857,0.8571
