split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,zk1lXf7Ceiw,176,M,SLOW,SOUTH,1.0,Non-Engineering,Higher Order BVPs,qwen3,whisper_norm,gold,..,.,Can be written as.,can be written as,4.0,17.0,0.0,4.0
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,qwen3,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,"F, which we have seen, C times n minus one minus two J. Sorry, this is I made a mistake here. J two is one, but J two is two J two, so this should be counted as two into one, that is two, and J is five. So F is C into four minus two into five, which is two.",f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,qwen3,whisper_norm,gold,considered in problem 45.,considered in problem 45,"Considered in problem forty-five. Okay, let's do that.",considered in problem 45 okay let us do that,1.25,0.8333,1.0,2.25
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),qwen3,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"Rate could be something like well, two people arrive per minute. Okay, so that's two, and I want to ask the question: What is the probability zero people will arrive over the next minute? So I'd say on average two people arrive at the bus stop. K is that zero, right? So I'll put I'll substitute K with zero.",rate could be something like well 2 people arrive per minute okay so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 right so i will put i will substitute k with 0,1.25,0.7862,0.1176,1.3125
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,qwen3,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,X by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes.,x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.1,0.988,0.6471,1.4
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),qwen3,whisper_norm,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 0 52 22059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"In short time, s is much much much less than h. So short time means s is much much less than h. So the right hand side is approximately pi r square h ro g. So eight pi mu s ds dt is equal to pi r square h ro g. Okay. So s ds dt is equal to r square h ro g by eight mu. You.",in short time s is much much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h ro g so 8 pi mu s ds dt is equal to pi r square h ro g okay so s ds dt is equal to r square h ro g by 8 mu you,1.0857,1.319,0.8095,1.9429
test,sCXbZp08jMA,49,M,FAST,SOUTH,24.12,Engineering,6 Soil Mechanics,qwen3,whisper_norm,gold,depth z is given by (N dash) into W by V) where Ws is equal to W by V. Unit weight of suspension after elapsing time td can be determined at depth z is (gamma z) is equal to [(gamma w) plus N dash (W by V) into (Gs minus 1) by Gs)]. From this rearranging,depth z is given by into w by v where ws is equal to w by v unit weight of suspension after elapsing time td can be determined at depth z is is equal to from this rearranging,"J is given by J is equal to n at depth J is given by n dash into W by V, where W S is equal to W by V. So unit weight of the suspension after elapsing time t can be determined at depth J as gamma J is equal to gamma W in plus n dash W by V into G S minus one divided by G S. So from this the.",j is given by j is equal to n at depth j is given by n dash into w by v where w s is equal to w by v so unit weight of the suspension after elapsing time t can be determined at depth j as gamma j is equal to gamma w in plus n dash w by v into g s -one divided by g s so from this the,1.0789,0.7184,0.8519,1.9211
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),qwen3,whisper_norm,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"Much higher compared to the summer, and it is a labor-intensive sludge process as far as sludge removal is concerned. Because we are pumping the liquid sludge to the sludge drying beds. Okay, once the sludge is dried, how can we remove it? Okay, we have to remove the sludge from the sludge drying bed manually. So it is a labor-intensive process and.",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds okay once the sludge is dried how can we remove it okay we have to remove the sludge from the sludge drying bed manually so it is a labor intensive process and,0.9821,0.7152,0.2857,1.1607
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,qwen3,whisper_norm,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n +one column is nothing but the b has been moved to n +one that is you have a matrix and then you have b vector instead of putting b here i have put b here,"One thing you remember: numerical methods problem. Generally, we work on shared memory model. But people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.",one thing you remember numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that you have to tell me how i can do it,0.9744,0.9157,0.2963,0.9744
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,qwen3,whisper_norm,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We'll talk about how it affects our analysis. So, as many number of processors as you need, which means it it is valid for a single processor to a machine of even millions of processors. Yes. Right. So, one is the amount of resources. How much memory I have? How much local versus or shared?",i will not say assumption but it is an abstraction we will talk about how it affects our analysis so as many number of processors as you need which means it it is valid for a single processor to a machine of even 1000000s of processors yes right so one is the amount of resources how much memory i have how much local versus or shared,0.9714,0.8764,0.9333,1.8857
