split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,zk1lXf7Ceiw,176,M,SLOW,SOUTH,1.0,Non-Engineering,Higher Order BVPs,parakeet,hf_raw,Normalised_Transcript,.,.,can be written as,can be written as,4.0
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,parakeet,hf_raw,Normalised_Transcript,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by minus 12 by 2 x x x So it is h square by 2 but it had 3 factorial circuits. So, it was 3 factorial and that multiplied by 2, so that it becomes 3. And divided by 2, yes.","x by minus 12 by 2 x x x So it is h square by 2 but it had 3 factorial circuits. So, it was 3 factorial and that multiplied by 2, so that it becomes 3. And divided by 2, yes.",1.9
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,parakeet,hf_raw,Normalised_Transcript,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2","f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2",1.875
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,parakeet,hf_raw,Normalised_Transcript,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, uh but it is an abstraction. We'll we'll talk about how it affects our analysis. So uh as many number of processors as you need, which means it k it is valid for a single processor to a machine of even millions of processors. Yes. Right. Right. Um the so one is the num amount of resources, how much memory I have, how much local versus or shared.","I won't say assumption, uh but it is an abstraction. We'll we'll talk about how it affects our analysis. So uh as many number of processors as you need, which means it k it is valid for a single processor to a machine of even millions of processors. Yes. Right. Right. Um the so one is the num amount of resources, how much memory I have, how much local versus or shared.",1.4
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),parakeet,hf_raw,Normalised_Transcript,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"Rate could be something like, Well, two people arrive per minute. Okay, so that's two. And I want to ask the question: what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put I'll just substitute K with zero.","Rate could be something like, Well, two people arrive per minute. Okay, so that's two. And I want to ask the question: what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put I'll just substitute K with zero.",1.2083
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,parakeet,hf_raw,Normalised_Transcript,considered in problem forty minus five,considered in problem forty minus five,"Considered in problem 45. Okay, let us do that.","Considered in problem 45. Okay, let us do that.",1.1667
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),parakeet,hf_raw,Normalised_Transcript,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,"In short time, S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu.","In short time, S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu.",1.1628
test,9rEn4MNpZS4,211,M,SLOW,EAST,21.67,Engineering,Approximate Methods - II,parakeet,hf_raw,Normalised_Transcript,fixed and free ends so once again,fixed and free ends so once again,"Uh fixed and the free ends. So, once again, this is the","Uh fixed and the free ends. So, once again, this is the",1.1429
test,SL21aDqgs8Q,220,M,SLOW,EAST,17.64,Engineering,33 Design for Strength,parakeet,hf_raw,Normalised_Transcript,are example for a hollow shaft we can see that this comes to be td zero two and ip will be,are example for a hollow shaft we can see that this comes to be td zero two and ip will be,"Example for hollow shaft, we can see that this comes out to be equals to T d 0 by 2 and I p will be 0. So, this is the power of the p","Example for hollow shaft, we can see that this comes out to be equals to T d 0 by 2 and I p will be 0. So, this is the power of the p",1.0952
test,u_Hku0A_rNQ,210,M,SLOW,NORTH,24.54,Engineering,Lecture-32,parakeet,hf_raw,Normalised_Transcript,right we need to repeat the one s t p knots to do so we set the last n plus one knots as ourf parameter values we insure that the one s t,right we need to repeat the one s t p knots to do so we set the last n plus one knots as ourf parameter values we insure that the one s t,"That is right, we need to repeat the first p naughts. To do so, we set the last n plus 1 naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n","That is right, we need to repeat the first p naughts. To do so, we set the last n plus 1 naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n",1.0909
test,nwcOtus_7eo,230,M,SLOW,NORTH,13.909,Engineering,Free Vibration,parakeet,hf_raw,Normalised_Transcript,this is k one and this is y that means k one y is equal to k two x minus k two y therefore y is,this is k one and this is y that means k one y is equal to k two x minus k two y therefore y is,"is a y that means k 1 y is equal to k 2 x minus y k 2 x minus k 2 y. Therefore, y is 1 minus 1 minus 1 y 2 y 2 is 1 y","is a y that means k 1 y is equal to k 2 x minus y k 2 x minus k 2 y. Therefore, y is 1 minus 1 minus 1 y 2 y 2 is 1 y",1.0385
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),parakeet,hf_raw,Normalised_Transcript,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"Much higher compared to the summer. And it is a labor-intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds. Once the sludge is dried, how can we remove it? We have to remove the sludge from the sludge trying bud manually. So, it is a labor-intensive process and the slides are not a slow slow","Much higher compared to the summer. And it is a labor-intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds. Once the sludge is dried, how can we remove it? We have to remove the sludge from the sludge trying bud manually. So, it is a labor-intensive process and the slides are not a slow slow",1.0179
test,6CwSfoOR7-U,50,M,SLOW,EAST,15.7,Engineering,25,parakeet,hf_raw,Normalised_Transcript,therefore if you look at the sway moments they turn out to be equal tou,therefore if you look at the sway moments they turn out to be equal tou,"So, this for, therefore, if you look at the sway moments, if you look at the sway moments, they turn out to be equal to m m","So, this for, therefore, if you look at the sway moments, if you look at the sway moments, they turn out to be equal to m m",1.0
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,parakeet,hf_raw,Normalised_Transcript,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,"One thing you have a numerical methods problem, generally we work on shared memory model, but people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.","One thing you have a numerical methods problem, generally we work on shared memory model, but people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.",1.0
test,vlhnD_C2zWY,250,M,SLOW,EAST,2.11,Engineering,Physical Oceanography - III,parakeet,hf_raw,Normalised_Transcript,corpses so shells bones,corpses so shells bones,"So shells, bones.","So shells, bones.",1.0
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,parakeet,hf_raw,Normalised_Transcript,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"By what is the concentration of B n plus in the solution? So, Rn minus B n plus resin means active activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.","By what is the concentration of B n plus in the solution? So, Rn minus B n plus resin means active activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.",0.9574
