split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976895873_f50_chunk_0.wav,,0.577375,Male,45-60,Malayalam,tiny,transcript_clean,gold,Cat,cat,"o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o- wisdom- Antiklao-o- probioti-o-o-e sarm-po-biom, stupid's son of a new stylist is strong, pals of the 39, right? Right? fluid br upper soul, frapp-e centered,",o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o wisdom antiklao o probioti o o e sarm po biom stupid s son of a new stylist is strong pals of the thirty nine right right fluid br upper soul frapp e centered,110.0,103.3333,0.0,110.0
test,281474976899496_f175_chunk_0.wav,,0.7301875,Female,30-45,Tamil,tiny,transcript_clean,gold,Forward,forward,"Follow our news delayed trying to tell you something, you would like to go online and run after things they heard in their Café fields. Nope, but I can't fully tell you anything about this. So if you wouldn't be able to talk to offices one in the morning there would be more meetings just seen through it, and there would be just two working posters",follow our news delayed trying to tell you something you would like to go online and run after things they heard in their café fields nope but i cant fully tell you anything about this so if you wouldnt be able to talk to offices one in the morning there would be more meetings just seen through it and there would be just two working posters,66.0,47.8571,0.0,66.0
test,281474976888614_f1702_chunk_5.wav,,0.7536875,Male,45-60,Kannada,tiny,transcript_clean,gold,Rawalpindi,rawalpindi,moment and half left 10 presidente będer. Where can electricity be electricity? They are so. How are they? How are you? Should never be one. How are they going? Are we in waste. What kind of fireplace are we smoking? Or maybe if we got home yes? What? Are we in waste? Are they holding inside? Or it only needs. Is it? Would it be.,moment and half left ten presidente będer where can electricity be electricity they are so how are they how are you should never be one how are they going are we in waste what kind of fireplace are we smoking or maybe if we got home yes what are we in waste are they holding inside or it only needs is it would it be,65.0,30.6,0.0,65.0
test,281474976902157_f633_chunk_0.wav,,0.3258125,Female,45-60,Urdu,tiny,transcript_clean,gold,Five,five,"Vom inexplicable of located in the area has chilies. Why? Lonely pastwheeling pond of lime. Gotstock. Obviously many of them. The level of lime the same, moisture of these dang土 areas is that they give a skin? They can use nothing less than dense capers than them in the garden. Now, live called can available it for a more large. You were saying,",vom inexplicable of located in the area has chilies why lonely pastwheeling pond of lime gotstock obviously many of them the level of lime the same moisture of these dang土 areas is that they give a skin they can use nothing less than dense capers than them in the garden now live called can available it for a more large you were saying,63.0,83.0,0.0,63.0
test,281474976887174_f3263_chunk_5.wav,,1.92,Female,18-30,Malayalam,tiny,transcript_clean,gold,Parthasarathy Temple.,parthasarathy temple,"The width of Bernardo's water 1966-2064 is for the Beida stra semide you can see the whey from drain water Handsworth is a free idea of waterism, a fin motion the water assembly is in the mesh and it's safe to have water motion to use bestyle now of loving water for the co-banding Mailinthee sheet between two tanks and two sections of drilling",the width of bernardo s water one thousand nine hundred and sixty six two thousand and sixty four is for the beida stra semide you can see the whey from drain water handsworth is a free idea of waterism a fin motion the water assembly is in the mesh and it s safe to have water motion to use bestyle now of loving water for the co banding mailinthee sheet between two tanks and two sections of drilling,39.0,19.2,0.0,39.0
test,281474976895315_f2485_chunk_0.wav,,0.597625,Male,30-45,Kashmiri,tiny,transcript_clean,gold,Visual,visual,"Dr. minimize 132 on Kh channel, and then 3000 people in Kh channel will be completed in it will be a begins",dr minimize one hundred and thirty two on kh channel and then three thousand people in kh channel will be completed in it will be a begins,27.0,22.3333,0.0,27.0
test,281474976897366_f447_chunk_0.wav,,0.5263125,Male,18-30,Odia,tiny,transcript_clean,gold,Forward,forward,is definitely the medium of nervousness in there. But if you want to be missile-harovative and,is definitely the medium of nervousness in there but if you want to be missile harovative and,17.0,12.2857,0.0,17.0
test,281474976900602_f2216_chunk_12.wav,,1.050125,Male,30-45,Urdu,tiny,transcript_clean,gold,etc,etc,that is a drill deformation that is left at the tying of tubesps or th ر,that is a drill deformation that is left at the tying of tubesps or th ر,16.0,23.3333,0.0,16.0
test,281474976898606_f2972_chunk_0.wav,,0.3689375,Male,60+,Bengali,tiny,transcript_clean,gold,Dog,dog,the dog disappears. The dog jumps all the way down the clutch and also goes towards the,the dog disappears the dog jumps all the way down the clutch and also goes towards the,16.0,27.6667,1.0,17.0
test,281474976925712_f2835_chunk_0.wav,,0.1640625,Female,18-30,Dogri,tiny,transcript_clean,gold,Cat,cat,Kay. Do you have my question? Do you have the charge? Yes and I train.,kay do you have my question do you have the charge yes and i train,15.0,21.0,0.0,15.0
test,281474976887083_f2168_chunk_4.wav,,0.985,Female,30-45,Gujarati,tiny,transcript_clean,gold,IT sectors,it sectors,"I Crusaders ide partnerships with This project. An English inspired made for Tori. When Tori is comp Landorter мной,'ll run their feeds, will build their own supply. ... .. . ..",i crusaders ide partnerships with this project an english inspired made for tori when tori is comp landorter мной ll run their feeds will build their own supply,14.0,15.0,0.0,14.0
test,281474976893929_f1399_chunk_0.wav,,0.4085,Female,18-30,Nepali,tiny,transcript_clean,gold,Bed,bed,"[♪ando-struggling musicake tr health labels, traffic accidentidor praises the murderer's murderer tape.""",ando struggling musicake tr health labels traffic accidentidor praises the murderer s murderer tape,14.0,32.0,0.0,14.0
