split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,favorite karuta mytho,favorite karuta mytho,1.0,0.1905,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,create a playlist with only t n shesha gopal and songs,create a playlist with only t n shesha gopal and songs,0.625,0.102,0.75,1.375
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambu bada pao center have take away,does best jambu bada pao center have take away,0.625,0.1111,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rahmat the dharya elahi,play rahmat the dharya elahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,change the song to everyday we lit,change the song to everyday we lit,sends the song to every day we live,sends the song to every day we live,0.5714,0.2353,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G33140-G33140S2365,AESRC2020-INDIAN-ACCENT-G33140,2.395,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,put you are a lie on next,put you are a lie on next,put url i on next,put url i on next,0.5714,0.36,0.4286,0.7143
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,when did bandawla azul de zero earn first debit,when did bandawla azul de 0 earn 1st debit,0.5556,0.2,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser are looser,i better rock now fits like such a looser are looser,0.5385,0.2407,0.5,0.8462
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,stop playing the mill,stop playing the mill,stop playing damiel,stop playing damiel,0.5,0.2381,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,of it the plot of lioness,of it the plot of lioness,or what is the plot of lioness,or what is the plot of lioness,0.5,0.28,0.8,1.1667
test,AESRC2020-INDIAN-ACCENT-G03218-G03218S2365,AESRC2020-INDIAN-ACCENT-G03218,3.912,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,what is quinte west weekly forecast,what is quinte west weekly forecast,what is can't waste weekly forecast,what is can not waste weekly forecast,0.5,0.2286,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,AESRC2020-INDIAN-ACCENT-G03626,5.64,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,what year did kuchh jhuki palkain come out,what year did kuchh jhuki palkain come out,what tear did kuch zhuki palke come out,what tear did kuch zhuki palke come out,0.5,0.1429,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G22609-G22609S2354,AESRC2020-INDIAN-ACCENT-G22609,2.62,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,how far is a light year,how far is a light year,how far is alightier,how far is alightier,0.5,0.1739,0.5,0.6667
test,AESRC2020-INDIAN-ACCENT-G32335-G32335S2354,AESRC2020-INDIAN-ACCENT-G32335,2.88,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,where is vanakamal hotel,where is vanakamal hotel,where is one kamal hotel,where is one kamal hotel,0.5,0.1667,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G43680-G43680S2361,AESRC2020-INDIAN-ACCENT-G43680,3.11,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,when will the sunset in nadiad,when will the sunset in nadiad,when will the sun set in nadiyad,when will the sun set in nadiyad,0.5,0.0667,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G03640-G03640S2365,AESRC2020-INDIAN-ACCENT-G03640,4.752,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,when is rahat fateh ali khan and tanishk bagchi next concert,when is rahat fateh ali khan and tanishk bagchi next concert,when is rat fateh alikhane and tanesh kabakchi next concert,when is rat fateh alikhane and tanesh kabakchi next concert,0.4545,0.1333,0.5455,0.9091
test,AESRC2020-INDIAN-ACCENT-G04091-G04091S2371,AESRC2020-INDIAN-ACCENT-G04091,4.054,INDIAN,medium_aesrc_ft_seed45,whisper_norm,gold,i want to get takeaway from the fishermans arms,i want to get takeaway from the fishermans arms,i want to get take away from the fisherman's arms,i want to get take away from the fisherman is arms,0.4444,0.0638,0.7778,1.2222
