dataset,model,model_display,batch_size,status,rtfx_audio_s_per_s,utterances_per_s,completion_latency_p95_s,gpu_util_mean_pct,device_memory_peak_mib,corpus_wer_pct,wer_delta_pp_vs_batch1,empty_hypotheses,quality_valid,gate_reject_reason,sensitivity_valid,is_selected
svarah,tiny,Whisper Tiny,1,ok,41.943,7.917,0.2007,15.58,641.0,19.5282,0.0,0,True,,True,False
svarah,tiny,Whisper Tiny,2,ok,52.364,9.884,0.2913,12.35,643.0,19.4573,-0.0709,0,True,,True,False
svarah,tiny,Whisper Tiny,4,ok,61.989,11.701,0.4574,8.61,695.0,19.4573,-0.0709,0,True,,True,False
svarah,tiny,Whisper Tiny,8,ok,68.911,13.008,0.7585,5.77,819.0,19.4573,-0.0709,0,True,,True,False
svarah,tiny,Whisper Tiny,16,ok,73.81,13.932,1.3363,3.83,1063.0,19.4573,-0.0709,0,True,,True,False
svarah,tiny,Whisper Tiny,32,ok,75.873,14.322,2.4922,2.88,1541.0,19.4573,-0.0709,0,True,,True,False
svarah,tiny,Whisper Tiny,64,ok,77.276,14.587,4.6714,2.0,2491.0,19.4573,-0.0709,0,True,,True,False
svarah,tiny,Whisper Tiny,128,ok,78.742,14.863,8.9917,1.77,4385.0,19.5105,-0.0177,0,True,,True,True
svarah,base,Whisper Base,1,ok,35.201,6.644,0.2493,17.36,717.0,13.8702,0.0,0,True,,True,False
svarah,base,Whisper Base,2,ok,45.917,8.667,0.3376,14.12,733.0,13.7992,-0.071,0,True,,True,False
svarah,base,Whisper Base,4,ok,56.754,10.713,0.5212,10.73,801.0,13.8347,-0.0355,0,True,,True,False
svarah,base,Whisper Base,8,ok,65.178,12.303,0.834,7.67,965.0,13.817,-0.0532,0,True,,True,False
svarah,base,Whisper Base,16,ok,70.882,13.38,1.4058,5.52,1287.0,13.8524,-0.0178,0,True,,True,False
svarah,base,Whisper Base,32,ok,73.918,13.953,2.6124,4.1,1917.0,13.7992,-0.071,0,True,,True,False
svarah,base,Whisper Base,64,ok,75.82,14.312,4.8203,3.5,3171.0,13.8347,-0.0355,0,True,,True,False
svarah,base,Whisper Base,128,ok,76.919,14.519,9.2132,3.04,5671.0,13.8347,-0.0355,0,True,,True,True
svarah,small,Whisper Small,1,ok,27.256,5.145,0.3579,22.73,1089.0,10.2341,0.0,0,True,,True,False
svarah,small,Whisper Small,2,ok,36.651,6.918,0.464,20.4,1173.0,10.2519,0.0178,0,True,,True,False
svarah,small,Whisper Small,4,ok,48.267,9.111,0.6964,16.96,1299.0,10.2164,-0.0177,0,True,,True,False
svarah,small,Whisper Small,8,ok,57.761,10.903,1.0695,13.36,1571.0,10.2341,0.0,0,True,,True,False
svarah,small,Whisper Small,16,ok,64.922,12.255,1.7046,9.75,2259.0,10.2341,0.0,0,True,,True,False
svarah,small,Whisper Small,32,ok,68.178,12.869,2.9289,8.93,3627.0,10.2341,0.0,0,True,,True,False
svarah,small,Whisper Small,64,ok,71.457,13.488,5.2775,8.23,6345.0,10.2341,0.0,0,True,,True,False
svarah,small,Whisper Small,128,ok,72.602,13.704,9.9319,7.54,11763.0,10.2519,0.0178,0,True,,True,True
svarah,medium,Whisper Medium,1,ok,18.217,3.439,0.5839,28.8,2171.0,7.8929,0.0,0,True,,True,False
svarah,medium,Whisper Medium,2,ok,26.72,5.044,0.7042,28.95,2361.0,7.8574,-0.0355,0,True,,True,False
svarah,medium,Whisper Medium,4,ok,37.224,7.026,0.9677,24.25,2779.0,7.8929,0.0,0,True,,True,False
svarah,medium,Whisper Medium,8,ok,47.807,9.024,1.381,20.86,3901.0,7.9106,0.0177,0,True,,True,False
svarah,medium,Whisper Medium,16,ok,56.183,10.605,2.0342,20.53,6015.0,7.8929,0.0,0,True,,True,False
svarah,medium,Whisper Medium,32,ok,60.351,11.392,3.5536,19.04,10079.0,7.8929,0.0,0,True,,True,False
svarah,medium,Whisper Medium,64,ok,64.057,12.091,6.0866,18.22,18195.0,7.8751,-0.0178,0,True,,True,True
svarah,medium,Whisper Medium,128,ok,64.363,12.149,11.6177,18.55,34419.0,7.9106,0.0177,0,True,,True,False
