ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.3688,0.0777,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.4078,0.0744,45
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.3109,0.0874,47
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.4221,0.0644,73
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.332,0.0935,33
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.3476,0.0824,44
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.3784,0.0739,63
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.2872,0.1082,29
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.3258,0.0724,43
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.3761,0.0956,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.4098,0.0645,63
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.3629,0.0676,49
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.3575,0.0754,62
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.3191,0.0797,42
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.3586,0.077,48
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.4447,0.0677,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.3352,0.0741,44
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.4498,0.0962,66
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.3187,0.073,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.3695,0.052,62
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.3588,0.0661,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.3281,0.0863,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.268,0.09,25
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.3117,0.1346,27
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.3721,0.0703,52
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.3955,0.0625,54
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.3724,0.0744,66
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.4029,0.0569,63
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.3077,0.1039,30
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.4111,0.0769,71
AESRC2020-INDIAN-ACCENT-G02523-G02523S3370,2.17,0.3731,0.1719,21
AESRC2020-INDIAN-ACCENT-G02582-G02582S2355,2.621,0.3539,0.135,49
AESRC2020-INDIAN-ACCENT-G02628-G02628S2354,3.837,0.337,0.0878,55
AESRC2020-INDIAN-ACCENT-G02770-G02770S2354,3.972,0.3325,0.0837,46
AESRC2020-INDIAN-ACCENT-G02796-G02796S2355,3.594,0.2984,0.083,42
AESRC2020-INDIAN-ACCENT-G02801-G02801S2355,3.24,0.3473,0.1072,51
AESRC2020-INDIAN-ACCENT-G02930-G02930S2354,2.74,0.2912,0.1063,40
AESRC2020-INDIAN-ACCENT-G03084-G03084S2363,3.464,0.3492,0.1008,39
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,5.122,0.3717,0.0726,52
AESRC2020-INDIAN-ACCENT-G03133-G03133S1299,3.61,0.3406,0.0943,52
AESRC2020-INDIAN-ACCENT-G03234-G03234S1299,5.492,0.3691,0.0672,67
AESRC2020-INDIAN-ACCENT-G03234-G03234S2366,3.61,0.3071,0.0851,36
AESRC2020-INDIAN-ACCENT-G03294-G03294S1298,4.463,0.3574,0.0801,63
AESRC2020-INDIAN-ACCENT-G03334-G03334S2355,2.524,0.2725,0.1079,26
AESRC2020-INDIAN-ACCENT-G03524-G03524S3380,2.072,0.2769,0.1336,20
AESRC2020-INDIAN-ACCENT-G03704-G03704S3376,3.269,0.2966,0.0908,27
AESRC2020-INDIAN-ACCENT-G03749-G03749S2372,6.06,0.4709,0.0777,54
AESRC2020-INDIAN-ACCENT-G03804-G03804S2373,3.681,0.3717,0.101,53
AESRC2020-INDIAN-ACCENT-G03809-G03809S2371,3.675,0.3635,0.0989,46
AESRC2020-INDIAN-ACCENT-G03841-G03841S3378,2.805,0.3655,0.1303,26
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,2.625,0.3008,0.1146,28
AESRC2020-INDIAN-ACCENT-G03884-G03884S1299,5.607,0.3938,0.0702,84
AESRC2020-INDIAN-ACCENT-G03899-G03899S3378,3.785,0.3943,0.1042,43
AESRC2020-INDIAN-ACCENT-G03903-G03903S1292,6.355,0.395,0.0622,83
AESRC2020-INDIAN-ACCENT-G03924-G03924S1300,4.098,0.3858,0.0941,54
AESRC2020-INDIAN-ACCENT-G04008-G04008S2372,4.25,0.3221,0.0758,43
AESRC2020-INDIAN-ACCENT-G04061-G04061S1299,6.183,0.397,0.0642,73
AESRC2020-INDIAN-ACCENT-G04084-G04084S2373,4.025,0.3165,0.0786,33
AESRC2020-INDIAN-ACCENT-G10825-G10825S2354,4.285,0.4407,0.1029,52
AESRC2020-INDIAN-ACCENT-G10825-G10825S2355,2.575,0.3725,0.1446,35
AESRC2020-INDIAN-ACCENT-G10839-G10839S2354,3.99,0.3544,0.0888,51
AESRC2020-INDIAN-ACCENT-G10858-G10858S3370,2.462,0.265,0.1077,23
AESRC2020-INDIAN-ACCENT-G10940-G10940S1300,4.863,0.3664,0.0753,53
AESRC2020-INDIAN-ACCENT-G10965-G10965S1300,4.065,0.3386,0.0833,51
