split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,4.906,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,in accordance to your request i am sending you sample pages of the dictionary,in accordance to your request i am sending you sample pages of the dictionary,in accordance to our request i am sending you sample pages of the dictionary,in accordance to our request i am sending you sample pages of the dictionary,0.0714,0.013,0.9286,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,3.874,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,i want to listen to joy to the world again,i want to listen to joy to the world again,i want to listen to joy to the world again,i want to listen to joy to the world again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,3.479,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,i want to listen to secret lovers again,i want to listen to secret lovers again,i want to listen to secret lovers again,i want to listen to secret lovers again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,laundry reminder,laundry reminder,laundry reminder,laundry reminder,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,6.331,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,the pupil's party have got the election sewn up they are sure to win,the pupil s party have got the election sewn up they are sure to win,the people's party have got the election swan up they're sure to win,the people s party have got the election swan up they re sure to win,0.2,0.1029,0.7857,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,5.306,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,5.245,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,how much is stayfree sanitary pad drymax all night,how much is stayfree sanitary pad drymax all night,how much is stayfree sanitary pad dry max all night,how much is stayfree sanitary pad dry max all night,0.2222,0.02,0.8889,1.1111
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,3.715,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,replay the song gaal ni kadni,replay the song gaal ni kadni,replay the song galni kadhni,replay the song galni kadhni,0.5,0.1034,0.5,0.8333
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,6.375,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,7.685,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by mya pati shreeram chandr,play songs by mya pati shreeram chandr,0.6667,0.1026,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,stop playing the mill,stop playing the mill,stop playing damill,stop playing damill,0.5,0.1905,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,AESRC2020-INDIAN-ACCENT-G00942,4.747,INDIAN,small_aesrc_ft_seed45,transcript_raw,gold,we must put our heads together and decide what to do,we must put our heads together and decide what to do,we must put our heads together and decide what to do,we must put our heads together and decide what to do,0.0,0.0,1.0,1.0
