split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,,INDIAN,parakeet,whisper_norm,gold,skip apni mitti,skip apni mitti,Escape eponymity.,escape eponymity,1.0,0.6667,0.0,0.6667
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,,INDIAN,parakeet,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,Favourite Karuta Myutho,favorite karuta myutho,1.0,0.1905,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,,INDIAN,parakeet,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,Play Rehmada Daria Ilahi,play rehmada daria ilahi,0.8,0.1852,0.2,0.8
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,,INDIAN,parakeet,whisper_norm,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,Carpets allowed in Rome's head hotel in us.,carpets allowed in rome is head hotel in us,0.7778,0.3488,0.3333,1.0
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,,INDIAN,parakeet,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,Dutch best Jambo Bada Power Centre have take away.,dutch best jambo bada power center have take away,0.75,0.2444,0.375,1.125
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2354,AESRC2020-INDIAN-ACCENT-G32681,,INDIAN,parakeet,whisper_norm,gold,is there free wifi at vishnu hotel,is there free wifi at vishnu hotel,Is there free wi fiat with snow water?,is there free wi fiat with snow water,0.7143,0.3235,0.4286,1.1429
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,,INDIAN,parakeet,whisper_norm,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,How many branches does Sri Gatrib hold an ally?,how many branches does sri gatrib hold an ally,0.7143,0.2609,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G90144-G90144S3370,AESRC2020-INDIAN-ACCENT-G90144,,INDIAN,parakeet,whisper_norm,gold,stop cleaning anymore,stop cleaning anymore,Stop cleaning any more.,stop cleaning any more,0.6667,0.0476,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,,INDIAN,parakeet,whisper_norm,gold,of it the plot of lioness,of it the plot of lioness,Or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,,INDIAN,parakeet,whisper_norm,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,When did Guy Three a year become famous?,when did guy 3 a year become famous,0.6667,0.2,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S3370,AESRC2020-INDIAN-ACCENT-G02684,,INDIAN,parakeet,whisper_norm,gold,activity the oven,activity the oven,Activity the O win.,activity the 0 win,0.6667,0.2353,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G53668-G53668S2365,AESRC2020-INDIAN-ACCENT-G53668,,INDIAN,parakeet,whisper_norm,gold,switch to malgudi subha songs,switch to malgudi subha songs,Switch to Marguri Shubha Song.,switch to marguri shubha song,0.6,0.1379,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G90236-G90236S2355,AESRC2020-INDIAN-ACCENT-G90236,,INDIAN,parakeet,whisper_norm,gold,play all episodes of aane wala pal,play all episodes of aane wala pal,Play all episodes of any wall of all.,play all episodes of any wall of all,0.5714,0.2059,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G23248-G23248S2366,AESRC2020-INDIAN-ACCENT-G23248,,INDIAN,parakeet,whisper_norm,gold,play the complete lakhon mein ek series,play the complete lakhon mein ek series,Play the complete Lakho Me X Rege.,play the complete lakho me x rege,0.5714,0.2308,0.4286,1.0
test,AESRC2020-INDIAN-ACCENT-G23372-G23372S2354,AESRC2020-INDIAN-ACCENT-G23372,,INDIAN,parakeet,whisper_norm,gold,restart this episode of yahan main ghar ghar kheli,restart this episode of yahan main ghar ghar kheli,Restart this episode of Yahame Gharder Kelly,restart this episode of yahame gharder kelly,0.5556,0.24,0.5,0.7778
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,,INDIAN,parakeet,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,When did Mandawallah Azul de Zerohan's first debate?,when did mandawallah azul de zerohan is 1st debate,0.5556,0.3111,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G53371-G53371S2354,AESRC2020-INDIAN-ACCENT-G53371,,INDIAN,parakeet,whisper_norm,gold,restart this episode of rukawat ke liye khed hai,restart this episode of rukawat ke liye khed hai,Restart this episode of Rocovad Killie Kede.,restart this episode of rocovad killie kede,0.5556,0.2708,0.4444,0.7778
test,AESRC2020-INDIAN-ACCENT-G03161-G03161S2365,AESRC2020-INDIAN-ACCENT-G03161,,INDIAN,parakeet,whisper_norm,gold,add sajan ghar jaana hai to up next,add sajan ghar jaana hai to up next,Ed Sajan Gharzana had to up next.,ed sajan gharzana had to up next,0.5,0.1714,0.5,0.875
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,,INDIAN,parakeet,whisper_norm,gold,is de souza resorts adult only,is de souza resorts adult only,Is this user resort adult only?,is this user resort adult only,0.5,0.2667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G23372-G23372S3370,AESRC2020-INDIAN-ACCENT-G23372,,INDIAN,parakeet,whisper_norm,gold,put the tv on,put the tv on,Put the T V on.,put the t v on,0.5,0.0769,0.75,1.25
