ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.1805,0.038,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.2644,0.0483,45
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.2382,0.067,47
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.3618,0.0552,71
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.1642,0.0463,33
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.3058,0.0725,44
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.2395,0.0468,63
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.2354,0.0887,26
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.2758,0.0613,43
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.2445,0.0621,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.2728,0.0429,63
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.2498,0.0465,49
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.247,0.0521,64
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.2382,0.0595,42
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.3038,0.0652,48
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.3023,0.046,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.3012,0.0666,46
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.3121,0.0668,66
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.2585,0.0592,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.2514,0.0354,62
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.283,0.0522,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.17,0.0447,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.2721,0.0914,25
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.2367,0.1022,27
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.2602,0.0492,52
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.1823,0.0288,55
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.2671,0.0534,66
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.232,0.0328,64
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.2487,0.084,30
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.3034,0.0567,71
AESRC2020-INDIAN-ACCENT-G02523-G02523S3370,2.17,0.1741,0.0802,21
AESRC2020-INDIAN-ACCENT-G02582-G02582S2355,2.621,0.1854,0.0707,49
AESRC2020-INDIAN-ACCENT-G02628-G02628S2354,3.837,0.2234,0.0582,55
AESRC2020-INDIAN-ACCENT-G02770-G02770S2354,3.972,0.2596,0.0654,46
AESRC2020-INDIAN-ACCENT-G02796-G02796S2355,3.594,0.2888,0.0804,42
AESRC2020-INDIAN-ACCENT-G02801-G02801S2355,3.24,0.2651,0.0818,51
AESRC2020-INDIAN-ACCENT-G02930-G02930S2354,2.74,0.1862,0.068,39
AESRC2020-INDIAN-ACCENT-G03084-G03084S2363,3.464,0.2213,0.0639,39
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,5.122,0.2216,0.0433,52
AESRC2020-INDIAN-ACCENT-G03133-G03133S1299,3.61,0.205,0.0568,52
AESRC2020-INDIAN-ACCENT-G03234-G03234S1299,5.492,0.2183,0.0398,69
AESRC2020-INDIAN-ACCENT-G03234-G03234S2366,3.61,0.1933,0.0535,35
AESRC2020-INDIAN-ACCENT-G03294-G03294S1298,4.463,0.2299,0.0515,63
AESRC2020-INDIAN-ACCENT-G03334-G03334S2355,2.524,0.1774,0.0703,26
AESRC2020-INDIAN-ACCENT-G03524-G03524S3380,2.072,0.1805,0.0871,20
AESRC2020-INDIAN-ACCENT-G03704-G03704S3376,3.269,0.2094,0.0641,27
AESRC2020-INDIAN-ACCENT-G03749-G03749S2372,6.06,0.2284,0.0377,54
AESRC2020-INDIAN-ACCENT-G03804-G03804S2373,3.681,0.2411,0.0655,54
AESRC2020-INDIAN-ACCENT-G03809-G03809S2371,3.675,0.2144,0.0583,46
AESRC2020-INDIAN-ACCENT-G03841-G03841S3378,2.805,0.1955,0.0697,26
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,2.625,0.2139,0.0815,28
AESRC2020-INDIAN-ACCENT-G03884-G03884S1299,5.607,0.3511,0.0626,82
AESRC2020-INDIAN-ACCENT-G03899-G03899S3378,3.785,0.2909,0.0768,43
AESRC2020-INDIAN-ACCENT-G03903-G03903S1292,6.355,0.3375,0.0531,82
AESRC2020-INDIAN-ACCENT-G03924-G03924S1300,4.098,0.2906,0.0709,54
AESRC2020-INDIAN-ACCENT-G04008-G04008S2372,4.25,0.2824,0.0664,43
AESRC2020-INDIAN-ACCENT-G04061-G04061S1299,6.183,0.312,0.0505,71
AESRC2020-INDIAN-ACCENT-G04084-G04084S2373,4.025,0.2575,0.064,33
AESRC2020-INDIAN-ACCENT-G10825-G10825S2354,4.285,0.3022,0.0705,53
AESRC2020-INDIAN-ACCENT-G10825-G10825S2355,2.575,0.2932,0.1138,35
AESRC2020-INDIAN-ACCENT-G10839-G10839S2354,3.99,0.3881,0.0973,51
AESRC2020-INDIAN-ACCENT-G10858-G10858S3370,2.462,0.2731,0.1109,23
AESRC2020-INDIAN-ACCENT-G10940-G10940S1300,4.863,0.3524,0.0725,53
AESRC2020-INDIAN-ACCENT-G10965-G10965S1300,4.065,0.3139,0.0772,48
AESRC2020-INDIAN-ACCENT-G10965-G10965S2353,2.774,0.291,0.1049,34
AESRC2020-INDIAN-ACCENT-G11785-G11785S1299,5.151,0.276,0.0536,56
AESRC2020-INDIAN-ACCENT-G11785-G11785S2354,4.358,0.2884,0.0662,44
AESRC2020-INDIAN-ACCENT-G11837-G11837S1299,3.845,0.1935,0.0503,60
AESRC2020-INDIAN-ACCENT-G12412-G12412S1300,4.67,0.2704,0.0579,54
AESRC2020-INDIAN-ACCENT-G12412-G12412S2354,3.795,0.2836,0.0747,47
AESRC2020-INDIAN-ACCENT-G12444-G12444S2355,3.437,0.2586,0.0752,32
AESRC2020-INDIAN-ACCENT-G12532-G12532S2352,5.403,0.275,0.0509,61
AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,4.009,0.246,0.0614,35
AESRC2020-INDIAN-ACCENT-G12699-G12699S2354,3.29,0.248,0.0754,41
AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,2.307,0.214,0.0928,21
AESRC2020-INDIAN-ACCENT-G12730-G12730S1299,6.297,0.2987,0.0474,73
AESRC2020-INDIAN-ACCENT-G12737-G12737S1299,4.257,0.2926,0.0687,48
AESRC2020-INDIAN-ACCENT-G12738-G12738S1300,6.385,0.3248,0.0509,49
AESRC2020-INDIAN-ACCENT-G12738-G12738S2355,4.84,0.2227,0.046,65
AESRC2020-INDIAN-ACCENT-G12776-G12776S2351,2.818,0.2438,0.0865,40
AESRC2020-INDIAN-ACCENT-G12854-G12854S1300,4.406,0.3155,0.0716,51
AESRC2020-INDIAN-ACCENT-G12854-G12854S3370,2.51,0.2637,0.1051,25
AESRC2020-INDIAN-ACCENT-G12864-G12864S2354,4.475,0.2702,0.0604,49
AESRC2020-INDIAN-ACCENT-G12885-G12885S2355,4.747,0.3294,0.0694,58
AESRC2020-INDIAN-ACCENT-G12890-G12890S2354,4.665,0.1802,0.0386,55
AESRC2020-INDIAN-ACCENT-G12925-G12925S2352,2.777,0.2482,0.0894,29
AESRC2020-INDIAN-ACCENT-G12929-G12929S1298,6.094,0.2277,0.0374,61
AESRC2020-INDIAN-ACCENT-G13083-G13083S1300,3.915,0.2247,0.0574,38
AESRC2020-INDIAN-ACCENT-G13083-G13083S2365,4.145,0.2336,0.0564,34
AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,3.28,0.3115,0.095,32
AESRC2020-INDIAN-ACCENT-G13176-G13176S2365,5.07,0.2653,0.0523,43
AESRC2020-INDIAN-ACCENT-G13217-G13217S1300,4.175,0.3642,0.0872,42
AESRC2020-INDIAN-ACCENT-G13373-G13373S1297,3.486,0.3623,0.1039,63
AESRC2020-INDIAN-ACCENT-G13373-G13373S1298,3.58,0.3215,0.0898,62
AESRC2020-INDIAN-ACCENT-G13378-G13378S1299,5.43,0.2913,0.0536,49
AESRC2020-INDIAN-ACCENT-G13456-G13456S1299,7.02,0.3265,0.0465,67
AESRC2020-INDIAN-ACCENT-G13630-G13630S2364,7.334,0.2775,0.0378,47
AESRC2020-INDIAN-ACCENT-G13683-G13683S2366,5.393,0.3436,0.0637,59
AESRC2020-INDIAN-ACCENT-G13707-G13707S1299,5.07,0.2617,0.0516,52
AESRC2020-INDIAN-ACCENT-G13707-G13707S1300,4.405,0.2904,0.0659,42
AESRC2020-INDIAN-ACCENT-G13713-G13713S1300,4.458,0.2793,0.0627,73
AESRC2020-INDIAN-ACCENT-G13799-G13799S1299,3.932,0.2776,0.0706,57
AESRC2020-INDIAN-ACCENT-G14064-G14064S2372,6.968,0.2782,0.0399,63
AESRC2020-INDIAN-ACCENT-G20961-G20961S3370,2.762,0.2601,0.0942,29
AESRC2020-INDIAN-ACCENT-G22350-G22350S1300,4.355,0.2531,0.0581,48
AESRC2020-INDIAN-ACCENT-G22485-G22485S2355,3.9,0.2914,0.0747,48
AESRC2020-INDIAN-ACCENT-G22525-G22525S2355,2.82,0.3276,0.1162,35
AESRC2020-INDIAN-ACCENT-G22552-G22552S2352,2.871,0.3359,0.117,40
AESRC2020-INDIAN-ACCENT-G22552-G22552S2354,3.83,0.3211,0.0838,41
AESRC2020-INDIAN-ACCENT-G22669-G22669S1299,4.718,0.3158,0.0669,64
AESRC2020-INDIAN-ACCENT-G23074-G23074S2365,4.95,0.3934,0.0795,76
AESRC2020-INDIAN-ACCENT-G23213-G23213S3376,4.26,0.3192,0.0749,53
AESRC2020-INDIAN-ACCENT-G23248-G23248S1300,6.475,0.3335,0.0515,64
AESRC2020-INDIAN-ACCENT-G23248-G23248S2365,4.325,0.265,0.0613,42
AESRC2020-INDIAN-ACCENT-G23374-G23374S1300,3.294,0.2645,0.0803,52
AESRC2020-INDIAN-ACCENT-G23507-G23507S1200,3.755,0.3084,0.0821,60
AESRC2020-INDIAN-ACCENT-G23553-G23553S2366,4.29,0.284,0.0662,57
AESRC2020-INDIAN-ACCENT-G23571-G23571S3376,3.47,0.2699,0.0778,37
AESRC2020-INDIAN-ACCENT-G23656-G23656S1300,3.825,0.2922,0.0764,51
AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,2.674,0.2309,0.0863,22
AESRC2020-INDIAN-ACCENT-G23678-G23678S2366,3.284,0.1711,0.0521,36
AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,4.47,0.2614,0.0585,56
AESRC2020-INDIAN-ACCENT-G23687-G23687S1300,4.485,0.1713,0.0382,48
AESRC2020-INDIAN-ACCENT-G23687-G23687S2364,3.996,0.4066,0.1017,42
AESRC2020-INDIAN-ACCENT-G23715-G23715S1299,4.624,0.2181,0.0472,74
AESRC2020-INDIAN-ACCENT-G23773-G23773S1300,5.56,0.2865,0.0515,67
AESRC2020-INDIAN-ACCENT-G23773-G23773S2373,4.509,0.2859,0.0634,51
AESRC2020-INDIAN-ACCENT-G23817-G23817S2373,4.525,0.315,0.0696,43
AESRC2020-INDIAN-ACCENT-G23819-G23819S1298,6.063,0.2927,0.0483,66
AESRC2020-INDIAN-ACCENT-G23821-G23821S1300,7.415,0.3378,0.0455,70
AESRC2020-INDIAN-ACCENT-G23930-G23930S1297,6.33,0.2907,0.0459,70
AESRC2020-INDIAN-ACCENT-G23952-G23952S1300,5.016,0.302,0.0602,64
AESRC2020-INDIAN-ACCENT-G24000-G24000S2372,4.885,0.2567,0.0525,44
AESRC2020-INDIAN-ACCENT-G32673-G32673S2354,2.853,0.3059,0.1072,35
AESRC2020-INDIAN-ACCENT-G32882-G32882S1300,4.28,0.277,0.0647,54
AESRC2020-INDIAN-ACCENT-G32893-G32893S1298,4.986,0.2626,0.0527,66
AESRC2020-INDIAN-ACCENT-G32941-G32941S2353,4.873,0.2572,0.0528,40
AESRC2020-INDIAN-ACCENT-G32952-G32952S2355,3.84,0.3082,0.0803,43
AESRC2020-INDIAN-ACCENT-G32966-G32966S1300,6.049,0.2701,0.0447,67
AESRC2020-INDIAN-ACCENT-G32977-G32977S2354,3.373,0.3822,0.1133,42
AESRC2020-INDIAN-ACCENT-G32980-G32980S1300,3.924,0.2876,0.0733,58
AESRC2020-INDIAN-ACCENT-G33040-G33040S2365,3.798,0.265,0.0698,47
AESRC2020-INDIAN-ACCENT-G33409-G33409S1300,4.945,0.2957,0.0598,64
AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,4.507,0.322,0.0714,37
AESRC2020-INDIAN-ACCENT-G33487-G33487S1199,5.312,0.3331,0.0627,54
AESRC2020-INDIAN-ACCENT-G33487-G33487S1200,5.565,0.4081,0.0733,59
AESRC2020-INDIAN-ACCENT-G33625-G33625S1300,4.71,0.2894,0.0614,66
AESRC2020-INDIAN-ACCENT-G33816-G33816S2372,4.638,0.2891,0.0623,51
AESRC2020-INDIAN-ACCENT-G40915-G40915S2354,3.71,0.3137,0.0846,39
AESRC2020-INDIAN-ACCENT-G40917-G40917S2355,4.853,0.189,0.0389,58
AESRC2020-INDIAN-ACCENT-G42029-G42029S2363,3.3,0.2417,0.0732,29
AESRC2020-INDIAN-ACCENT-G42302-G42302S1299,5.954,0.2891,0.0485,67
AESRC2020-INDIAN-ACCENT-G42538-G42538S2354,2.945,0.3542,0.1203,31
AESRC2020-INDIAN-ACCENT-G42543-G42543S1300,6.083,0.3678,0.0605,76
AESRC2020-INDIAN-ACCENT-G42659-G42659S1299,6.263,0.3103,0.0495,64
AESRC2020-INDIAN-ACCENT-G42659-G42659S2355,3.651,0.2959,0.0811,34
AESRC2020-INDIAN-ACCENT-G42717-G42717S2354,3.589,0.3119,0.0869,42
AESRC2020-INDIAN-ACCENT-G42717-G42717S2355,3.409,0.2943,0.0863,35
AESRC2020-INDIAN-ACCENT-G42895-G42895S1300,4.26,0.2825,0.0663,45
AESRC2020-INDIAN-ACCENT-G43065-G43065S3375,3.115,0.261,0.0838,22
AESRC2020-INDIAN-ACCENT-G43223-G43223S1299,3.76,0.3316,0.0882,64
AESRC2020-INDIAN-ACCENT-G43364-G43364S1300,4.115,0.2646,0.0643,57
AESRC2020-INDIAN-ACCENT-G43364-G43364S2355,2.707,0.2863,0.1057,32
AESRC2020-INDIAN-ACCENT-G43367-G43367S3370,2.29,0.2212,0.0966,40
AESRC2020-INDIAN-ACCENT-G43468-G43468S2353,3.63,0.2805,0.0773,39
AESRC2020-INDIAN-ACCENT-G43652-G43652S1299,3.705,0.2739,0.0739,46
AESRC2020-INDIAN-ACCENT-G43935-G43935S1300,5.265,0.3207,0.0609,72
AESRC2020-INDIAN-ACCENT-G43935-G43935S2372,3.167,0.2533,0.08,43
AESRC2020-INDIAN-ACCENT-G51201-G51201S1299,4.427,0.3517,0.0794,62
AESRC2020-INDIAN-ACCENT-G52739-G52739S2354,4.993,0.2683,0.0537,34
AESRC2020-INDIAN-ACCENT-G52843-G52843S3370,3.95,0.3341,0.0846,52
AESRC2020-INDIAN-ACCENT-G53397-G53397S2355,4.482,0.1681,0.0375,41
AESRC2020-INDIAN-ACCENT-G53668-G53668S2366,4.42,0.3431,0.0776,49
AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,4.96,0.2518,0.0508,48
AESRC2020-INDIAN-ACCENT-G53975-G53975S1300,8.24,0.3888,0.0472,82
AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,4.18,0.2655,0.0635,47
AESRC2020-INDIAN-ACCENT-G64015-G64015S1300,6.085,0.3242,0.0533,72
AESRC2020-INDIAN-ACCENT-G90219-G90219S1299,4.616,0.2912,0.0631,75
AESRC2020-INDIAN-ACCENT-G90233-G90233S1299,5.778,0.2573,0.0445,56
AESRC2020-INDIAN-ACCENT-G90249-G90249S3370,3.293,0.3005,0.0913,29
AESRC2020-INDIAN-ACCENT-G90279-G90279S1300,5.807,0.3113,0.0536,77
AESRC2020-INDIAN-ACCENT-G90279-G90279S3370,3.59,0.3797,0.1058,47
AESRC2020-INDIAN-ACCENT-G90311-G90311S1300,3.982,0.2505,0.0629,52
AESRC2020-INDIAN-ACCENT-G90441-G90441S1299,7.041,0.3636,0.0516,67
AESRC2020-INDIAN-ACCENT-G90627-G90627S3369,3.655,0.2937,0.0804,35
AESRC2020-INDIAN-ACCENT-G90709-G90709S2349,4.492,0.2981,0.0664,60
AESRC2020-INDIAN-ACCENT-G90786-G90786S1200,5.065,0.3341,0.066,62
AESRC2020-INDIAN-ACCENT-G91301-G91301S2352,2.665,0.2692,0.101,37
AESRC2020-INDIAN-ACCENT-G91345-G91345S1300,3.95,0.3637,0.0921,49
AESRC2020-INDIAN-ACCENT-G91446-G91446S1299,4.333,0.2413,0.0557,56
AESRC2020-INDIAN-ACCENT-G91743-G91743S2350,5.33,0.2704,0.0507,70
AESRC2020-INDIAN-ACCENT-G91747-G91747S1199,5.841,0.2444,0.0418,74
AESRC2020-INDIAN-ACCENT-G92374-G92374S1255,3.335,0.2139,0.0641,60
AESRC2020-INDIAN-ACCENT-G92539-G92539S1299,4.306,0.2256,0.0524,66
AESRC2020-INDIAN-ACCENT-G92539-G92539S2339,3.213,0.2159,0.0672,50
AESRC2020-INDIAN-ACCENT-G93072-G93072S2355,4.775,0.2353,0.0493,69
AESRC2020-INDIAN-ACCENT-G93269-G93269S2354,5.278,0.3097,0.0587,62
AESRC2020-INDIAN-ACCENT-G93615-G93615S1300,4.739,0.2777,0.0586,50
AESRC2020-INDIAN-ACCENT-G93639-G93639S2366,4.465,0.2554,0.0572,38
AESRC2020-INDIAN-ACCENT-G94750-G94750S1199,3.668,0.2696,0.0735,52
