split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976889207_f2377_chunk_2.wav,,4.053375,Female,30-45,Urdu,parakeet,transcript_raw,gold,227136543962,227136543962,two two seven one three six five four three nine six two.,two two seven one three six five four three nine six two,12.0,4.6667,0.0,12.0
test,281474976909238_f2866_chunk_1.wav,,4.55175,Female,45-60,Punjabi,parakeet,transcript_raw,gold,377138354339 ?,377138354339,three double seven one three eight three five four three three nine.,three double seven one three eight three five four three three nine,12.0,5.5833,0.0,12.0
test,281474976887155_f2742_chunk_3.wav,,4.4100625,Female,18-30,Malayalam,parakeet,transcript_raw,gold,846916497384,846916497384,Eight four six nine one six four nine seven three eight four.,eight four six nine one six four nine seven three eight four,12.0,5.0,0.0,12.0
test,281474976909239_f2867_chunk_1.wav,,5.020625,Female,45-60,Punjabi,parakeet,transcript_raw,gold,83354714040,83354714040,eight double three five four seven one four zero four zero,eight double three five four seven one four zero four zero,11.0,5.2727,0.0,11.0
test,281474976893088_f2717_chunk_1.wav,,4.2948125,Male,60+,Marathi,parakeet,transcript_raw,gold,81043575275,81043575275,eight one zero four three five seven five two seven five,eight one zero four three five seven five two seven five,11.0,5.0909,0.0,11.0
test,281474976887069_f2936_chunk_1.wav,,6.1138125,Female,30-45,Gujarati,parakeet,transcript_raw,gold,76486997868,76486997868,Seven six four eight six nine nine seven eight six eight,seven six four eight six nine nine seven eight six eight,11.0,5.0909,0.0,11.0
test,281474976887155_f2742_chunk_1.wav,,5.0353125,Female,18-30,Malayalam,parakeet,transcript_raw,gold,85740051518,85740051518,eight five seven four zero zero five one five one eight.,eight five seven four zero zero five one five one eight,11.0,5.0,0.0,11.0
test,281474976888938_f2386_chunk_2.wav,,7.4673125,Female,18-30,Konkani,parakeet,transcript_raw,gold,76899233753@upi,76899233753 upi,seven six eight nine nine two three three seven five three at the rate of UPI,seven six eight nine nine two three three seven five three at the rate of upi,7.5,4.8667,0.5,8.0
test,281474976894934_f1676_chunk_0.wav,,2.524625,Female,30-45,Malayalam,parakeet,transcript_raw,gold,7123,7123,Seven thousand one hundred and twenty three.,seven thousand one hundred and twenty three,7.0,10.75,0.0,7.0
test,281474976895570_f1741_chunk_3.wav,,3.241125,Female,18-30,Malayalam,parakeet,transcript_raw,gold,9995,9995,Nine thousand nine hundred ninety five.,nine thousand nine hundred ninety five,6.0,9.5,0.0,6.0
test,281474976888943_f2387_chunk_1.wav,,3.040875,Female,18-30,Konkani,parakeet,transcript_raw,gold,673694,673694,Six seven three six nine four,six seven three six nine four,6.0,4.8333,0.0,6.0
test,281474976899336_f1803_chunk_1.wav,,2.090375,Female,30-45,Marathi,parakeet,transcript_raw,gold,999,999,Nine hundred and ninety nine.,nine hundred and ninety nine,5.0,9.3333,0.0,5.0
test,281474976895487_f1669_chunk_4.wav,,1.5200625,Male,45-60,Malayalam,parakeet,transcript_raw,gold,7099,7099,Seven thousand and ninety nine.,seven thousand and ninety nine,5.0,7.5,0.0,5.0
test,281474976895273_f2716_chunk_1.wav,,1.705625,Male,30-45,Kashmiri,parakeet,transcript_raw,gold,RSRTC.,rsrtc,R S R T C,r s r t c,5.0,0.8,0.0,5.0
test,281474976896170_f422_chunk_0.wav,,0.7569375,Male,60+,Kannada,parakeet,transcript_raw,gold,Previous,previous,With E V y S.,with e v y s,5.0,1.125,0.0,5.0
test,281474976884349_f1690_chunk_3.wav,,0.790625,Female,18-30,Tamil,parakeet,transcript_raw,gold,Dharmapuri,dharmapuri,"And tied him up, buddy.",and tied him up buddy,5.0,1.7,0.0,5.0
test,281474976884119_f3327_chunk_0.wav,,10.8573125,Female,18-30,Marathi,parakeet,transcript_raw,gold,"68, 129, 546, 2320, 9627",68 129 546 2320 9627,"sixty eight, one twenty nine, five hundred forty six, two thousand three hundred twenty, nine thousand six hundred and twenty seven.",sixty eight one twenty nine five hundred forty six two thousand three hundred twenty nine thousand six hundred and twenty seven,4.2,6.15,0.0,4.2
test,281474976891489_f1743_chunk_0.wav,,12.3678125,Male,18-30,Kashmiri,parakeet,transcript_raw,gold,26 116 2024 1622 8902,26 116 2024 1622 8902,twenty six one hundred and sixteen two thousand and twenty four sixteen hundred twenty two eight thousand nine hundred and two,twenty six one hundred and sixteen two thousand and twenty four sixteen hundred twenty two eight thousand nine hundred and two,4.2,5.8095,0.0,4.2
test,281474976888936_f2388_chunk_1.wav,,2.2556875,Female,18-30,Konkani,parakeet,transcript_raw,gold,@upi,upi,at the rate of UPI.,at the rate of upi,4.0,5.0,1.0,5.0
test,281474976895487_f1669_chunk_2.wav,,1.2920625,Male,45-60,Malayalam,parakeet,transcript_raw,gold,1037,1037,Thousand and thirty seven.,thousand and thirty seven,4.0,6.25,0.0,4.0
