split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,4.906,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,in accordance to your request i am sending you sample pages of the dictionary,in accordance to your request i am sending you sample pages of the dictionary,in accordance to a request i am sending you sample pages of the dictionary,in accordance to a request i am sending you sample pages of the dictionary,0.0714,0.0519,0.9286,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,3.874,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,i want to listen to joy to the world again,i want to listen to joy to the world again,i want to listen to joy to the world again,i want to listen to joy to the world again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,3.479,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,i want to listen to secret lovers again,i want to listen to secret lovers again,i want to listen to secret lovers again,i want to listen to secret lovers again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,laundry reminder,laundry reminder,lonry reminder,lonry reminder,0.5,0.1875,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,6.331,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,the pupil's party have got the election sewn up they are sure to win,the pupil s party have got the election sewn up they are sure to win,the people's party have got the election swan up they're sure to win,the people s party have got the election swan up theyre sure to win,0.2667,0.1176,0.7143,0.9333
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,5.306,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,fill in the chart right names of your favorite band book and movie,fill in the chart right names of your favorite band book and movie,0.0769,0.0606,0.9231,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,5.245,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,how much is stayfree sanitary pad drymax all night,how much is stayfree sanitary pad drymax all night,how much is stifry sanitary pad drymx all night,how much is stifry sanitary pad drymx all night,0.2222,0.1,0.7778,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,3.715,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,replay the song gaal ni kadni,replay the song gaal ni kadni,replay the song gal nichatni,replay the song gal nichatni,0.5,0.1379,0.5,0.8333
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,6.375,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,7.685,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny_aesrc_ft_seed44,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by maia pati shiri rame chandra,play songs by maia pati shiri rame chandra,0.6667,0.2051,0.6667,1.3333
