ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.1826,0.0385,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.2013,0.0367,45
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.1776,0.0499,48
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.2293,0.035,71
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.1705,0.048,34
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.1982,0.047,46
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.2098,0.041,64
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.1658,0.0625,26
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.1733,0.0385,43
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.1965,0.0499,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.2023,0.0318,69
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.1872,0.0349,49
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.1802,0.038,62
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.1735,0.0433,42
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.2006,0.043,51
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.2369,0.0361,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.6443,0.1424,7
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.2495,0.0534,66
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.1796,0.0411,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.2132,0.03,61
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.247,0.0455,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.2146,0.0565,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.1633,0.0549,24
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.1603,0.0692,26
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.197,0.0372,52
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.2122,0.0336,55
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.2021,0.0404,66
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.2165,0.0306,66
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.157,0.053,35
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.1896,0.0354,70
AESRC2020-INDIAN-ACCENT-G02523-G02523S3370,2.17,0.1449,0.0668,21
AESRC2020-INDIAN-ACCENT-G02582-G02582S2355,2.621,0.1859,0.0709,47
AESRC2020-INDIAN-ACCENT-G02628-G02628S2354,3.837,0.1943,0.0506,55
AESRC2020-INDIAN-ACCENT-G02770-G02770S2354,3.972,0.1669,0.042,47
AESRC2020-INDIAN-ACCENT-G02796-G02796S2355,3.594,0.2266,0.063,42
AESRC2020-INDIAN-ACCENT-G02801-G02801S2355,3.24,0.2294,0.0708,50
AESRC2020-INDIAN-ACCENT-G02930-G02930S2354,2.74,0.204,0.0745,38
AESRC2020-INDIAN-ACCENT-G03084-G03084S2363,3.464,0.2157,0.0623,43
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,5.122,0.2248,0.0439,55
AESRC2020-INDIAN-ACCENT-G03133-G03133S1299,3.61,0.1862,0.0516,52
AESRC2020-INDIAN-ACCENT-G03234-G03234S1299,5.492,0.2322,0.0423,66
AESRC2020-INDIAN-ACCENT-G03234-G03234S2366,3.61,0.1952,0.0541,33
AESRC2020-INDIAN-ACCENT-G03294-G03294S1298,4.463,0.2018,0.0452,65
AESRC2020-INDIAN-ACCENT-G03334-G03334S2355,2.524,0.1484,0.0588,25
AESRC2020-INDIAN-ACCENT-G03524-G03524S3380,2.072,0.1468,0.0708,20
AESRC2020-INDIAN-ACCENT-G03704-G03704S3376,3.269,0.1832,0.056,27
AESRC2020-INDIAN-ACCENT-G03749-G03749S2372,6.06,0.1841,0.0304,51
AESRC2020-INDIAN-ACCENT-G03804-G03804S2373,3.681,0.1819,0.0494,51
AESRC2020-INDIAN-ACCENT-G03809-G03809S2371,3.675,0.1642,0.0447,46
AESRC2020-INDIAN-ACCENT-G03841-G03841S3378,2.805,0.1452,0.0517,20
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,2.625,0.1614,0.0615,27
AESRC2020-INDIAN-ACCENT-G03884-G03884S1299,5.607,0.2464,0.0439,85
AESRC2020-INDIAN-ACCENT-G03899-G03899S3378,3.785,0.2186,0.0577,43
AESRC2020-INDIAN-ACCENT-G03903-G03903S1292,6.355,0.2237,0.0352,82
AESRC2020-INDIAN-ACCENT-G03924-G03924S1300,4.098,0.251,0.0612,55
AESRC2020-INDIAN-ACCENT-G04008-G04008S2372,4.25,0.2187,0.0515,43
AESRC2020-INDIAN-ACCENT-G04061-G04061S1299,6.183,0.2254,0.0365,73
AESRC2020-INDIAN-ACCENT-G04084-G04084S2373,4.025,0.2056,0.0511,33
AESRC2020-INDIAN-ACCENT-G10825-G10825S2354,4.285,0.2463,0.0575,56
AESRC2020-INDIAN-ACCENT-G10825-G10825S2355,2.575,0.2231,0.0867,36
AESRC2020-INDIAN-ACCENT-G10839-G10839S2354,3.99,0.2031,0.0509,51
AESRC2020-INDIAN-ACCENT-G10858-G10858S3370,2.462,0.2043,0.083,23
AESRC2020-INDIAN-ACCENT-G10940-G10940S1300,4.863,0.2354,0.0484,53
AESRC2020-INDIAN-ACCENT-G10965-G10965S1300,4.065,0.1931,0.0475,51
AESRC2020-INDIAN-ACCENT-G10965-G10965S2353,2.774,0.2104,0.0759,37
AESRC2020-INDIAN-ACCENT-G11785-G11785S1299,5.151,0.194,0.0377,56
AESRC2020-INDIAN-ACCENT-G11785-G11785S2354,4.358,0.191,0.0438,48
AESRC2020-INDIAN-ACCENT-G11837-G11837S1299,3.845,0.1934,0.0503,60
AESRC2020-INDIAN-ACCENT-G12412-G12412S1300,4.67,0.185,0.0396,54
AESRC2020-INDIAN-ACCENT-G12412-G12412S2354,3.795,0.1719,0.0453,43
AESRC2020-INDIAN-ACCENT-G12444-G12444S2355,3.437,0.1642,0.0478,30
AESRC2020-INDIAN-ACCENT-G12532-G12532S2352,5.403,0.1848,0.0342,61
AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,4.009,0.2095,0.0523,34
AESRC2020-INDIAN-ACCENT-G12699-G12699S2354,3.29,0.1954,0.0594,40
AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,2.307,0.1406,0.0609,21
AESRC2020-INDIAN-ACCENT-G12730-G12730S1299,6.297,0.2091,0.0332,73
