dataset,model,mode,reference_source,normalizer,corpus_wer_pct,corpus_cer_pct,mean_wer_pct,median_wer_pct,std_wer_pct,p90_wer_pct,p95_wer_pct,insertion_rate_pct,num_samples,total_ref_words,total_errors
tie,tiny,transcript_raw,gold,minimal,19.79,12.52,20.88,16.67,17.72,40.85,52.17,6.29,985,51933,10277
tie,tiny,transcript_clean,gold,custom,19.43,12.51,20.49,16.28,17.41,40.28,51.76,6.22,985,52175,10139
tie,tiny,hf_raw,alt,minimal,22.2,14.47,23.06,19.12,18.05,43.42,55.32,6.19,985,52290,11608
tie,tiny,hf_clean,alt,custom,20.07,13.02,21.04,16.67,17.31,40.43,53.12,6.3,985,52313,10497
tie,tiny,whisper_norm,gold,whisper,19.01,12.3,20.6,15.94,21.6,39.06,51.72,6.28,986,51815,9850
tie,base,transcript_raw,gold,minimal,17.91,11.36,18.8,14.04,17.3,38.46,50.0,6.27,985,51933,9302
tie,base,transcript_clean,gold,custom,17.53,11.35,18.38,13.51,16.95,38.16,50.0,6.22,985,52175,9145
tie,base,hf_raw,alt,minimal,20.24,13.35,20.9,16.13,17.63,40.68,54.35,6.19,985,52290,10582
tie,base,hf_clean,alt,custom,18.07,11.87,18.84,14.06,16.73,38.18,50.0,6.3,985,52313,9455
tie,base,whisper_norm,gold,whisper,17.03,11.13,18.45,13.21,21.14,37.21,50.0,6.25,986,51815,8826
tie,small,transcript_raw,gold,minimal,16.44,10.9,17.31,12.7,18.15,34.55,46.15,6.48,985,51933,8537
tie,small,transcript_clean,gold,custom,16.05,10.83,16.9,12.2,17.78,34.38,46.0,6.46,985,52175,8376
tie,small,hf_raw,alt,minimal,19.2,13.04,19.83,15.07,18.77,39.39,50.0,6.46,985,52290,10041
tie,small,hf_clean,alt,custom,16.96,11.53,17.73,13.11,17.66,36.36,47.17,6.59,985,52313,8870
tie,small,whisper_norm,gold,whisper,15.8,10.68,17.13,12.0,21.84,33.33,45.83,6.46,986,51815,8187
tie,medium,transcript_raw,gold,minimal,15.11,10.18,15.82,11.29,16.18,31.82,40.0,5.53,985,51933,7848
tie,medium,transcript_clean,gold,custom,14.76,10.14,15.45,11.11,15.9,31.58,39.62,5.53,985,52175,7701
