split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,AESRC2020-INDIAN-ACCENT-G03626,5.64,INDIAN,qwen3,whisper_norm,gold,what year did kuchh jhuki palkain come out,what year did kuchh jhuki palkain come out,वाप तिर्दित कुछ झुकी पल के कम आउट,व प त रद त कछ झक पल क कम आउट,1.375,0.8333,0.0,1.375
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,qwen3,whisper_norm,gold,skip apni mitti,skip apni mitti,उसकी अपनी मिट्टी,उसक अपन म टट,1.3333,0.8667,0.0,1.3333
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,qwen3,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,Favorite Karutha Meethu.,favorite karutha meethu,1.0,0.1429,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,qwen3,whisper_norm,gold,five fifty four am,554 am,Five fifty-four a.m.,554 a m,1.0,0.1667,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,qwen3,whisper_norm,gold,will there be snow in amsterda,will there be snow in amsterda,Belgian businessman in Amsterdam.,belgian businessman in amsterdam,0.8333,0.5667,0.1667,0.6667
test,AESRC2020-INDIAN-ACCENT-G03233-G03233S2365,AESRC2020-INDIAN-ACCENT-G03233,5.467,INDIAN,qwen3,whisper_norm,gold,when will the next series of bhagonwali baante apni taqdeer come out,when will the next series of bhagonwali baante apni taqdeer come out,When will the next series of भागो वाली बांधे अपनी धक्कीर come out?,when will the next series of भ ग व ल ब ध अपन धकक र come out,0.75,0.3971,0.6667,1.4167
test,AESRC2020-INDIAN-ACCENT-G90236-G90236S2355,AESRC2020-INDIAN-ACCENT-G90236,3.115,INDIAN,qwen3,whisper_norm,gold,play all episodes of aane wala pal,play all episodes of aane wala pal,Play all episodes of आने वाला पाल.,play all episodes of आन व ल प ल,0.7143,0.3235,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G03453-G03453S2355,AESRC2020-INDIAN-ACCENT-G03453,3.819,INDIAN,qwen3,whisper_norm,gold,add the show jeet jayenge hum to the queue,add the show jeet jayenge hum to the queue,"At the show, जीत जाएंगे हम to the queue.",at the show ज त ज एग हम to the queue,0.6667,0.381,0.5,1.2222
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,qwen3,whisper_norm,gold,is de souza resorts adult only,is de souza resorts adult only,Its diseases are results adult only.,its diseases are results adult only,0.6667,0.3667,0.3333,1.0
test,AESRC2020-INDIAN-ACCENT-G53371-G53371S2354,AESRC2020-INDIAN-ACCENT-G53371,3.58,INDIAN,qwen3,whisper_norm,gold,restart this episode of rukawat ke liye khed hai,restart this episode of rukawat ke liye khed hai,Restart this episode of Rukavat के लिए खेद है।,restart this episode of rukavat क ल ए खद ह,0.6667,0.2917,0.4444,1.1111
test,AESRC2020-INDIAN-ACCENT-G90144-G90144S3370,AESRC2020-INDIAN-ACCENT-G90144,2.6,INDIAN,qwen3,whisper_norm,gold,stop cleaning anymore,stop cleaning anymore,Stop cleaning any more.,stop cleaning any more,0.6667,0.0476,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G22662-G22662S2354,AESRC2020-INDIAN-ACCENT-G22662,4.005,INDIAN,qwen3,whisper_norm,gold,add the show taarak mehta ka ooltah chashmah to the queue,add the show taarak mehta ka ooltah chashmah to the queue,Eight hundred Tarak Mehta का उल्टा चश्मा to the queue.,800 tarak mehta क उलट चशम to the queue,0.6364,0.5088,0.4,0.8182
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,qwen3,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,Das best jumbo bada pow center have take away.,das best jumbo bada pow center have take away,0.625,0.1333,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,qwen3,whisper_norm,gold,lay the prince ascetic next,lay the prince ascetic next,Play the Prince as Katic next.,play the prince as katic next,0.6,0.1481,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G12416-G12416S2355,AESRC2020-INDIAN-ACCENT-G12416,4.215,INDIAN,qwen3,whisper_norm,gold,how popular is the show rukawat ke liye khed hai,how popular is the show rukawat ke liye khed hai,How popular is the show? Recruitment के लिए खेद है।,how popular is the show recruitment क ल ए खद ह,0.6,0.4167,0.5,1.1
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,qwen3,whisper_norm,gold,change the song to everyday we lit,change the song to everyday we lit,Sends the song to every day we lead.,sends the song to every day we lead,0.5714,0.2647,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G53025-G53025S2364,AESRC2020-INDIAN-ACCENT-G53025,2.41,INDIAN,qwen3,whisper_norm,gold,put i'm the shit on next,put i am the shit on next,Put and sit on next.,put and sit on next,0.5714,0.32,0.4286,0.7143
test,AESRC2020-INDIAN-ACCENT-G91743-G91743S1199,AESRC2020-INDIAN-ACCENT-G91743,5.372,INDIAN,qwen3,whisper_norm,gold,e v e n in china a century is a long time to wait,e v e n in china a century is a long time to wait,"Even in China, it's sure it's a long time to wait.",even in china it is sure it is a long time to wait,0.5714,0.2653,0.6667,0.9286
test,AESRC2020-INDIAN-ACCENT-G23372-G23372S2354,AESRC2020-INDIAN-ACCENT-G23372,4.204,INDIAN,qwen3,whisper_norm,gold,restart this episode of yahan main ghar ghar kheli,restart this episode of yahan main ghar ghar kheli,Restart this episode of यहाँ मैं घर घर खेली.,restart this episode of यह म घर घर खल,0.5556,0.44,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,qwen3,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,When did Bandhaola Azulde Zerohan first debut?,when did bandhaola azulde zerohan 1st debut,0.5556,0.1556,0.4444,0.7778
