ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.0515,0.0109,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.0517,0.0094,45
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.0519,0.0146,47
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.0566,0.0086,71
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.0527,0.0149,33
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.0521,0.0124,44
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.0544,0.0106,62
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.0515,0.0194,29
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.0536,0.0119,42
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.0558,0.0142,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.056,0.0088,65
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.0582,0.0108,48
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.0515,0.0109,62
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.0553,0.0138,41
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.054,0.0116,48
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.0589,0.009,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.0547,0.0121,45
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.0561,0.012,66
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.057,0.0131,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.0558,0.0079,63
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.055,0.0101,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.0565,0.0149,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.0543,0.0183,26
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.0542,0.0234,26
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.0547,0.0103,52
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.0555,0.0088,55
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.054,0.0108,66
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.0603,0.0085,62
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.0522,0.0176,30
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.0644,0.012,76
AESRC2020-INDIAN-ACCENT-G02523-G02523S3370,2.17,0.0614,0.0283,20
AESRC2020-INDIAN-ACCENT-G02582-G02582S2355,2.621,0.0556,0.0212,50
AESRC2020-INDIAN-ACCENT-G02628-G02628S2354,3.837,0.0558,0.0145,59
AESRC2020-INDIAN-ACCENT-G02770-G02770S2354,3.972,0.0552,0.0139,46
AESRC2020-INDIAN-ACCENT-G02796-G02796S2355,3.594,0.0533,0.0148,41
AESRC2020-INDIAN-ACCENT-G02801-G02801S2355,3.24,0.0575,0.0177,51
AESRC2020-INDIAN-ACCENT-G02930-G02930S2354,2.74,0.059,0.0215,40
AESRC2020-INDIAN-ACCENT-G03084-G03084S2363,3.464,0.0588,0.017,40
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,5.122,0.0533,0.0104,52
AESRC2020-INDIAN-ACCENT-G03133-G03133S1299,3.61,0.0555,0.0154,52
AESRC2020-INDIAN-ACCENT-G03234-G03234S1299,5.492,0.0585,0.0107,68
AESRC2020-INDIAN-ACCENT-G03234-G03234S2366,3.61,0.0507,0.014,34
AESRC2020-INDIAN-ACCENT-G03294-G03294S1298,4.463,0.0582,0.013,63
AESRC2020-INDIAN-ACCENT-G03334-G03334S2355,2.524,0.0544,0.0215,27
AESRC2020-INDIAN-ACCENT-G03524-G03524S3380,2.072,0.0571,0.0275,20
AESRC2020-INDIAN-ACCENT-G03704-G03704S3376,3.269,0.0535,0.0164,27
AESRC2020-INDIAN-ACCENT-G03749-G03749S2372,6.06,0.0617,0.0102,56
AESRC2020-INDIAN-ACCENT-G03804-G03804S2373,3.681,0.0588,0.016,54
AESRC2020-INDIAN-ACCENT-G03809-G03809S2371,3.675,0.0551,0.015,46
AESRC2020-INDIAN-ACCENT-G03841-G03841S3378,2.805,0.0562,0.0201,30
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,2.625,0.0501,0.0191,28
AESRC2020-INDIAN-ACCENT-G03884-G03884S1299,5.607,0.0576,0.0103,83
AESRC2020-INDIAN-ACCENT-G03899-G03899S3378,3.785,0.0546,0.0144,43
AESRC2020-INDIAN-ACCENT-G03903-G03903S1292,6.355,0.0548,0.0086,82
AESRC2020-INDIAN-ACCENT-G03924-G03924S1300,4.098,0.0539,0.0132,54
AESRC2020-INDIAN-ACCENT-G04008-G04008S2372,4.25,0.0568,0.0134,43
AESRC2020-INDIAN-ACCENT-G04061-G04061S1299,6.183,0.0582,0.0094,69
AESRC2020-INDIAN-ACCENT-G04084-G04084S2373,4.025,0.0552,0.0137,33
AESRC2020-INDIAN-ACCENT-G10825-G10825S2354,4.285,0.0554,0.0129,52
AESRC2020-INDIAN-ACCENT-G10825-G10825S2355,2.575,0.0553,0.0215,34
AESRC2020-INDIAN-ACCENT-G10839-G10839S2354,3.99,0.0548,0.0137,49
AESRC2020-INDIAN-ACCENT-G10858-G10858S3370,2.462,0.0529,0.0215,24
AESRC2020-INDIAN-ACCENT-G10940-G10940S1300,4.863,0.0563,0.0116,53
AESRC2020-INDIAN-ACCENT-G10965-G10965S1300,4.065,0.0589,0.0145,51
AESRC2020-INDIAN-ACCENT-G10965-G10965S2353,2.774,0.0542,0.0195,34
AESRC2020-INDIAN-ACCENT-G11785-G11785S1299,5.151,0.0571,0.0111,56
AESRC2020-INDIAN-ACCENT-G11785-G11785S2354,4.358,0.0551,0.0126,44
AESRC2020-INDIAN-ACCENT-G11837-G11837S1299,3.845,0.0544,0.0141,60
AESRC2020-INDIAN-ACCENT-G12412-G12412S1300,4.67,0.0523,0.0112,54
AESRC2020-INDIAN-ACCENT-G12412-G12412S2354,3.795,0.0577,0.0152,48
AESRC2020-INDIAN-ACCENT-G12444-G12444S2355,3.437,0.0545,0.0159,31
AESRC2020-INDIAN-ACCENT-G12532-G12532S2352,5.403,0.0542,0.01,60
AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,4.009,0.0518,0.0129,35
AESRC2020-INDIAN-ACCENT-G12699-G12699S2354,3.29,0.0539,0.0164,38
AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,2.307,0.051,0.0221,21
AESRC2020-INDIAN-ACCENT-G12730-G12730S1299,6.297,0.061,0.0097,72
AESRC2020-INDIAN-ACCENT-G12737-G12737S1299,4.257,0.0521,0.0122,49
AESRC2020-INDIAN-ACCENT-G12738-G12738S1300,6.385,0.0545,0.0085,50
AESRC2020-INDIAN-ACCENT-G12738-G12738S2355,4.84,0.0563,0.0116,60
AESRC2020-INDIAN-ACCENT-G12776-G12776S2351,2.818,0.0545,0.0193,40
AESRC2020-INDIAN-ACCENT-G12854-G12854S1300,4.406,0.0551,0.0125,51
AESRC2020-INDIAN-ACCENT-G12854-G12854S3370,2.51,0.0529,0.0211,25
AESRC2020-INDIAN-ACCENT-G12864-G12864S2354,4.475,0.0545,0.0122,49
AESRC2020-INDIAN-ACCENT-G12885-G12885S2355,4.747,0.0529,0.0111,58
AESRC2020-INDIAN-ACCENT-G12890-G12890S2354,4.665,0.0523,0.0112,55
AESRC2020-INDIAN-ACCENT-G12925-G12925S2352,2.777,0.0495,0.0178,29
AESRC2020-INDIAN-ACCENT-G12929-G12929S1298,6.094,0.0558,0.0092,61
AESRC2020-INDIAN-ACCENT-G13083-G13083S1300,3.915,0.0526,0.0134,38
AESRC2020-INDIAN-ACCENT-G13083-G13083S2365,4.145,0.0561,0.0135,34
AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,3.28,0.0538,0.0164,31
AESRC2020-INDIAN-ACCENT-G13176-G13176S2365,5.07,0.0552,0.0109,43
AESRC2020-INDIAN-ACCENT-G13217-G13217S1300,4.175,0.0543,0.013,42
AESRC2020-INDIAN-ACCENT-G13373-G13373S1297,3.486,0.0569,0.0163,63
AESRC2020-INDIAN-ACCENT-G13373-G13373S1298,3.58,0.059,0.0165,62
AESRC2020-INDIAN-ACCENT-G13378-G13378S1299,5.43,0.0557,0.0103,49
AESRC2020-INDIAN-ACCENT-G13456-G13456S1299,7.02,0.06,0.0086,69
AESRC2020-INDIAN-ACCENT-G13630-G13630S2364,7.334,0.0618,0.0084,47
AESRC2020-INDIAN-ACCENT-G13683-G13683S2366,5.393,0.0573,0.0106,64
AESRC2020-INDIAN-ACCENT-G13707-G13707S1299,5.07,0.0512,0.0101,53
AESRC2020-INDIAN-ACCENT-G13707-G13707S1300,4.405,0.0516,0.0117,43
AESRC2020-INDIAN-ACCENT-G13713-G13713S1300,4.458,0.0568,0.0128,73
AESRC2020-INDIAN-ACCENT-G13799-G13799S1299,3.932,0.0515,0.0131,57
AESRC2020-INDIAN-ACCENT-G14064-G14064S2372,6.968,0.0564,0.0081,62
AESRC2020-INDIAN-ACCENT-G20961-G20961S3370,2.762,0.0542,0.0196,29
AESRC2020-INDIAN-ACCENT-G22350-G22350S1300,4.355,0.052,0.0119,49
AESRC2020-INDIAN-ACCENT-G22485-G22485S2355,3.9,0.0588,0.0151,48
