duration_bucket,model,corpus_wer_pct
0-5s,tiny,15.08
0-5s,base,11.3
0-5s,small,8.19
0-5s,medium,6.32
0-5s,large,5.79
0-5s,large_v3_turbo,6.29
0-5s,qwen3,5.8
0-5s,medium_hf,6.2
0-5s,tiny_hf,19.22
0-5s,small_hf,8.13
0-5s,tiny_aesrc_ft,14.74
0-5s,small_aesrc_ft,5.8
0-5s,medium_aesrc_ft,4.52
5-15s,tiny,11.45
5-15s,base,7.85
5-15s,small,5.72
5-15s,medium,4.8
5-15s,large,4.27
5-15s,large_v3_turbo,5.05
5-15s,qwen3,4.33
5-15s,medium_hf,4.73
5-15s,tiny_hf,14.66
5-15s,small_hf,5.79
5-15s,tiny_aesrc_ft,9.34
5-15s,small_aesrc_ft,5.39
5-15s,medium_aesrc_ft,4.41
