dataset,model,mode,reference_source,normalizer,corpus_wer_pct,corpus_cer_pct,mean_wer_pct,median_wer_pct,std_wer_pct,p90_wer_pct,p95_wer_pct,insertion_rate_pct,num_samples,total_ref_words,total_errors
svarah,tiny,transcript_raw,gold,minimal,20.33,10.43,39.24,13.04,213.9,100.0,100.0,5.94,6656,69898,14213
svarah,tiny,transcript_clean,gold,custom,19.96,11.08,34.95,11.11,212.89,83.33,100.0,5.58,6656,74417,14857
svarah,tiny,whisper_norm,gold,whisper,19.52,10.17,35.71,11.11,171.7,100.0,100.0,5.93,6656,69845,13634
svarah,base,transcript_raw,gold,minimal,14.88,7.35,28.98,8.33,91.35,100.0,100.0,3.66,6656,69898,10403
svarah,base,transcript_clean,gold,custom,14.53,7.78,25.36,6.67,84.42,64.29,100.0,3.41,6656,74417,10812
svarah,base,whisper_norm,gold,whisper,14.37,7.15,27.01,7.14,90.71,66.67,100.0,3.8,6656,69845,10039
svarah,small,transcript_raw,gold,minimal,10.4,4.94,19.85,0.0,100.91,46.15,100.0,2.65,6656,69898,7270
svarah,small,transcript_clean,gold,custom,10.06,5.29,17.33,0.0,93.53,37.5,100.0,2.38,6656,74417,7490
svarah,small,whisper_norm,gold,whisper,9.91,4.79,18.72,0.0,99.66,40.0,100.0,2.77,6656,69845,6920
svarah,medium,transcript_raw,gold,minimal,8.18,3.95,15.19,0.0,48.92,37.5,100.0,1.95,6656,69898,5716
svarah,medium,transcript_clean,gold,custom,7.89,4.15,13.59,0.0,45.49,33.33,100.0,1.84,6656,74417,5874
svarah,medium,whisper_norm,gold,whisper,7.69,3.78,14.19,0.0,48.58,33.33,100.0,2.01,6656,69845,5370
svarah,large,transcript_raw,gold,minimal,7.49,3.67,14.03,0.0,36.28,37.5,100.0,1.89,6656,69898,5233
svarah,large,transcript_clean,gold,custom,7.11,3.78,11.68,0.0,32.27,28.57,71.43,1.68,6656,74417,5288
svarah,large,whisper_norm,gold,whisper,6.8,3.36,12.06,0.0,34.6,28.57,80.0,1.82,6656,69845,4752
svarah,large_v3_turbo,transcript_raw,gold,minimal,8.32,3.91,15.67,0.0,65.6,40.0,100.0,2.01,6656,69898,5817
svarah,large_v3_turbo,transcript_clean,gold,custom,8.1,4.27,13.45,0.0,63.13,33.33,100.0,1.89,6656,74417,6029
svarah,large_v3_turbo,whisper_norm,gold,whisper,7.76,3.67,13.95,0.0,64.81,33.33,100.0,1.99,6656,69845,5423
svarah,parakeet,transcript_raw,gold,minimal,13.03,7.39,22.46,4.76,59.8,63.64,100.0,5.82,6656,69898,9111
svarah,parakeet,transcript_clean,gold,custom,11.73,6.3,17.26,2.63,35.42,50.0,100.0,4.06,6656,74417,8726
svarah,parakeet,whisper_norm,gold,whisper,8.35,3.78,14.58,0.0,34.33,40.0,100.0,2.3,6656,69845,5829
svarah,parakeet_ctc,transcript_raw,gold,minimal,17.71,10.83,30.14,7.69,70.13,100.0,117.65,7.94,6656,69898,12379
svarah,parakeet_ctc,transcript_clean,gold,custom,15.65,8.93,21.8,6.67,40.95,66.67,100.0,3.87,6656,74417,11644
svarah,parakeet_ctc,whisper_norm,gold,whisper,11.18,4.91,19.64,3.2,40.91,60.0,100.0,3.05,6656,69845,7809
svarah,qwen3,transcript_raw,gold,minimal,13.48,8.79,21.2,0.0,64.8,50.0,100.0,6.52,6656,69898,9419
svarah,qwen3,transcript_clean,gold,custom,11.82,7.27,13.35,0.0,30.98,40.0,66.67,2.83,6656,74417,8793
svarah,qwen3,whisper_norm,gold,whisper,8.32,3.93,11.82,0.0,29.03,33.33,66.67,2.82,6656,69845,5810
