ID,n_models,n_arch,recall_mean,ratio_mean,wer_mean,wer_min,ref_words,category,category_naive
AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,9,4,0.9762,1.0,0.0238,0.0,14,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,9,4,1.0,1.0,0.0,0.0,10,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,9,4,1.0,1.0,0.0,0.0,8,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,9,4,0.9444444444444444,1.0555555555555556,0.1111111111111111,0.0,2,short_ref,unflagged
AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,9,4,0.7857,0.9703555555555555,0.22964444444444446,0.1333,15,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,9,4,0.9914555555555555,1.0,0.008544444444444445,0.0,13,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,9,4,0.8024888888888889,1.1851666666666665,0.3827111111111111,0.1111,9,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,9,4,0.6851888888888888,0.9629555555555557,0.3518555555555556,0.0,6,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,9,4,1.0,1.0,0.0,0.0,13,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,9,4,0.9222222222222223,0.9722333333333333,0.06482222222222221,0.0,12,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,9,4,0.5370555555555555,1.0925888888888888,0.5740666666666666,0.3333,6,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,9,4,0.7222222222222222,0.9166666666666666,0.3055555555555556,0.0,4,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,9,4,1.0,1.0,0.0,0.0,11,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00942-G00942S1300,9,4,0.9393999999999999,1.0,0.05554444444444444,0.0,12,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00942-G00942S2353,9,4,0.7333333333333333,0.9444444444444444,0.2777777777777778,0.1,10,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00942-G00942S2355,9,4,0.9523666666666668,1.0,0.04763333333333333,0.0,7,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00942-G00942S3370,9,4,1.0,1.0,0.0,0.0,5,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00967-G00967S1298,9,4,1.0,1.0,0.0,0.0,12,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00967-G00967S1299,9,4,0.8518555555555555,1.0,0.14814444444444444,0.0833,12,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00967-G00967S2354,9,4,1.0,1.0,0.0,0.0,11,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00967-G00967S2355,9,4,0.8888555555555555,1.0158777777777779,0.1270111111111111,0.0,7,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00997-G00997S1299,9,4,1.0,1.0,0.0,0.0,12,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00997-G00997S1300,9,4,0.9596,1.0085444444444445,0.05127777777777778,0.0,13,unflagged,unflagged
AESRC2020-INDIAN-ACCENT-G00997-G00997S2354,9,4,0.975311111111111,1.0,0.02468888888888889,0.0,9,unflagged,unflagged
