model,Native_Language,corpus_wer_pct,num_samples
tiny,Assamese,35.8,205
tiny,Bengali,18.08,297
tiny,Bodo,22.91,402
tiny,Dogri,23.02,255
tiny,Gujarati,14.38,242
tiny,Hindi,13.63,256
tiny,Kannada,22.39,577
tiny,Kashmiri,19.99,310
tiny,Konkani,15.74,302
tiny,Maithili,14.63,462
tiny,Malayalam,22.63,503
tiny,Marathi,20.84,231
tiny,Nepali,24.27,599
tiny,Odia,17.11,456
tiny,Punjabi,16.6,189
tiny,Sindhi,19.5,138
tiny,Tamil,16.68,384
tiny,Telugu,16.79,334
tiny,Urdu,23.16,514
base,Assamese,17.79,205
base,Bengali,16.19,297
base,Bodo,18.28,402
base,Dogri,16.3,255
base,Gujarati,10.93,242
base,Hindi,11.48,256
base,Kannada,13.7,577
base,Kashmiri,15.36,310
base,Konkani,11.46,302
base,Maithili,11.67,462
base,Malayalam,16.2,503
base,Marathi,15.77,231
base,Nepali,18.59,599
base,Odia,12.89,456
base,Punjabi,14.7,189
base,Sindhi,17.01,138
base,Tamil,11.37,384
base,Telugu,12.58,334
base,Urdu,14.26,514
small,Assamese,12.09,205
small,Bengali,10.29,297
small,Bodo,13.89,402
small,Dogri,12.84,255
small,Gujarati,7.33,242
small,Hindi,6.0,256
small,Kannada,9.3,577
small,Kashmiri,9.93,310
small,Konkani,9.04,302
small,Maithili,6.98,462
small,Malayalam,9.9,503
small,Marathi,10.65,231
small,Nepali,14.0,599
small,Odia,8.36,456
small,Punjabi,10.62,189
small,Sindhi,9.98,138
small,Tamil,7.74,384
small,Telugu,9.3,334
small,Urdu,11.21,514
medium,Assamese,9.12,205
medium,Bengali,7.17,297
medium,Bodo,11.31,402
medium,Dogri,9.22,255
medium,Gujarati,5.41,242
medium,Hindi,5.55,256
medium,Kannada,6.9,577
medium,Kashmiri,7.88,310
medium,Konkani,7.71,302
medium,Maithili,5.1,462
medium,Malayalam,9.42,503
medium,Marathi,7.78,231
medium,Nepali,11.26,599
medium,Odia,6.38,456
medium,Punjabi,7.09,189
medium,Sindhi,8.16,138
medium,Tamil,6.13,384
medium,Telugu,8.39,334
medium,Urdu,7.47,514
large,Assamese,9.08,205
large,Bengali,7.09,297
large,Bodo,10.54,402
large,Dogri,8.12,255
large,Gujarati,4.27,242
large,Hindi,5.19,256
large,Kannada,6.18,577
large,Kashmiri,6.48,310
large,Konkani,6.69,302
large,Maithili,5.24,462
large,Malayalam,6.74,503
large,Marathi,6.92,231
large,Nepali,10.81,599
large,Odia,6.36,456
large,Punjabi,6.54,189
large,Sindhi,8.39,138
large,Tamil,4.75,384
large,Telugu,7.25,334
large,Urdu,6.79,514
large_v3_turbo,Assamese,9.87,205
large_v3_turbo,Bengali,5.9,297
large_v3_turbo,Bodo,11.35,402
large_v3_turbo,Dogri,9.6,255
large_v3_turbo,Gujarati,5.66,242
large_v3_turbo,Hindi,6.03,256
large_v3_turbo,Kannada,7.2,577
large_v3_turbo,Kashmiri,7.13,310
large_v3_turbo,Konkani,7.21,302
large_v3_turbo,Maithili,5.87,462
large_v3_turbo,Malayalam,9.82,503
large_v3_turbo,Marathi,8.23,231
large_v3_turbo,Nepali,11.62,599
large_v3_turbo,Odia,6.06,456
large_v3_turbo,Punjabi,7.65,189
large_v3_turbo,Sindhi,9.37,138
large_v3_turbo,Tamil,5.85,384
large_v3_turbo,Telugu,9.49,334
large_v3_turbo,Urdu,7.83,514
parakeet,Assamese,15.89,205
parakeet,Bengali,11.21,297
parakeet,Bodo,15.13,402
parakeet,Dogri,14.22,255
parakeet,Gujarati,11.75,242
parakeet,Hindi,8.24,256
parakeet,Kannada,13.68,577
parakeet,Kashmiri,9.25,310
parakeet,Konkani,9.61,302
parakeet,Maithili,8.59,462
parakeet,Malayalam,11.49,503
parakeet,Marathi,11.43,231
parakeet,Nepali,15.22,599
parakeet,Odia,11.08,456
parakeet,Punjabi,10.85,189
parakeet,Sindhi,14.13,138
parakeet,Tamil,9.3,384
parakeet,Telugu,10.89,334
parakeet,Urdu,10.85,514
parakeet_ctc,Assamese,20.61,205
parakeet_ctc,Bengali,18.12,297
parakeet_ctc,Bodo,18.93,402
parakeet_ctc,Dogri,17.26,255
parakeet_ctc,Gujarati,12.85,242
parakeet_ctc,Hindi,11.03,256
parakeet_ctc,Kannada,16.05,577
parakeet_ctc,Kashmiri,13.8,310
parakeet_ctc,Konkani,15.86,302
parakeet_ctc,Maithili,12.53,462
parakeet_ctc,Malayalam,16.77,503
parakeet_ctc,Marathi,15.48,231
parakeet_ctc,Nepali,17.57,599
parakeet_ctc,Odia,13.23,456
parakeet_ctc,Punjabi,13.86,189
parakeet_ctc,Sindhi,21.24,138
parakeet_ctc,Tamil,15.04,384
parakeet_ctc,Telugu,17.2,334
parakeet_ctc,Urdu,14.04,514
qwen3,Assamese,18.16,205
qwen3,Bengali,13.96,297
qwen3,Bodo,13.29,402
qwen3,Dogri,12.62,255
qwen3,Gujarati,10.22,242
qwen3,Hindi,8.75,256
qwen3,Kannada,10.61,577
qwen3,Kashmiri,10.49,310
qwen3,Konkani,13.12,302
qwen3,Maithili,8.8,462
qwen3,Malayalam,12.42,503
qwen3,Marathi,12.0,231
qwen3,Nepali,14.82,599
qwen3,Odia,10.18,456
qwen3,Punjabi,10.29,189
qwen3,Sindhi,12.7,138
qwen3,Tamil,11.44,384
qwen3,Telugu,12.45,334
qwen3,Urdu,10.38,514
