split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,small,transcript_raw,gold,skip apni mitti,skip apni mitti,and skipEmBr다 then let me...,and skipembr다 then let me,1.6667,1.2,0.0,1.6667
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,small,transcript_raw,gold,lay the prince ascetic next,lay the prince ascetic next,Congratulations Sweet's High a 49 tech Outta,congratulations sweet s high a 49 tech outta,1.6,1.2222,0.0,1.6
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,Favorite Karutham Yudhu?,favorite karutham yudhu,1.5,0.1818,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G22849-G22849S2354,AESRC2020-INDIAN-ACCENT-G22849,2.961,INDIAN,small,transcript_raw,gold,when was the show yahan main ghar ghar kheli made,when was the show yahan main ghar ghar kheli made,Veganines the show {\an9 Büen with dependent Famicom{\an7 coyto Allegro filing{\an8,veganines the show an9 büen with dependent famicom an7 coyto allegro filing an8,1.2,1.1224,0.2222,1.3
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,small,transcript_raw,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,"1, 9, 0, 4, 8, 6, 9, 1, 6, 3.",1 9 0 4 8 6 9 1 6 3,1.0,0.8085,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,small,transcript_raw,gold,adjust direction to,adjust direction to,I just direction tool.,i just direction tool,1.0,0.2105,0.3333,1.3333
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,small,transcript_raw,gold,uninstall choices,uninstall choices,and install choices.,and install choices,1.0,0.1765,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,small,transcript_raw,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,R-pads allowed in Rome's head hotel in S,r pads allowed in rome s head hotel in s,0.7778,0.3488,0.3333,1.1111
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,small,transcript_raw,gold,five fifty four am,five fifty four am,5.54 am.,5 54 am,0.75,0.7778,0.25,0.75
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,The best Jumbobada Power Center have take away.,the best jumbobada power center have take away,0.75,0.2222,0.375,1.0
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,small,transcript_raw,gold,of it the plot of lioness,of it the plot of lioness,or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,small,transcript_raw,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be loved,only play songs while smile be loved,0.6667,0.3939,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small,transcript_raw,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,When did one daula azul day zero and first debit?,when did one daula azul day zero and first debit,0.6667,0.3191,0.4444,1.1111
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,small,transcript_raw,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,How large is the flash top wire? X display free.,how large is the flash top wire x display free,0.6667,0.2273,0.5,1.1111
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small,transcript_raw,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,"Play Songs by Maya Pathy, Shri Ram Chandra.",play songs by maya pathy shri ram chandra,0.6667,0.2051,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,AESRC2020-INDIAN-ACCENT-G12644,4.009,INDIAN,small,transcript_raw,gold,what other songs are by erk tha jerk,what other songs are by erk tha jerk,What are the songs are by Irktha Jook?,what are the songs are by irktha jook,0.625,0.25,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,small,transcript_raw,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,"Play songs by Benny Dick, Silverman, Orgestra and Cor...",play songs by benny dick silverman orgestra and cor,0.625,0.1887,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,AESRC2020-INDIAN-ACCENT-G03626,5.64,INDIAN,small,transcript_raw,gold,what year did kuchh jhuki palkain come out,what year did kuchh jhuki palkain come out,What did it? Kuch juki palke come out.,what did it kuch juki palke come out,0.625,0.2619,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small,transcript_raw,gold,change the song to everyday we lit,change the song to everyday we lit,Since the song to every day we lead.,since the song to every day we lead,0.5714,0.2353,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,small,transcript_raw,gold,what's kevee keyam enterprises contact number,what s kevee keyam enterprises contact number,Watch Kiwi Kayaam Enterprises Contact Number,watch kiwi kayaam enterprises contact number,0.5714,0.2,0.4286,0.8571
