ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.2424,0.0836,31
281474976888909_f3258_chunk_7.wav,7.414,0.2138,0.0288,54
281474976894795_f2258_chunk_11.wav,12.681,0.356,0.0281,123
281474976899564_f2428_chunk_0.wav,0.263,0.1046,0.3971,3
281474976885777_f1381_chunk_0.wav,2.889,0.1672,0.0579,41
281474976893835_f569_chunk_0.wav,0.862,0.6861,0.7962,9
281474976895412_f1595_chunk_0.wav,0.312,0.0967,0.3103,1
281474976901586_f1451_chunk_0.wav,0.678,0.1141,0.1684,4
281474976892134_f1122_chunk_0.wav,3.074,0.1582,0.0515,42
281474976902183_f1898_chunk_0.wav,3.165,0.1818,0.0574,46
281474976889207_f2377_chunk_2.wav,4.053,0.3508,0.0866,35
281474976887817_f1763_chunk_0.wav,8.107,0.2564,0.0316,126
281474976895868_f659_chunk_0.wav,0.576,0.1795,0.3118,1
281474976901152_f2107_chunk_3.wav,0.75,0.1157,0.1542,2
281474976906745_f2447_chunk_1.wav,3.633,0.2433,0.067,52
281474976888218_f2769_chunk_0.wav,6.191,0.1635,0.0264,57
281474976884079_f2150_chunk_1.wav,8.867,0.3488,0.0393,115
281474976897522_f1981_chunk_9.wav,1.3,0.1587,0.1221,10
281474976888160_f3202_chunk_5.wav,4.783,0.2783,0.0582,70
281474976894896_f456_chunk_0.wav,4.31,0.2759,0.064,72
281474976893750_f2373_chunk_0.wav,6.392,0.1892,0.0296,76
281474976893843_f2130_chunk_4.wav,10.617,0.2196,0.0207,87
281474976893153_f2820_chunk_0.wav,2.839,0.2141,0.0754,46
281474976893017_f2672_chunk_0.wav,5.479,0.2485,0.0454,86
281474976894273_f3279_chunk_17.wav,8.455,0.2645,0.0313,110
281474976897290_f1204_chunk_0.wav,0.645,0.1627,0.2523,5
281474976897454_f1975_chunk_4.wav,7.72,0.2255,0.0292,79
281474976900333_f1733_chunk_4.wav,0.71,0.1116,0.1573,9
281474976887025_f36_chunk_0.wav,3.393,0.2337,0.0689,40
281474976901454_f524_chunk_0.wav,0.801,0.1093,0.1365,3
281474976895208_f2923_chunk_0.wav,7.571,0.3767,0.0498,107
281474976884627_f3339_chunk_2.wav,2.811,0.1643,0.0584,45
281474976889221_f3229_chunk_0.wav,5.4,0.2567,0.0475,79
281474976901164_f2275_chunk_6.wav,1.103,0.1702,0.1543,10
281474976899764_f2324_chunk_0.wav,0.205,0.1511,0.7382,3
281474976903187_f2699_chunk_1.wav,2.356,0.2525,0.1072,33
281474976885801_f2235_chunk_21.wav,4.75,0.1802,0.0379,56
281474976884085_f3239_chunk_23.wav,5.48,0.2572,0.0469,62
281474976901153_f1889_chunk_7.wav,2.522,0.2044,0.081,37
281474976893848_f3250_chunk_9.wav,9.65,0.2944,0.0305,98
281474976893172_f2123_chunk_3.wav,6.109,0.2379,0.039,111
281474976885800_f1683_chunk_9.wav,5.519,0.2694,0.0488,106
281474976884044_f1919_chunk_1.wav,3.714,0.1269,0.0342,20
281474976887807_f3177_chunk_0.wav,5.056,0.2317,0.0458,53
281474976894795_f2258_chunk_22.wav,14.101,0.4519,0.032,135
281474976892193_f1802_chunk_0.wav,0.608,0.1437,0.2362,2
281474976898621_f2032_chunk_0.wav,1.785,0.2427,0.136,31
281474976894268_f1720_chunk_0.wav,1.26,0.179,0.1421,27
281474976896999_f1689_chunk_1.wav,2.336,0.3101,0.1328,39
