ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,0.1143,0.0049,218
gS5iH0QkPHg,25.59,0.1143,0.0045,323
D7Zu1-9kSUg,17.211,0.0958,0.0056,229
rNdMsEHElc4,27.01,0.12,0.0044,343
aD_BO4DwxlU,21.94,0.1065,0.0049,265
_A5wRmd2rwI,23.04,0.107,0.0046,349
fGR_qtyRP_I,33.05,0.1313,0.004,358
5hscXtk6usE,30.291,0.1175,0.0039,370
J_lm2iJ0l0k,27.43,0.1143,0.0042,353
kPnr_57oii4,29.74,0.1201,0.004,72
hOoGiaUkKpc,25.28,0.1061,0.0042,347
XbUgxPtJuUg,19.66,0.0975,0.005,235
GOUowwtdcPU,21.16,0.1012,0.0048,343
H1cq5p2nryw,23.09,0.1036,0.0045,302
6lqsHV_2yJc,19.76,0.0968,0.0049,174
f2kikEusCEM,23.459,0.1037,0.0044,305
uTwm3Zv1HfA,25.431,0.1062,0.0042,185
xacD9zJCqZ4,26.68,0.1149,0.0043,332
h47JDhpdYe0,24.081,0.1065,0.0044,144
vNNLvowQqoU,23.769,0.1068,0.0045,252
thF6wrlwdTQ,20.33,0.1002,0.0049,118
whCu4Xl3m98,14.58,0.0848,0.0058,112
P5nwZQe4QYI,19.92,0.0983,0.0049,356
JH9x87yjoEk,26.319,0.1146,0.0044,333
4ZydYE-0994,24.601,0.1036,0.0042,347
w_ZPOjcxD8U,33.82,0.133,0.0039,285
1JGSQQRu4fg,12.321,0.081,0.0066,161
F2NqTIej98Q,28.819,0.1172,0.0041,315
pGu3HxJQF7I,24.49,0.1055,0.0043,252
0zceBXshBzA,22.88,0.1031,0.0045,309
6704d9DDwLo,24.379,0.104,0.0043,294
VLv1adcoiWo,25.249,0.1047,0.0041,351
dgyPeFemyL8,23.23,0.1016,0.0044,272
IcN9rLzhV3U,26.53,0.1142,0.0043,233
0AuMdY3IyJ8,27.74,0.1169,0.0042,200
pGT6iJ_z5Vs,26.35,0.114,0.0043,233
Ct2RYsd7blI,24.67,0.1085,0.0044,267
too4A5mo1Pk,22.25,0.1052,0.0047,339
jnQFMdMSRAE,25.319,0.1072,0.0042,247
Z4WvQ152QP8,21.67,0.1059,0.0049,371
fwRFaZnr2WU,24.49,0.108,0.0044,344
C1XMxZEjP8I,22.65,0.1083,0.0048,211
FXEgxrRFVMQ,17.31,0.0988,0.0057,151
4LgvOdyaJ04,23.82,0.1111,0.0047,357
kVr9gGPuThY,20.959,0.1089,0.0052,189
d7gzALqU95Y,28.34,0.1264,0.0045,353
trHd9k3WKWg,33.63,0.1367,0.0041,323
zz3cEoeWrUo,20.53,0.1014,0.0049,270
DzF13C0g40A,24.42,0.1037,0.0042,172
jcds3fbVLg0,27.45,0.1151,0.0042,163
djzzZHbUc80,25.36,0.1049,0.0041,326
gxges_uq5lc,23.58,0.104,0.0044,260
PcQlvbmHDVY,28.38,0.1185,0.0042,271
aGM0r3QsYYU,35.669,0.1362,0.0038,357
p-JPAGGOvjU,22.07,0.1021,0.0046,204
Y03fkk2zdOE,23.7,0.1041,0.0044,254
pLPQGrvV4_g,29.071,0.1172,0.004,358
lmr4kETnwi0,22.05,0.1013,0.0046,336
7r7rLJqhBBw,19.851,0.0985,0.005,331
JVdBgP5SD14,29.74,0.1173,0.0039,348
rL47ZBWKRd0,19.65,0.0968,0.0049,359
4vl_r79DBKU,24.459,0.1041,0.0043,297
UfS8-eLsxRA,24.41,0.1049,0.0043,336
qXZ11_ZbxOs,26.8,0.1146,0.0043,316
EayOCWaiRkw,27.8,0.1172,0.0042,202
2LyY4t0Gfvs,34.231,0.1337,0.0039,345
Byf8i1KkBiY,20.381,0.0972,0.0048,191
hric4h80PDc,22.6,0.1028,0.0045,313
zVkYmU_CUTs,16.759,0.0932,0.0056,264
LORmHAC_vPo,29.63,0.1178,0.004,147
DPy4x6ffCrw,18.87,0.0978,0.0052,311
OhERfauZmg0,27.86,0.1159,0.0042,305
6aec4K8H9lE,36.23,0.1516,0.0042,309
Rm-APM83TKc,21.98,0.1017,0.0046,287
_Bds8lC3Pog,25.27,0.1044,0.0041,366
o3mpbZ_FRd0,5.34,0.0807,0.0151,41
4WM8zLqbEsE,22.081,0.1036,0.0047,272
9xvvXx96_CI,26.29,0.1148,0.0044,269
Ok57xBmSU-o,25.721,0.1134,0.0044,253
x-Gn-sxbIVU,23.6,0.1045,0.0044,356
eF5IzBMbQrc,21.29,0.1017,0.0048,163
994ZNi7rSXo,23.59,0.104,0.0044,269
irudCaBrij0,22.46,0.1045,0.0047,260
DWsJ_XUm23s,18.631,0.1006,0.0054,300
G0cJFabIo7c,21.23,0.104,0.0049,270
0JJxZ-OSEek,24.23,0.1049,0.0043,366
_h6CSuwWqYg,18.89,0.0962,0.0051,316
8v1gUk4Mp2E,29.539,0.1183,0.004,343
3GANGKHWwL4,22.43,0.1067,0.0048,258
VmnzH3GZiKw,20.709,0.1045,0.005,360
YbxyPM62bmM,22.57,0.1024,0.0045,164
bkzKVsIEjxk,38.81,0.1536,0.004,388
BEkK73VEjes,29.7,0.1188,0.004,315
BFBPD4Og4Ts,23.88,0.1043,0.0044,288
pu2OzGhv1HI,29.3,0.1198,0.0041,333
ZIHXB0bF7jI,24.0,0.1047,0.0044,352
drt3AtQPQmE,26.901,0.1148,0.0043,308
_HSRZMTQCF4,27.99,0.116,0.0041,200
_45M-dO99-M,31.5,0.1244,0.0039,316
Vpoi5W6a3lo,17.64,0.0942,0.0053,299
gQ3q2G4bWz4,22.42,0.1034,0.0046,207
aCvceLLrE0k,29.62,0.1184,0.004,261
KYbmJo4gN8c,16.239,0.0924,0.0057,261
M4qSgILzluk,23.92,0.1049,0.0044,270
ID_gk0aSo0Y,23.95,0.1046,0.0044,289
h6PayciBR2U,23.159,0.1047,0.0045,294
qij9U1yUXdk,27.689,0.1168,0.0042,269
tg4fRsBUkt8,28.931,0.1196,0.0041,354
2O7hALzoIBw,37.64,0.1506,0.004,296
5uybKFkufN4,20.42,0.0977,0.0048,360
TSU2VE38qUI,20.4,0.0968,0.0047,347
jtMZfLViZu8,37.02,0.1498,0.004,385
2eMzsfgLgsE,25.179,0.1044,0.0041,321
L5dDpM_qFw8,24.2,0.1066,0.0044,314
WUCMavXbJo4,23.3,0.1045,0.0045,346
K9O2HfajDrY,16.21,0.0917,0.0057,158
CCs22FNcCfU,16.229,0.0919,0.0057,269
xYs72hkKM1M,27.17,0.1149,0.0042,303
pPOXG7XRKTw,16.829,0.0954,0.0057,268
3iplfAfGzzI,37.9,0.1543,0.0041,298
7so_WOmSgGo,25.499,0.1064,0.0042,245
E6bPBhZsMUI,24.98,0.1054,0.0042,303
yqx3UQ5_bIE,19.72,0.0973,0.0049,238
4KAQJhDy1Dk,18.53,0.0964,0.0052,286
nwcOtus_7eo,13.909,0.0835,0.006,87
waKLGmYW6E8,28.481,0.1177,0.0041,261
q4E9yaulqyc,25.43,0.103,0.0041,296
ZR-OJM3NETw,19.18,0.0973,0.0051,204
I71o7J0ZZq0,17.08,0.0939,0.0055,217
l8kIWLWfbZ8,15.83,0.0916,0.0058,115
jqFJ9csUH8g,28.41,0.1177,0.0041,350
8NxgVHsiezY,38.819,0.1519,0.0039,349
3rvPfIT3Wro,22.65,0.1009,0.0045,364
RjZw8KxBmXI,21.8,0.1023,0.0047,189
691g3ilakqY,34.54,0.1354,0.0039,264
mMQxPjw5r0U,47.81,0.1678,0.0035,330
h6F6G4ZZuiA,28.85,0.1187,0.0041,283
SUiTcHV2paQ,32.09,0.125,0.0039,336
Dsi7x-A89Mw,27.379,0.1147,0.0042,324
3pDVU2ptuXc,22.96,0.1036,0.0045,387
yuE86XeGhEA,23.92,0.1025,0.0043,210
M6ku5oRrpVQ,18.03,0.0973,0.0054,240
7-E1_n1OKY8,24.63,0.1037,0.0042,253
1hadPYzPb8A,22.71,0.1026,0.0045,91
7nJvMid1nQ0,13.91,0.0836,0.006,189
s8fWxRWXzyA,21.049,0.1022,0.0049,347
XorYn_oYRv0,25.47,0.1051,0.0041,325
RjZJjneJ5fk,23.11,0.1041,0.0045,333
ZcTTkCWnQNg,28.5,0.1197,0.0042,270
gCfnDn6AzBE,17.03,0.0938,0.0055,261
PU_viTA3Fco,34.279,0.1337,0.0039,307
ZkTa-yNNaNE,25.21,0.1056,0.0042,342
en84VHnVyCU,21.859,0.1031,0.0047,261
z3MFZezdkz4,23.92,0.1032,0.0043,250
WL93rGYf7s0,26.02,0.1149,0.0044,382
IfVWwZipn-k,22.97,0.1049,0.0046,338
zk1lXf7Ceiw,1.0,0.0746,0.0746,22
dYvgdN3YRAM,28.74,0.1221,0.0042,166
jqhQx9U9kok,24.44,0.1033,0.0042,202
qfiAIzh2pJQ,16.15,0.092,0.0057,186
f9JJo49xzj8,21.53,0.1016,0.0047,228
DSdVV8TQUR0,22.041,0.1028,0.0047,227
LclyvV5awb0,26.421,0.116,0.0044,342
lnD212vbPSk,26.769,0.1149,0.0043,334
4UFmjCPnhsQ,21.61,0.102,0.0047,192
Lmi6BPLres4,24.16,0.1045,0.0043,325
P5hzwY7_Uzc,20.49,0.101,0.0049,366
fMJl01wbmWE,27.32,0.1155,0.0042,398
foW2vtPWEU8,31.81,0.1244,0.0039,304
tmNsUXD4SXs,25.74,0.1156,0.0045,189
OayFGB9Mrw8,38.08,0.1542,0.004,318
aGvMubj8NXk,17.03,0.0916,0.0054,211
vkjWQzyTjHU,23.111,0.1018,0.0044,203
h0hZcIex-Z8,27.74,0.1141,0.0041,157
ozUsYH3cwVs,19.82,0.097,0.0049,265
_vnEfLfXxIs,26.25,0.1142,0.0043,365
JmyxDMTpQ4o,33.389,0.1341,0.004,326
