split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,parakeet,hf_raw,alt,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by minus 12 by 2 x x x So it is h square by 2 but it had 3 factorial circuits. So, it was 3 factorial and that multiplied by 2, so that it becomes 3. And divided by 2, yes.",x by minus 12 by 2 x x x so it is h square by 2 but it had 3 factorial circuits so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.85,1.3956,0.5882,2.1
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,parakeet,hf_raw,alt,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2",f which we have seen c times n minus 1 minus 2 j sorry this is i made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,1.8333,1.2642,0.7059,2.5417
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),parakeet,hf_raw,alt,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"Rate could be something like, Well, two people arrive per minute. Okay, so that's two. And I want to ask the question: what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put I'll just substitute K with zero.",rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so i d say on average two people arrive at the bus stop k is that zero right so i ll put i ll just substitute k with zero,1.2917,0.8,0.1176,1.3333
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,parakeet,hf_raw,alt,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, uh but it is an abstraction. We'll we'll talk about how it affects our analysis. So uh as many number of processors as you need, which means it k it is valid for a single processor to a machine of even millions of processors. Yes. Right. Right. Um the so one is the num amount of resources, how much memory I have, how much local versus or shared.",i won t say assumption uh but it is an abstraction we ll we ll talk about how it affects our analysis so uh as many number of processors as you need which means it k it is valid for a single processor to a machine of even millions of processors yes right right um the so one is the num amount of resources how much memory i have how much local versus or shared,1.2857,1.0337,0.8667,2.1429
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),parakeet,hf_raw,alt,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"Much higher compared to the summer. And it is a labor-intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds. Once the sludge is dried, how can we remove it? We have to remove the sludge from the sludge trying bud manually. So, it is a labor-intensive process and the slides are not a slow slow",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds once the sludge is dried how can we remove it we have to remove the sludge from the sludge trying bud manually so it is a labor intensive process and the slides are not a slow slow,1.0536,0.7273,0.2571,1.25
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),parakeet,hf_raw,alt,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,"In short time, S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by 8 mu,1.0233,0.6989,0.56,1.6047
test,SL21aDqgs8Q,220,M,SLOW,EAST,17.64,Engineering,33 Design for Strength,parakeet,hf_raw,alt,are example for a hollow shaft we can see that this comes to be td zero two and ip will be,are example for a hollow shaft we can see that this comes to be td zero two and ip will be,"Example for hollow shaft, we can see that this comes out to be equals to T d 0 by 2 and I p will be 0. So, this is the power of the p",example for hollow shaft we can see that this comes out to be equals to t d 0 by 2 and i p will be 0 so this is the power of the p,1.0,0.6667,0.7,1.619
test,u_Hku0A_rNQ,210,M,SLOW,NORTH,24.54,Engineering,Lecture-32,parakeet,hf_raw,alt,right we need to repeat the one s t p knots to do so we set the last n plus one knots as ourf parameter values we insure that the one s t,right we need to repeat the one s t p knots to do so we set the last n plus one knots as ourf parameter values we insure that the one s t,"That is right, we need to repeat the first p naughts. To do so, we set the last n plus 1 naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n",that is right we need to repeat the first p naughts to do so we set the last n plus 1 naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n,1.0,0.5474,0.7391,1.6061
test,nwcOtus_7eo,230,M,SLOW,NORTH,13.909,Engineering,Free Vibration,parakeet,hf_raw,alt,this is k one and this is y that means k one y is equal to k two x minus k two y therefore y is,this is k one and this is y that means k one y is equal to k two x minus k two y therefore y is,"is a y that means k 1 y is equal to k 2 x minus y k 2 x minus k 2 y. Therefore, y is 1 minus 1 minus 1 y 2 y 2 is 1 y",is a y that means k 1 y is equal to k 2 x minus y k 2 x minus k 2 y therefore y is 1 minus 1 minus 1 y 2 y 2 is 1 y,1.0,0.7895,0.7143,1.4615
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,parakeet,hf_raw,alt,considered in problem forty minus five,considered in problem forty minus five,"Considered in problem 45. Okay, let us do that.",considered in problem 45 okay let us do that,1.0,0.4211,0.5,1.5
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,parakeet,hf_raw,alt,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,"One thing you have a numerical methods problem, generally we work on shared memory model, but people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.",one thing you have a numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that you have to tell me how i can do it,0.9756,0.8563,0.3571,0.9512
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,parakeet,hf_raw,alt,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"By what is the concentration of B n plus in the solution? So, Rn minus B n plus resin means active activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.",by what is the concentration of b n plus in the solution so rn minus b n plus resin means active activity of b n plus in the resin and b n plus 1 s means activity of b n plus in the solution,0.9574,0.7082,0.1667,0.9362
test,qBw8ZQrJeys,292,M,SLOW,SOUTH,7.01,Engineering,Level Testing,parakeet,hf_raw,alt,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,This will continue in the next slide.,this will continue in the next slide,0.9091,0.8669,0.1081,0.1591
test,6CwSfoOR7-U,50,M,SLOW,EAST,15.7,Engineering,25,parakeet,hf_raw,alt,therefore if you look at the sway moments they turn out to be equal tou,therefore if you look at the sway moments they turn out to be equal tou,"So, this for, therefore, if you look at the sway moments, if you look at the sway moments, they turn out to be equal to m m",so this for therefore if you look at the sway moments if you look at the sway moments they turn out to be equal to m m,0.8667,0.6761,0.9333,1.8
test,ZvsSe5sJGdc,60,M,SLOW,WEST,25.37,Engineering,"General Flow Equations Through Porous Media (Contd.), Dupuit's Assumptions",parakeet,hf_raw,alt,d by dx of k dh by dx into h d by dy of k into dh by dy into h,d by dx of k dh by dx into h d by dy of k into dh by dy into h,E by d x of minus k d h by d x into h plus d by d y of minus k into d h by d y into h.,e by d x of minus k d h by d x into h plus d by d y of minus k into d h by d y into h,0.7619,0.3871,0.6667,1.4286
test,vlFdVYAXIxg,125,M,SLOW,EAST,25.89,Engineering,and Computer Aided Design of Filters,parakeet,hf_raw,alt,x three its fine what about x four x five x six x seven now you see w n say w eight n is eight in our case w eight five w eight four how much is it minus one w eight five minus w nine,x three its fine what about x four x five x six x seven now you see w n say w eight n is eight in our case w eight five w eight four how much is it minus one w eight five minus w nine,"Then added with G 3, it will give me x 3, it is fine. What about x 4, x 5, x 6, x 7? Now, you see w n say w 8 n is 8 in our case, w 8",then added with g 3 it will give me x 3 it is fine what about x 4 x 5 x 6 x 7 now you see w n say w 8 n is 8 in our case w 8,0.7609,0.6995,0.5556,0.8696
test,RZQTTfU9TNA,284,M,FAST,SOUTH,29.08,Engineering,Encoders and Decoders,parakeet,hf_raw,alt,"normally this is a practical three to eight decoder i can give you the ic number if you want to this is seventy minus four thousand , one hundred and thirty minus eight it is not necessary to remember numbers in fact i am not even sure it s one hundred and twenty minus eight or one hundred and thirty minus eight but i think it s one hundred and thirty minus eight",normally this is a practical three to eight decoder i can give you the ic number if you want to this is seventy minus four thousand one hundred and thirty minus eight it is not necessary to remember numbers in fact i am not even sure it s one hundred and twenty minus eight or one hundred and thirty minus eight but i think it s one hundred and thirty minus eight,"This is a practical 328 decoder. Actually, I can give you the IC number if you want to. It is 74138. Does not matter, do not have to remember numbers. I do not remember numbers. I will always look up the data. In fact, I am not even sure it is 128 or 138. I think it is 138. Somebody has a book, you can have a quick look at it. Anyway, now I have to do this.",this is a practical 328 decoder actually i can give you the ic number if you want to it is 74138 does not matter do not have to remember numbers i do not remember numbers i will always look up the data in fact i am not even sure it is 128 or 138 i think it is 138 somebody has a book you can have a quick look at it anyway now i have to do this,0.75,0.6033,0.6341,1.0833
test,g1vBAfoGvSI,42,M,SLOW,NORTH,21.28,Non-Engineering,Cycloaddition Reactions - II,parakeet,hf_raw,alt,dienes for diels alder reaction but if you take this type of cases like these are s cis,dienes for diels alder reaction but if you take this type of cases like these are s cis,"Lines for Dielsa reaction. But if you take this type of cases like these are S colours, the same thing is the same as the case.",lines for dielsa reaction but if you take this type of cases like these are s colours the same thing is the same as the case,0.7222,0.5747,0.7778,1.4444
test,9rEn4MNpZS4,211,M,SLOW,EAST,21.67,Engineering,Approximate Methods - II,parakeet,hf_raw,alt,fixed and free ends so once again,fixed and free ends so once again,"Uh fixed and the free ends. So, once again, this is the",uh fixed and the free ends so once again this is the,0.7143,0.5758,1.0,1.7143
test,ksh6OMRFroI,76,M,FAST,NORTH,22.93,Engineering,-Introduction To Problem Solving and Programming,parakeet,hf_raw,alt,we need to use the c compiler and the command for the c compiler is c c choose the arguments that i have given to the c c commands are one s t of all minus zero minus zero says that the equivalent machine language program which is generated for this,we need to use the c compiler and the command for the c compiler is c c choose the arguments that i have given to the c c commands are one s t of all minus zero minus zero says that the equivalent machine language program which is generated for this,"Actually, compile this program and try to run it. To compile this program, we need to use the C compiler, and the command for the C compiler is CC. So the arguments that I have given to the CC command are first of all minus O, minus O says.",actually compile this program and try to run it to compile this program we need to use the c compiler and the command for the c compiler is cc so the arguments that i have given to the cc command are first of all minus o minus o says,0.6863,0.6586,0.6765,0.9608
