split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite caro tamio tu,favorite caro tamio tu,2.0,0.4091,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,3.92,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,how many branches does she gai three bhujna lai,how many branches does she gai three bhujna lai,0.7143,0.2391,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by mya pati shri ram chandra,play songs by mya pati shri ram chandra,0.6667,0.1282,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy three a year become famous,0.6667,0.2286,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by benny dick silverman orgestra and corral,play songs by benny dick silverman orgestra and corral,0.625,0.2075,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambobada pao center have take away,does best jambobada pao center have take away,0.625,0.1111,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rahmet the dharia illahi,play rahmet the dharia illahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,change the song to everyday we lit,change the song to everyday we lit,sends the song to every day we lead,sends the song to every day we lead,0.5714,0.2647,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G52090-G52090S2364,AESRC2020-INDIAN-ACCENT-G52090,4.165,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,what is a recommended dish at bismillah gul mahal,what is a recommended dish at bismillah gul mahal,what is the recommended dish at bismillahi goul more hall,what is the recommended dish at bismillahi goul more hall,0.5556,0.2041,0.5556,1.1111
test,AESRC2020-INDIAN-ACCENT-G03640-G03640S2365,AESRC2020-INDIAN-ACCENT-G03640,4.752,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,when is rahat fateh ali khan and tanishk bagchi next concert,when is rahat fateh ali khan and tanishk bagchi next concert,when is night fate alikhan and taniq bhakchi next concert,when is night fate alikhan and taniq bhakchi next concert,0.5455,0.1833,0.4545,0.9091
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser are looser,i better rock now fits like such a looser are looser,0.5385,0.2407,0.5,0.8462
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,stop playing the mill,stop playing the mill,stop playing damill,stop playing damill,0.5,0.1905,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,only play songs by ismael belouch,only play songs by ismael belouch,only play songs why ismael be launch,only play songs why ismael be launch,0.5,0.1515,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G11935-G11935S2364,AESRC2020-INDIAN-ACCENT-G11935,4.49,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,deep diving is the soundtrack to what film,deep diving is the soundtrack to what film,dip diving is the song track to watch film,dip diving is the song track to watch film,0.5,0.1905,0.625,1.125
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,is de souza resorts adult only,is de souza resorts adult only,is this user results adult only,is this user results adult only,0.5,0.3,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G32335-G32335S2354,AESRC2020-INDIAN-ACCENT-G32335,2.88,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,where is vanakamal hotel,where is vanakamal hotel,where is one kamal hotel,where is one kamal hotel,0.5,0.1667,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G43680-G43680S2361,AESRC2020-INDIAN-ACCENT-G43680,3.11,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,when will the sunset in nadiad,when will the sunset in nadiad,when will the sun set in nadiyadh,when will the sun set in nadiyadh,0.5,0.1,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,are pets allowed in rome's hat hotel innus,are pets allowed in rome s hat hotel innus,0.4444,0.2326,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G04091-G04091S2371,AESRC2020-INDIAN-ACCENT-G04091,4.054,INDIAN,small_aesrc_ft_seed43,transcript_raw,gold,i want to get takeaway from the fishermans arms,i want to get takeaway from the fishermans arms,i want to get take away from the fisherman's arms,i want to get take away from the fisherman s arms,0.4444,0.0426,0.7778,1.2222
