split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,parakeet,hf_clean,alt,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by minus 12 by 2 x x x So it is h square by 2 but it had 3 factorial circuits. So, it was 3 factorial and that multiplied by 2, so that it becomes 3. And divided by 2, yes.",x by minus twelve by two x x x so it is h square by two but it had three factorial circuits so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,1.7,1.5495,0.7059,2.1
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,parakeet,hf_clean,alt,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2",f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.625,1.4057,0.9412,2.5417
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),parakeet,hf_clean,alt,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"Rate could be something like, Well, two people arrive per minute. Okay, so that's two. And I want to ask the question: what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put I'll just substitute K with zero.",rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so id say on average two people arrive at the bus stop k is that zero right so ill put ill just substitute k with zero,1.2292,0.7931,0.1176,1.2708
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,parakeet,hf_clean,alt,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, uh but it is an abstraction. We'll we'll talk about how it affects our analysis. So uh as many number of processors as you need, which means it k it is valid for a single processor to a machine of even millions of processors. Yes. Right. Right. Um the so one is the num amount of resources, how much memory I have, how much local versus or shared.",i wont say assumption uh but it is an abstraction well well talk about how it affects our analysis so uh as many number of processors as you need which means it k it is valid for a single processor to a machine of even millions of processors yes right right um the so one is the num amount of resources how much memory i have how much local versus or shared,1.2,1.0169,0.8333,2.0571
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),parakeet,hf_clean,alt,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"Much higher compared to the summer. And it is a labor-intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds. Once the sludge is dried, how can we remove it? We have to remove the sludge from the sludge trying bud manually. So, it is a labor-intensive process and the slides are not a slow slow",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying buds once the sludge is dried how can we remove it we have to remove the sludge from the sludge trying bud manually so it is a labor intensive process and the slides are not a slow slow,1.0536,0.7273,0.2571,1.25
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,parakeet,hf_clean,alt,considered in problem forty minus five,considered in problem forty minus five,"Considered in problem 45. Okay, let us do that.",considered in problem forty five okay let us do that,1.0,0.5263,0.8333,1.6667
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),parakeet,hf_clean,alt,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,"In short time, S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so eight pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by eight mu,0.9767,0.6761,0.6,1.6047
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,parakeet,hf_clean,alt,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,"One thing you have a numerical methods problem, generally we work on shared memory model, but people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.",one thing you have a numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that you have to tell me how i can do it,0.9756,0.8563,0.3571,0.9512
test,u_Hku0A_rNQ,210,M,SLOW,NORTH,24.54,Engineering,Lecture-32,parakeet,hf_clean,alt,right we need to repeat the one s t p knots to do so we set the last n plus one knots as ourf parameter values we insure that the one s t,right we need to repeat the one s t p knots to do so we set the last n plus one knots as ourf parameter values we insure that the one s t,"That is right, we need to repeat the first p naughts. To do so, we set the last n plus 1 naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n",that is right we need to repeat the first p naughts to do so we set the last n plus one naughts as our parameter values and we ensure that the first p n n n n n n n n n n n n n n n n n n n n,0.9697,0.5328,0.7826,1.6061
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,parakeet,hf_clean,alt,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"By what is the concentration of B n plus in the solution? So, Rn minus B n plus resin means active activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.",by what is the concentration of b n plus in the solution so rn minus b n plus resin means active activity of b n plus in the resin and b n plus one s means activity of b n plus in the solution,0.9574,0.7046,0.1667,0.9362
