ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,0.5373,0.0231,224
gS5iH0QkPHg,25.59,0.7323,0.0286,294
D7Zu1-9kSUg,17.211,0.5167,0.03,230
rNdMsEHElc4,27.01,0.7833,0.029,320
aD_BO4DwxlU,21.94,0.6196,0.0282,260
_A5wRmd2rwI,23.04,0.6901,0.03,359
fGR_qtyRP_I,33.05,4.4054,0.1333,351
5hscXtk6usE,30.291,0.6665,0.022,353
J_lm2iJ0l0k,27.43,0.7077,0.0258,350
kPnr_57oii4,29.74,0.321,0.0108,79
hOoGiaUkKpc,25.28,0.6439,0.0255,353
XbUgxPtJuUg,19.66,0.5681,0.0289,237
GOUowwtdcPU,21.16,0.6757,0.0319,352
H1cq5p2nryw,23.09,0.7313,0.0317,286
6lqsHV_2yJc,19.76,0.3941,0.0199,173
f2kikEusCEM,23.459,0.6359,0.0271,317
uTwm3Zv1HfA,25.431,0.5485,0.0216,200
xacD9zJCqZ4,26.68,0.7049,0.0264,345
h47JDhpdYe0,24.081,0.4845,0.0201,152
vNNLvowQqoU,23.769,0.5788,0.0243,235
thF6wrlwdTQ,20.33,0.3473,0.0171,124
whCu4Xl3m98,14.58,0.4015,0.0275,113
P5nwZQe4QYI,19.92,0.8236,0.0413,354
JH9x87yjoEk,26.319,0.7289,0.0277,344
4ZydYE-0994,24.601,0.63,0.0256,358
w_ZPOjcxD8U,33.82,0.7255,0.0215,292
1JGSQQRu4fg,12.321,0.4566,0.0371,184
F2NqTIej98Q,28.819,0.7234,0.0251,305
pGu3HxJQF7I,24.49,0.5269,0.0215,254
0zceBXshBzA,22.88,0.6075,0.0265,316
6704d9DDwLo,24.379,0.6142,0.0252,267
VLv1adcoiWo,25.249,0.7684,0.0304,336
dgyPeFemyL8,23.23,0.601,0.0259,270
IcN9rLzhV3U,26.53,0.5463,0.0206,229
0AuMdY3IyJ8,27.74,0.534,0.0192,204
pGT6iJ_z5Vs,26.35,0.5708,0.0217,229
Ct2RYsd7blI,24.67,0.5296,0.0215,266
too4A5mo1Pk,22.25,0.6146,0.0276,347
jnQFMdMSRAE,25.319,0.5709,0.0225,248
Z4WvQ152QP8,21.67,0.8592,0.0396,379
fwRFaZnr2WU,24.49,0.6763,0.0276,357
C1XMxZEjP8I,22.65,0.5594,0.0247,217
FXEgxrRFVMQ,17.31,0.3906,0.0226,148
4LgvOdyaJ04,23.82,0.6856,0.0288,357
kVr9gGPuThY,20.959,0.4204,0.0201,168
d7gzALqU95Y,28.34,0.6535,0.0231,361
trHd9k3WKWg,33.63,0.6528,0.0194,317
zz3cEoeWrUo,20.53,0.6269,0.0305,265
DzF13C0g40A,24.42,0.4395,0.018,145
jcds3fbVLg0,27.45,0.4152,0.0151,168
djzzZHbUc80,25.36,0.7259,0.0286,316
gxges_uq5lc,23.58,0.5318,0.0226,260
PcQlvbmHDVY,28.38,0.7359,0.0259,346
aGM0r3QsYYU,35.669,0.6468,0.0181,368
p-JPAGGOvjU,22.07,0.8103,0.0367,196
Y03fkk2zdOE,23.7,0.5017,0.0212,256
pLPQGrvV4_g,29.071,0.7176,0.0247,362
lmr4kETnwi0,22.05,0.651,0.0295,305
7r7rLJqhBBw,19.851,0.627,0.0316,345
JVdBgP5SD14,29.74,0.7453,0.0251,349
rL47ZBWKRd0,19.65,0.8068,0.0411,361
4vl_r79DBKU,24.459,0.6463,0.0264,311
UfS8-eLsxRA,24.41,0.7247,0.0297,351
qXZ11_ZbxOs,26.8,0.7443,0.0278,283
EayOCWaiRkw,27.8,0.482,0.0173,221
2LyY4t0Gfvs,34.231,0.6965,0.0203,348
Byf8i1KkBiY,20.381,0.4449,0.0218,187
hric4h80PDc,22.6,0.6588,0.0291,308
zVkYmU_CUTs,16.759,0.5243,0.0313,274
LORmHAC_vPo,29.63,0.4366,0.0147,143
DPy4x6ffCrw,18.87,0.6403,0.0339,312
OhERfauZmg0,27.86,0.7319,0.0263,303
6aec4K8H9lE,36.23,0.7825,0.0216,314
Rm-APM83TKc,21.98,0.687,0.0313,294
_Bds8lC3Pog,25.27,0.8655,0.0343,363
o3mpbZ_FRd0,5.34,0.2034,0.0381,43
4WM8zLqbEsE,22.081,0.5471,0.0248,273
9xvvXx96_CI,26.29,0.97,0.0369,274
Ok57xBmSU-o,25.721,0.5219,0.0203,254
x-Gn-sxbIVU,23.6,0.7436,0.0315,347
eF5IzBMbQrc,21.29,0.3939,0.0185,153
994ZNi7rSXo,23.59,0.5894,0.025,267
irudCaBrij0,22.46,0.5292,0.0236,268
DWsJ_XUm23s,18.631,0.6383,0.0343,269
G0cJFabIo7c,21.23,0.5523,0.026,264
0JJxZ-OSEek,24.23,0.7471,0.0308,376
_h6CSuwWqYg,18.89,0.6061,0.0321,268
8v1gUk4Mp2E,29.539,0.7118,0.0241,365
3GANGKHWwL4,22.43,0.752,0.0335,254
VmnzH3GZiKw,20.709,0.8953,0.0432,359
YbxyPM62bmM,22.57,0.4925,0.0218,160
bkzKVsIEjxk,38.81,1.0084,0.026,371
BEkK73VEjes,29.7,0.7309,0.0246,332
BFBPD4Og4Ts,23.88,0.6286,0.0263,298
pu2OzGhv1HI,29.3,0.6925,0.0236,334
ZIHXB0bF7jI,24.0,0.6782,0.0283,349
drt3AtQPQmE,26.901,0.6672,0.0248,304
_HSRZMTQCF4,27.99,0.4909,0.0175,168
