split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G12929-G12929S2350,AESRC2020-INDIAN-ACCENT-G12929,4.34,INDIAN,tiny_hf,transcript_raw,gold,i want to know the ten day weather forecast in howrah,i want to know the ten day weather forecast in howrah,I want to know the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste,i want to know the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste,39.9091,35.4717,0.4545,40.3636
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S1299,AESRC2020-INDIAN-ACCENT-G13842,5.032,INDIAN,tiny_hf,transcript_raw,gold,three comes after one five comes after three and so on what's after nine,three comes after one five comes after three and so on what s after nine,"3 curves after 1, 5 curves after 3 and so on, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",3 curves after 1 5 curves after 3 and so on 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,14.8,6.2222,0.3636,15.1333
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny_hf,transcript_raw,gold,will there be snow in amsterda,will there be snow in amsterda,"Well, there's no end. I'm scared of that.",well there s no end i m scared of that,1.5,0.6667,0.1667,1.6667
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny_hf,transcript_raw,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,"Please, don't forget to subscribe to my channel.",please don t forget to subscribe to my channel,1.5,0.7692,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,tiny_hf,transcript_raw,gold,skip apni mitti,skip apni mitti,escape its own meaty.,escape its own meaty,1.3333,0.9333,0.0,1.3333
test,AESRC2020-INDIAN-ACCENT-G33289-G33289S2353,AESRC2020-INDIAN-ACCENT-G33289,3.585,INDIAN,tiny_hf,transcript_raw,gold,what is the altitude in nellore,what is the altitude in nellore,What is the LT-T-U-D-N-N-LOR?,what is the lt t u d n n lor,1.1667,0.2903,0.5,1.6667
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny_hf,transcript_raw,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,Give the next to clear in the things on.,give the next to clear in the things on,1.1667,0.6286,0.3333,1.5
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_hf,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,Dodge based jump-up and a power center have taken away.,dodge based jump up and a power center have taken away,1.125,0.4222,0.25,1.375
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny_hf,transcript_raw,gold,decrease speed,decrease speed,The crease speed.,the crease speed,1.0,0.2143,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,tiny_hf,transcript_raw,gold,uninstall choices,uninstall choices,An install choices.,an install choices,1.0,0.1176,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G12737-G12737S2355,AESRC2020-INDIAN-ACCENT-G12737,3.555,INDIAN,tiny_hf,transcript_raw,gold,where can i buy music by biju narayanan,where can i buy music by biju narayanan,"We are connected by music by vision, the right on.",we are connected by music by vision the right on,1.0,0.6667,0.25,1.25
test,AESRC2020-INDIAN-ACCENT-G01737-G01737S2355,AESRC2020-INDIAN-ACCENT-G01737,2.79,INDIAN,tiny_hf,transcript_raw,gold,will it rain tomorrow in danapur,will it rain tomorrow in danapur,We'll drain tomorrow and dana bur.,we ll drain tomorrow and dana bur,1.0,0.2812,0.1667,1.1667
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny_hf,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karatamutu,favorite karatamutu,1.0,0.1818,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G22849-G22849S2354,AESRC2020-INDIAN-ACCENT-G22849,2.961,INDIAN,tiny_hf,transcript_raw,gold,when was the show yahan main ghar ghar kheli made,when was the show yahan main ghar ghar kheli made,Thank you for watching.,thank you for watching,1.0,0.7959,0.0,0.4
test,AESRC2020-INDIAN-ACCENT-G43065-G43065S3375,AESRC2020-INDIAN-ACCENT-G43065,3.115,INDIAN,tiny_hf,transcript_raw,gold,set the alarm at seven am,set the alarm at seven am,Say it to Alam at 7am.,say it to alam at 7am,1.0,0.52,0.1667,1.0
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,tiny_hf,transcript_raw,gold,five fifty four am,five fifty four am,5 54m.,5 54m,1.0,0.8889,0.0,0.5
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,tiny_hf,transcript_raw,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,1 9 0 4 8 6 9 1 6 3,1 9 0 4 8 6 9 1 6 3,1.0,0.8085,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G91245-G91245S2354,AESRC2020-INDIAN-ACCENT-G91245,3.444,INDIAN,tiny_hf,transcript_raw,gold,what platforms can i watch front of the class on,what platforms can i watch front of the class on,"But, let's play the phone.",but let s play the phone,0.9,0.7292,0.1,0.6
test,AESRC2020-INDIAN-ACCENT-G52090-G52090S2364,AESRC2020-INDIAN-ACCENT-G52090,4.165,INDIAN,tiny_hf,transcript_raw,gold,what is a recommended dish at bismillah gul mahal,what is a recommended dish at bismillah gul mahal,What is Turkey meant is that they are at Bismillah Gulmuhal.,what is turkey meant is that they are at bismillah gulmuhal,0.8889,0.5102,0.4444,1.2222
test,AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,AESRC2020-INDIAN-ACCENT-G33434,4.507,INDIAN,tiny_hf,transcript_raw,gold,has the song mwana oyo won any wards,has the song mwana oyo won any wards,"Hashtag song, whanah or your one any words?",hashtag song whanah or your one any words,0.875,0.3611,0.25,1.0
