split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,large,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,Favorite? Karu Tamil Tu.,favorite karu tamil tu,2.0,0.3182,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,large,transcript_raw,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,1904869163,1904869163,1.0,1.0,0.0,0.1
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,large,transcript_raw,gold,five fifty four am,five fifty four am,5.54 am,5 54 am,0.75,0.7778,0.25,0.75
test,AESRC2020-INDIAN-ACCENT-G11445-G11445S2354,AESRC2020-INDIAN-ACCENT-G11445,3.753,INDIAN,large,transcript_raw,gold,does kishore kumar have an upcoming release,does kishore kumar have an upcoming release,Dust ke shor kumar hai when upcoming release?,dust ke shor kumar hai when upcoming release,0.7143,0.2558,0.4286,1.1429
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,large,transcript_raw,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did one dollar azul day zero and first debit,when did one dollar azul day zero and first debit,0.6667,0.3404,0.4444,1.1111
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,large,transcript_raw,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be large.,only play songs while smile be large,0.6667,0.4242,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,large,transcript_raw,gold,of it the plot of lioness,of it the plot of lioness,Or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,large,transcript_raw,gold,lay the prince ascetic next,lay the prince ascetic next,Play the Prince as Ketik next.,play the prince as ketik next,0.6,0.1481,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,large,transcript_raw,gold,play rahmat da darya illahi,play rahmat da darya illahi,Play Rehmat Da Dariya Ilahi.,play rehmat da dariya ilahi,0.6,0.1111,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G23739-G23739S2373,AESRC2020-INDIAN-ACCENT-G23739,4.238,INDIAN,large,transcript_raw,gold,add nutritiously nicola to my watch list,add nutritiously nicola to my watch list,Add NutritiouslyNikola to my watchlist.,add nutritiouslynikola to my watchlist,0.5714,0.075,0.4286,0.7143
test,AESRC2020-INDIAN-ACCENT-G03453-G03453S2355,AESRC2020-INDIAN-ACCENT-G03453,3.819,INDIAN,large,transcript_raw,gold,add the show jeet jayenge hum to the queue,add the show jeet jayenge hum to the queue,"At the show, we will win the queue.",at the show we will win the queue,0.5556,0.4286,0.375,0.8889
