split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976887177_f3253_chunk_8.wav,,1.08,Female,18-30,Malayalam,medium,transcript_clean,gold,language.,language,"language. So, I hope you enjoyed this video. I hope you found it helpful. I hope you found it helpful.",language so i hope you enjoyed this video i hope you found it helpful i hope you found it helpful,19.0,11.125,1.0,20.0
test,281474976895331_f2252_chunk_4.wav,,0.64475,Male,30-45,Kashmiri,medium,transcript_clean,gold,Tobacco,tobacco,the back cool prime stream at tdl hookah channel and for more vids visit youtube.com,the back cool prime stream at tdl hookah channel and for more vids visit youtube com,16.0,11.1429,0.0,16.0
test,281474976897517_f2194_chunk_4.wav,,0.5996875,Male,30-45,Sindhi,medium,transcript_clean,gold,Udaipur,udaipur,Again for episode 2 E broke theنا,again for episode two e broke theنا,7.0,4.4286,0.0,7.0
test,281474976897102_f2877_chunk_0.wav,,0.2490625,Male,18-30,Hindi,medium,transcript_clean,gold,Stop,stop,and all that just to start...,and all that just to start,6.0,5.75,0.0,6.0
test,281474976890748_f2054_chunk_8.wav,,0.99425,Male,18-30,Dogri,medium,transcript_clean,gold,Baisakhi,baisakhi,Best of luck to you.,best of luck to you,5.0,2.125,0.0,5.0
test,281474976888936_f2388_chunk_1.wav,,2.2556875,Female,18-30,Konkani,medium,transcript_clean,gold,@upi,upi,at the rate of UPI.,at the rate of upi,4.0,5.0,1.0,5.0
test,281474976900333_f1733_chunk_1.wav,,0.6526875,Male,45-60,Kashmiri,medium,transcript_clean,gold,Ikra,ikra,It Pas Jonesasion Test.,it pas jonesasion test,4.0,5.0,0.0,4.0
test,281474976887081_f2283_chunk_7.wav,,0.694,Female,30-45,Gujarati,medium,transcript_clean,gold,Halarda,halarda,I let it out.,i let it out,4.0,1.5714,0.0,4.0
test,281474976899764_f2324_chunk_0.wav,,0.20475,Female,30-45,Odia,medium,transcript_clean,gold,Off,off,N elections results flosom,n elections results flosom,4.0,8.0,0.0,4.0
test,281474976893905_f2310_chunk_4.wav,,0.9505625,Male,30-45,Bodo,medium,transcript_clean,gold,Pakistan,pakistan,"Okay, it's done.",okay it s done,4.0,1.25,0.0,4.0
test,281474976897387_f2253_chunk_2.wav,,0.9724375,Male,18-30,Odia,medium,transcript_clean,gold,Gajapati,gajapati,God's a party,god s a party,4.0,1.0,0.0,4.0
test,281474976888866_f2195_chunk_21.wav,,1.5000625,Female,18-30,Nepali,medium,transcript_clean,gold,buy a,buy a,b y y 먹고柯 Спасибо por ver!,b y y 먹고柯 спасибо por ver,3.5,4.4,0.0,3.5
test,281474976885510_f2092_chunk_4.wav,,0.6919375,Male,18-30,Kannada,medium,transcript_clean,gold,Chitradurga,chitradurga,to each other.,to each other,3.0,1.1818,0.0,3.0
test,281474976909234_f2865_chunk_1.wav,,1.210625,Female,45-60,Punjabi,medium,transcript_clean,gold,PayUmoney,payumoney,Pay you money.,pay you money,3.0,0.4444,0.0,3.0
test,281474976894268_f1720_chunk_3.wav,,0.92,Female,30-45,Kashmiri,medium,transcript_clean,gold,housing,housing,How S outs,how s outs,3.0,1.0,0.0,3.0
test,281474976900333_f1733_chunk_4.wav,,0.7095,Male,45-60,Kashmiri,medium,transcript_clean,gold,Insha,insha,In Sha Allah.,in sha allah,3.0,1.4,0.0,3.0
test,281474976895330_f1883_chunk_4.wav,,0.6163125,Male,30-45,Kashmiri,medium,transcript_clean,gold,achievements,achievements,It's human.,it s human,3.0,0.8333,0.0,3.0
test,281474976883938_f1692_chunk_0.wav,,0.482375,Female,18-30,Malayalam,medium,transcript_clean,gold,Irevi,irevi,It a b-,it a b,3.0,1.0,0.0,3.0
test,281474976899578_f2277_chunk_4.wav,,0.8405,Female,45-60,Bengali,medium,transcript_clean,gold,method.,method,That's hard.,that s hard,3.0,1.3333,0.0,3.0
test,281474976893913_f2002_chunk_9.wav,,1.000125,Male,30-45,Bodo,medium,transcript_clean,gold,and Nagaland,and nagaland,and be are codes happy are,and be are codes happy are,2.5,1.5833,0.5,3.0
