split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karuta mytho,favorite karuta mytho,1.5,0.2273,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,create a playlist with only t n shesha gopal in songs,create a playlist with only t n shesha gopal in songs,0.625,0.102,0.75,1.375
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambu bada pao center have take away,does best jambu bada pao center have take away,0.625,0.1111,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser or loser,i better rock now fits like such a looser or loser,0.6154,0.2407,0.5833,0.8462
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,lay the prince ascetic next,lay the prince ascetic next,play the prince as catechnex,play the prince as catechnex,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,what's kevee keyam enterprises contact number,what s kevee keyam enterprises contact number,what's kiwi kayam enterprise's contact number,what s kiwi kayam enterprise s contact number,0.5714,0.1333,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G01964-G01964S2365,AESRC2020-INDIAN-ACCENT-G01964,3.948,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,show me films similar to briefless barrister,show me films similar to briefless barrister,show me films similar to brief less bare star,show me films similar to brief less bare star,0.5714,0.0909,0.7143,1.2857
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,change the song to everyday we lit,change the song to everyday we lit,send the song to every day we live,send the song to every day we live,0.5714,0.2353,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G23324-G23324S2354,AESRC2020-INDIAN-ACCENT-G23324,6.337,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,is there a warranty on gillette cartridges venus blades,is there a warranty on gillette cartridges venus blades,is there a barangpi on zilet carti de zvenus blades,is there a barangpi on zilet carti de zvenus blades,0.5556,0.2545,0.5556,1.1111
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,medium_aesrc_ft_seed47,transcript_raw,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
