split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,yiH5FPrvQe8,212,31.439,M,AVG,NORTH,Engineering,Derivation of Equation of motion of nonlinear continuous system 1,medium_ft_disjoint,whisper_norm,gold,"by taking only this part one can write or the motion is simple harmonic so, from this one can write this q t equal to or q t can be written in this form a sin omega t. So, one can put a sin omega t plus pi where, a and pi can be obtained from the initial condition. Now, from the other part so, one can write this d forth psi by d x forth equal to M omega",by taking only this part one can write or the motion is simple harmonic so from this one can write this q t equal to or q t can be written in this form a sin omega t so one can put a sin omega t plus pi where a and pi can be obtained from the initial condition now from the other part so one can write this d forth psi by d x forth equal to m omega,"by taking only this part one can write or the motion is simple harmonic. So, from this one can write this q t equal to or q t can be written in this form a sin omega t. So, one can put a sin omega t plus phi where a and phi can be obtained from the initial condition. Now, from the other part, so one can write this d 4th psi by d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d",by taking only this part one can write or the motion is simple harmonic so from this one can write this q t equal to or q t can be written in this form a sin omega t so one can put a sin omega t plus phi where a and phi can be obtained from the initial condition now from the other part so one can write this d 4th psi by d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d x plus d,5.2,3.5575,0.9286,6.1
test,t7d2pbLidqU,89,27.14,M,FAST,SOUTH,Engineering,"Multinomial Theorem, Combinations of Multisets -- Part (1)",medium_ft_disjoint,whisper_norm,gold,"Again the question can be map to the same kind of thing here, we what for the n pens, to create n regions for pens, we can use n minus 1 bars. Because, n if you put n minus 1 bar say, region 1, region 2, region 3 so, this will be a region n so, n minus 1 bars will create n regions right. And now, in these regions, we place the balls in whatever way",again the question can be map to the same kind of thing here we what for the n pens to create n regions for pens we can use n -one bars because n if you put n -one bar say region one region 2 region 3 so this will be a region n so n -one bars will create n regions right and now in these regions we place the balls in whatever way,"then the question can be map to the same kind of thing where we what for the n pens to create n regions for pens we can use n minus 1 bars, because n if you put n minus 1 bars here region 1 region 2 region 3. So, this will be region n say n minus 1 bar bars will create n regions right and now in this regions we place the n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n",then the question can be map to the same kind of thing where we what for the n pens to create n regions for pens we can use n -one bars because n if you put n -one bars here region one region 2 region 3 so this will be region n say n -one bar bars will create n regions right and now in this regions we place the n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n,5.0811,2.2758,0.8667,5.9189
test,VVTFxiwiWB8,319,61.059,M,SLOW,EAST,Engineering,Pollution Modelling-Surface Water(Contd...),medium_ft_disjoint,whisper_norm,gold,"This is say biochemical oxygen demand, biochemical, biochemical oxygen demand plus non-biochemical oxygen demand, demand say from biochemical say this is waste, waste or living organisms, waste or living waste or living organisms. So, we can see this you know waste or living organism, we can observe that in this biochemical oxygen, biological oxygen demand would include",this is say biochemical oxygen demand biochemical biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that in this biochemical oxygen biological oxygen demand would include,"biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand, demand say from biochemical say this is waste, waste or living organisms, waste or living, waste or living organisms. So, we can see this you know waste or living organism, we can observe that you know this biochemical oxygen, biological oxygen demand would include this",biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that you know this biochemical oxygen biological oxygen demand would include this,4.6379,5.1047,0.9615,5.569
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,medium_ft_disjoint,whisper_norm,gold,..,.,can be written as,can be written as,4.0,17.0,0.0,4.0
test,RbuSM2lRW_o,187,33.69,F,AVG,WEST,Non-Engineering,Tutorial 2,medium_ft_disjoint,whisper_norm,gold,functions f x is equal to 1 f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square now when we take these 3 functions f x is equal to 1 f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a 1 a 2 and then we determine,functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a one x plus a 2 x square now when we take these 3 functions f x is equal to one f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a one a 2 and then we determine,"functions f x is equal to 1 f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square. Now, when we take these three functions f x is equal to 1 f x x is equal to x and f x is equal to x square, we will get three equations in three unknowns a 0, a 1, a 2, a 3, a 4, a 5, a 6, a 7, a 8, a 9, a 10, a 11, a 12, a 13, a 14, a 14, a 15, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a",functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a one x plus a 2 x square now when we take these 3 functions f x is equal to one f x x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a one a 2 a 3 a 4 a 5 a 6 a 7 a 8 a 9 a 10 a 11 a 12 a 13 a 14 a 14 a 15 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a 16 a,2.8913,1.7766,0.9737,3.8478
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,medium_ft_disjoint,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,f which we have seen c times n minus 1 minus 2j sorry this is I made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),medium_ft_disjoint,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people arrive at the bus stop K is that zero right so I'll put I'll just substitute K with zero,rate could be something like well 2 people arrive per minute okay so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 right so i will put i will just substitute k with 0,1.2708,0.7966,0.1176,1.3333
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,medium_ft_disjoint,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"it is h square by. So, it was 3 factorial and that multiplied by 2. So, that it becomes 3 and divided by 2. Yes.",it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.0,0.9277,0.6471,1.25
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,medium_ft_disjoint,whisper_norm,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We will talk about how it affects our analysis. Sir, so as many number of processor as you need which means it is valid for a single processor to a machine of even millions of processor. Yes, right. So, one is the amount of resources. How much memory I have, how much local versus odd shared",i will not say assumption but it is an abstraction we will talk about how it affects our analysis sir so as many number of processor as you need which means it is valid for a single processor to a machine of even 1000000s of processor yes right so one is the amount of resources how much memory i have how much local versus odd shared,1.0,0.882,0.9,1.8857
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,medium_ft_disjoint,whisper_norm,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
