ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.05,0.0172,32
281474976888909_f3258_chunk_7.wav,7.414,0.0531,0.0072,56
281474976894795_f2258_chunk_11.wav,12.681,0.0597,0.0047,125
281474976899564_f2428_chunk_0.wav,0.263,0.1036,0.3935,4
281474976885777_f1381_chunk_0.wav,2.889,0.0608,0.0211,41
281474976893835_f569_chunk_0.wav,0.862,0.0554,0.0643,9
281474976895412_f1595_chunk_0.wav,0.312,0.0557,0.1788,6
281474976901586_f1451_chunk_0.wav,0.678,0.0533,0.0787,4
281474976892134_f1122_chunk_0.wav,3.074,0.0541,0.0176,42
281474976902183_f1898_chunk_0.wav,3.165,0.0572,0.0181,46
281474976889207_f2377_chunk_2.wav,4.053,0.0614,0.0151,57
281474976887817_f1763_chunk_0.wav,8.107,0.066,0.0081,126
281474976895868_f659_chunk_0.wav,0.576,0.0511,0.0889,4
281474976901152_f2107_chunk_3.wav,0.75,0.0557,0.0743,6
281474976906745_f2447_chunk_1.wav,3.633,0.057,0.0157,51
281474976888218_f2769_chunk_0.wav,6.191,0.057,0.0092,57
281474976884079_f2150_chunk_1.wav,8.867,0.0638,0.0072,118
281474976897522_f1981_chunk_9.wav,1.3,0.0515,0.0396,10
281474976888160_f3202_chunk_5.wav,4.783,0.058,0.0121,70
281474976894896_f456_chunk_0.wav,4.31,0.0559,0.013,72
281474976893750_f2373_chunk_0.wav,6.392,0.0579,0.0091,78
281474976893843_f2130_chunk_4.wav,10.617,0.0595,0.0056,108
281474976893153_f2820_chunk_0.wav,2.839,0.0568,0.02,46
281474976893017_f2672_chunk_0.wav,5.479,0.0554,0.0101,83
281474976894273_f3279_chunk_17.wav,8.455,0.0617,0.0073,110
281474976897290_f1204_chunk_0.wav,0.645,0.0537,0.0832,5
281474976897454_f1975_chunk_4.wav,7.72,0.0587,0.0076,83
281474976900333_f1733_chunk_4.wav,0.71,0.053,0.0748,9
281474976887025_f36_chunk_0.wav,3.393,0.0618,0.0182,38
281474976901454_f524_chunk_0.wav,0.801,0.0501,0.0625,2
281474976895208_f2923_chunk_0.wav,7.571,0.0584,0.0077,108
281474976884627_f3339_chunk_2.wav,2.811,0.0543,0.0193,43
281474976889221_f3229_chunk_0.wav,5.4,0.0574,0.0106,83
281474976901164_f2275_chunk_6.wav,1.103,0.053,0.0481,10
281474976899764_f2324_chunk_0.wav,0.205,0.0534,0.2607,5
281474976903187_f2699_chunk_1.wav,2.356,0.0508,0.0216,33
281474976885801_f2235_chunk_21.wav,4.75,0.0551,0.0116,65
281474976884085_f3239_chunk_23.wav,5.48,0.0581,0.0106,62
281474976901153_f1889_chunk_7.wav,2.522,0.0562,0.0223,38
281474976893848_f3250_chunk_9.wav,9.65,0.0617,0.0064,99
281474976893172_f2123_chunk_3.wav,6.109,0.0625,0.0102,111
281474976885800_f1683_chunk_9.wav,5.519,0.0592,0.0107,104
281474976884044_f1919_chunk_1.wav,3.714,0.0535,0.0144,26
281474976887807_f3177_chunk_0.wav,5.056,0.0566,0.0112,51
281474976894795_f2258_chunk_22.wav,14.101,0.0656,0.0047,136
281474976892193_f1802_chunk_0.wav,0.608,0.0514,0.0845,7
281474976898621_f2032_chunk_0.wav,1.785,0.0535,0.03,28
281474976894268_f1720_chunk_0.wav,1.26,0.0529,0.042,26
281474976896999_f1689_chunk_1.wav,2.336,0.0581,0.0249,40
281474976886817_f1675_chunk_1.wav,0.62,0.051,0.0823,9
281474976892333_f3244_chunk_6.wav,4.26,0.0531,0.0125,37
281474976884637_f2218_chunk_6.wav,4.96,0.0576,0.0116,57
281474976899581_f1864_chunk_5.wav,2.436,0.0514,0.0211,21
281474976899757_f1404_chunk_0.wav,8.84,0.0588,0.0067,73
281474976893846_f3264_chunk_3.wav,13.0,0.0584,0.0045,105
281474976900339_f2186_chunk_1.wav,7.66,0.058,0.0076,131
281474976893734_f2994_chunk_0.wav,1.732,0.0539,0.0311,32
281474976887640_f478_chunk_0.wav,3.769,0.0575,0.0152,53
281474976884126_f3274_chunk_5.wav,7.408,0.0597,0.0081,72
281474976934186_f3139_chunk_1.wav,6.02,0.0539,0.0089,55
281474976893724_f3273_chunk_4.wav,7.036,0.0571,0.0081,94
281474976884131_f3182_chunk_6.wav,10.645,0.0618,0.0058,88
281474976885510_f2092_chunk_3.wav,0.663,0.0511,0.0771,6
281474976893915_f2228_chunk_11.wav,5.365,0.0585,0.0109,83
281474976899939_f968_chunk_0.wav,0.159,0.0557,0.3506,3
281474976884229_f2757_chunk_0.wav,8.398,0.0625,0.0074,118
281474976894795_f2258_chunk_10.wav,9.13,0.0627,0.0069,112
281474976884478_f2191_chunk_13.wav,2.04,0.0515,0.0252,31
281474976890741_f3144_chunk_0.wav,5.229,0.0576,0.011,33
281474976888961_f1990_chunk_0.wav,17.474,0.0727,0.0042,218
281474976896668_f987_chunk_0.wav,13.922,0.0617,0.0044,111
281474976883938_f1692_chunk_3.wav,0.772,0.052,0.0674,9
281474976887081_f2283_chunk_5.wav,0.635,0.051,0.0803,8
281474976903907_f3262_chunk_4.wav,8.997,0.0558,0.0062,83
281474976888919_f3231_chunk_13.wav,10.92,0.0588,0.0054,98
281474976885801_f2235_chunk_31.wav,3.833,0.0536,0.014,44
281474976897079_f2874_chunk_0.wav,1.505,0.0513,0.0341,18
281474976900647_f780_chunk_0.wav,0.776,0.0481,0.062,7
281474976896669_f986_chunk_0.wav,0.459,0.0498,0.1084,5
281474976899969_f3240_chunk_0.wav,7.826,0.0576,0.0074,100
281474976888156_f2040_chunk_8.wav,1.406,0.0544,0.0387,7
281474976883875_f917_chunk_0.wav,1.915,0.0557,0.0291,34
281474976897862_f2802_chunk_1.wav,6.502,0.0547,0.0084,30
281474976886889_f844_chunk_0.wav,6.238,0.0589,0.0094,85
281474976898096_f1469_chunk_0.wav,0.511,0.0501,0.098,4
281474976888231_f1490_chunk_0.wav,3.776,0.0526,0.0139,39
281474976902188_f2127_chunk_3.wav,1.333,0.0524,0.0393,19
281474976895294_f717_chunk_0.wav,4.078,0.0586,0.0144,79
281474976888909_f3258_chunk_23.wav,10.803,0.06,0.0056,80
281474976884085_f3239_chunk_34.wav,4.88,0.0571,0.0117,67
281474976894794_f3270_chunk_8.wav,6.859,0.0626,0.0091,66
281474976887171_f3278_chunk_8.wav,9.48,0.0587,0.0062,77
281474976898109_f1467_chunk_0.wav,0.566,0.0531,0.0938,9
281474976887080_f3201_chunk_1.wav,6.12,0.0623,0.0102,83
281474976894271_f3141_chunk_13.wav,1.34,0.0535,0.0399,25
281474976887082_f3312_chunk_0.wav,6.168,0.0587,0.0095,88
281474976884470_f3243_chunk_8.wav,3.16,0.0511,0.0162,41
281474976899792_f1793_chunk_4.wav,1.589,0.0526,0.0331,18
281474976896155_f453_chunk_0.wav,3.969,0.0538,0.0136,42
281474976893848_f3250_chunk_3.wav,9.45,0.0639,0.0068,96
281474976886870_f3336_chunk_0.wav,5.56,0.0597,0.0107,87
281474976893174_f1860_chunk_2.wav,1.69,0.0516,0.0305,29
281474976884085_f3239_chunk_3.wav,2.147,0.054,0.0252,29
281474976925450_f2431_chunk_0.wav,1.862,0.0559,0.03,24
281474976887150_f2645_chunk_0.wav,3.185,0.0571,0.0179,51
281474976887660_f3286_chunk_1.wav,7.636,0.0602,0.0079,82
281474976894332_f3200_chunk_1.wav,9.997,0.062,0.0062,127
281474976893063_f159_chunk_0.wav,12.016,0.0641,0.0053,163
281474976906767_f2453_chunk_0.wav,0.521,0.0506,0.0971,5
281474976883946_f1999_chunk_9.wav,9.473,0.0603,0.0064,127
281474976897115_f3174_chunk_0.wav,5.11,0.0584,0.0114,82
281474976888873_f2272_chunk_22.wav,3.875,0.0561,0.0145,35
281474976895434_f1887_chunk_2.wav,4.969,0.0555,0.0112,76
281474976893060_f1738_chunk_2.wav,1.58,0.0519,0.0329,17
281474976903869_f1624_chunk_0.wav,4.898,0.0573,0.0117,50
281474976893915_f2228_chunk_1.wav,4.137,0.0627,0.0152,62
281474976897387_f2253_chunk_1.wav,1.116,0.0516,0.0462,11
281474976885804_f1685_chunk_10.wav,3.3,0.0535,0.0162,37
281474976888919_f3231_chunk_9.wav,7.58,0.0613,0.0081,78
281474976886852_f238_chunk_0.wav,8.452,0.0602,0.0071,114
281474976886874_f1933_chunk_0.wav,9.883,0.0608,0.0062,156
281474976898393_f3128_chunk_0.wav,7.12,0.061,0.0086,89
281474976888866_f2195_chunk_7.wav,13.952,0.0653,0.0047,144
281474976893909_f2140_chunk_4.wav,7.975,0.0612,0.0077,80
281474976901593_f1446_chunk_0.wav,0.684,0.05,0.073,6
281474976897000_f2147_chunk_3.wav,2.3,0.0525,0.0228,32
281474976894895_f747_chunk_0.wav,4.537,0.0551,0.0121,64
281474976896751_f2714_chunk_0.wav,0.38,0.0495,0.1303,5
281474976897307_f3234_chunk_0.wav,3.44,0.0572,0.0166,46
281474976893696_f2692_chunk_0.wav,0.564,0.0481,0.0853,6
281474976895429_f2104_chunk_8.wav,9.199,0.0585,0.0064,98
281474976915903_f3188_chunk_1.wav,8.07,0.058,0.0072,86
281474976899798_f2095_chunk_3.wav,6.846,0.0663,0.0097,119
281474976886793_f1328_chunk_1.wav,2.08,0.0567,0.0272,42
281474976890723_f2836_chunk_0.wav,2.743,0.0546,0.0199,46
281474976888161_f1851_chunk_9.wav,1.162,0.0516,0.0444,9
281474976897454_f1975_chunk_7.wav,3.78,0.0515,0.0136,39
281474976883820_f1191_chunk_0.wav,2.082,0.0505,0.0243,25
281474976892141_f2594_chunk_0.wav,5.143,0.0558,0.0108,69
281474976884129_f3284_chunk_4.wav,7.2,0.0569,0.0079,62
281474976897460_f2190_chunk_1.wav,6.215,0.0594,0.0096,85
281474976896770_f3298_chunk_6.wav,6.251,0.0592,0.0095,87
281474976893071_f3151_chunk_3.wav,5.14,0.0542,0.0105,73
281474976900642_f154_chunk_0.wav,4.594,0.0574,0.0125,68
281474976901605_f2022_chunk_6.wav,4.534,0.0525,0.0116,63
281474976893852_f1949_chunk_0.wav,17.274,0.0689,0.004,188
281474976896757_f1719_chunk_2.wav,0.676,0.0484,0.0715,5
281474976897540_f438_chunk_0.wav,3.944,0.0527,0.0134,49
281474976898132_f2234_chunk_2.wav,11.249,0.0615,0.0055,135
281474976895165_f2773_chunk_0.wav,5.748,0.0573,0.01,68
281474976897423_f442_chunk_0.wav,7.415,0.0559,0.0075,90
281474976887705_f3172_chunk_5.wav,5.695,0.0556,0.0098,62
281474976893848_f3250_chunk_14.wav,9.05,0.0597,0.0066,54
281474976883938_f1692_chunk_1.wav,0.56,0.0503,0.09,7
281474976895111_f1208_chunk_0.wav,0.472,0.052,0.1102,4
281474976884593_f2516_chunk_0.wav,3.188,0.0511,0.016,52
281474976895086_f1130_chunk_0.wav,2.304,0.0613,0.0266,41
281474976901745_f973_chunk_0.wav,6.006,0.0624,0.0104,78
281474976893864_f30_chunk_0.wav,1.208,0.0533,0.0442,26
281474976884634_f2217_chunk_12.wav,4.8,0.0575,0.012,71
281474976888145_f1900_chunk_0.wav,0.923,0.0532,0.0576,11
281474976888154_f2008_chunk_2.wav,0.654,0.0545,0.0833,7
281474976883744_f1103_chunk_0.wav,8.928,0.0627,0.007,138
281474976884627_f3339_chunk_6.wav,8.96,0.0605,0.0068,105
281474976893715_f1740_chunk_0.wav,5.551,0.0585,0.0105,70
281474976900596_f3268_chunk_12.wav,3.613,0.0581,0.0161,28
281474976892155_f1770_chunk_0.wav,3.783,0.0545,0.0144,30
281474976896984_f217_chunk_0.wav,0.575,0.0481,0.0836,4
281474976884345_f432_chunk_0.wav,5.93,0.0581,0.0098,67
281474976915880_f2659_chunk_0.wav,0.68,0.0483,0.071,5
281474976885796_f2048_chunk_5.wav,1.74,0.0496,0.0285,27
281474976899581_f1864_chunk_4.wav,3.32,0.0541,0.0163,29
281474976888866_f2195_chunk_19.wav,3.317,0.0512,0.0154,36
281474976883978_f1047_chunk_0.wav,0.521,0.0476,0.0914,4
281474976886872_f2204_chunk_1.wav,2.271,0.0533,0.0235,21
281474976889203_f2817_chunk_1.wav,2.62,0.0533,0.0203,43
281474976896999_f1689_chunk_2.wav,2.233,0.0521,0.0234,24
281474976896646_f1667_chunk_0.wav,7.905,0.06,0.0076,104
281474976884082_f1806_chunk_2.wav,10.204,0.0601,0.0059,107
281474976893913_f2002_chunk_16.wav,3.425,0.0536,0.0157,41
281474976894939_f2193_chunk_5.wav,7.112,0.0632,0.0089,120
281474976887083_f2168_chunk_0.wav,3.448,0.0518,0.015,53
281474976895315_f2485_chunk_0.wav,0.598,0.0509,0.0852,7
281474976888160_f3202_chunk_0.wav,2.666,0.0543,0.0204,47
281474976888157_f3255_chunk_4.wav,7.938,0.0556,0.007,64
281474976893004_f484_chunk_0.wav,1.35,0.049,0.0363,17
281474976893617_f1433_chunk_0.wav,0.271,0.05,0.1844,6
281474976879627_f1171_chunk_0.wav,4.516,0.0561,0.0124,54
281474976888909_f3258_chunk_20.wav,2.56,0.056,0.0219,15
281474976885804_f1685_chunk_2.wav,4.466,0.0589,0.0132,44
281474976897895_f1879_chunk_0.wav,6.745,0.0591,0.0088,104
281474976893805_f171_chunk_1.wav,5.886,0.0594,0.0101,62
281474976893071_f3151_chunk_0.wav,6.483,0.0592,0.0091,93
281474976888630_f3289_chunk_2.wav,6.76,0.0551,0.0082,56
281474976893075_f2114_chunk_8.wav,3.03,0.0529,0.0174,46
281474976892193_f1802_chunk_4.wav,0.964,0.0538,0.0559,10
281474976891390_f3043_chunk_1.wav,1.185,0.055,0.0464,20
281474976901608_f2023_chunk_6.wav,3.971,0.0529,0.0133,39
281474976889307_f3158_chunk_0.wav,2.24,0.0536,0.0239,38
281474976888866_f2195_chunk_23.wav,5.55,0.0559,0.0101,102
