split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,favorite caro tha mithu,favorite caro tha mithu,2.0,0.2727,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,skip apni mitti,skip apni mitti,skip your own clay,skip your own clay,1.0,0.8,0.3333,1.3333
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rahmet the dhariya ilahi,play rahmet the dhariya ilahi,0.8,0.2593,0.2,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by mya pati shreeram chandr,play songs by mya pati shreeram chandr,0.6667,0.1026,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy three a year become famous,0.6667,0.2286,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G03640-G03640S2365,AESRC2020-INDIAN-ACCENT-G03640,4.752,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,when is rahat fateh ali khan and tanishk bagchi next concert,when is rahat fateh ali khan and tanishk bagchi next concert,when is rat fathe alik han and tani's bhakchi next concert,when is rat fathe alik han and tani s bhakchi next concert,0.6364,0.1833,0.4545,1.0909
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by benny dick silver man orchestra and choral,play songs by benny dick silver man orchestra and choral,0.625,0.1509,0.625,1.25
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambu bada pao center have take away,does best jambu bada pao center have take away,0.625,0.1111,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2346,AESRC2020-INDIAN-ACCENT-G02207,2.907,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,show more shows like legion,show more shows like legion,show more sauce like leggi on,show more sauce like leggi on,0.6,0.2222,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,lay the prince ascetic next,lay the prince ascetic next,lay the prince as kettic necks,lay the prince as kettic necks,0.6,0.2222,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,3.92,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,how many branches does she gai tree bhujanalai,how many branches does she gai tree bhujanalai,0.5714,0.2174,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,change the song to everyday we lit,change the song to everyday we lit,since the song to every day we lead,since the song to every day we lead,0.5714,0.2353,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G23248-G23248S2366,AESRC2020-INDIAN-ACCENT-G23248,3.825,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,play the complete lakhon mein ek series,play the complete lakhon mein ek series,play the complete laxo meh xreze,play the complete laxo meh xreze,0.5714,0.3077,0.4286,0.8571
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,are pets allowed in rome sat hotel in us,are pets allowed in rome sat hotel in us,0.5556,0.2093,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did bandawla azul day zero earn first debut,when did bandawla azul day zero earn first debut,0.5556,0.2128,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now feels like such a looser our loser,i better rock now feels like such a looser our loser,0.5385,0.2037,0.6667,0.8462
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,3.715,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,replay the song gaal ni kadni,replay the song gaal ni kadni,replay the song galni kadhni,replay the song galni kadhni,0.5,0.1034,0.5,0.8333
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,stop playing the mill,stop playing the mill,stop playing damill,stop playing damill,0.5,0.1905,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,small_aesrc_ft_seed45,transcript_clean,gold,only play songs by ismael belouch,only play songs by ismael belouch,only play songs why ismael be luch,only play songs why ismael be luch,0.5,0.1212,0.6667,1.1667
