split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G12929-G12929S2350,AESRC2020-INDIAN-ACCENT-G12929,4.34,INDIAN,tiny_hf,whisper_norm,gold,i want to know the ten day weather forecast in howrah,i want to know the 10 day weather forecast in howrah,I want to know the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste,i want to know the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste,39.9091,36.1923,0.4545,40.3636
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S1299,AESRC2020-INDIAN-ACCENT-G13842,5.032,INDIAN,tiny_hf,whisper_norm,gold,three comes after one five comes after three and so on what's after nine,3 comes after 15 comes after 3 and so on what is after 9,"3 curves after 1, 5 curves after 3 and so on, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",3 curves after one 5 curves after 3 and so on one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one,15.7143,15.5179,0.5,16.2143
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,tiny_hf,whisper_norm,gold,one nine zero four eight six nine one six three,1904869163,1 9 0 4 8 6 9 1 6 3,one 9 0 4 8 6 9 one 6 3,10.0,1.5,0.0,10.0
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny_hf,whisper_norm,gold,will there be snow in amsterda,will there be snow in amsterda,"Well, there's no end. I'm scared of that.",well there is no end i am scared of that,1.5,0.6667,0.1667,1.6667
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny_hf,whisper_norm,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,"Please, don't forget to subscribe to my channel.",please do not forget to subscribe to my channel,1.5,0.7949,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,tiny_hf,whisper_norm,gold,five fifty four am,554 am,5 54m.,5 54 m,1.5,0.3333,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,tiny_hf,whisper_norm,gold,skip apni mitti,skip apni mitti,escape its own meaty.,escape its own meaty,1.3333,0.9333,0.0,1.3333
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny_hf,whisper_norm,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,Give the next to clear in the things on.,give the next to clear in the things on,1.1667,0.6286,0.3333,1.5
test,AESRC2020-INDIAN-ACCENT-G33289-G33289S2353,AESRC2020-INDIAN-ACCENT-G33289,3.585,INDIAN,tiny_hf,whisper_norm,gold,what is the altitude in nellore,what is the altitude in nellore,What is the LT-T-U-D-N-N-LOR?,what is the lieutenant t u d n n lor,1.1667,0.5161,0.5,1.6667
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_hf,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,Dodge based jump-up and a power center have taken away.,dodge based jump up and a power center have taken away,1.125,0.4222,0.25,1.375
