split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,tiny,whisper_norm,gold,..,.,can be written as,can be written as,4.0,17.0,0.0,4.0
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,tiny,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5. So f is c into 4 minus 2 into 5 which is 2.,f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),tiny,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people that I've permanent okay so that's too and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people that I've at the bus stop k is that zero right so I'll put it's a substitute k would zero,rate could be something like well 2 people that i have permanent okay so that is too and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people that i have at the bus stop k is that 0 right so i will put it is a substitute k would 0,1.3333,0.8034,0.1176,1.3958
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),tiny,whisper_norm,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 0 52 22059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"in short time S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square H rho G. So, 8 pi mu S d S d T is equal to pi r square H rho G. So, S d S d T is equal to r square H rho G by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by 8 mu,1.2286,1.2759,0.7143,1.9714
test,g1vBAfoGvSI,42,21.28,M,SLOW,NORTH,Non-Engineering,Cycloaddition Reactions - II,tiny,whisper_norm,gold,"dienes for diels alder reaction, but if you take this type of cases like these are S cis",dienes for diels alder reaction but if you take this type of cases like these are s cis,times for the other reaction. But if you take this type of cases like this other When you are at it with your thoughts complex possible external thoughts other than if you treat,times for the other reaction but if you take this type of cases like this other when you are at it with your thoughts complex possible external thoughts other than if you treat,1.1667,1.1839,0.6667,1.8333
test,l8kIWLWfbZ8,195,15.83,M,FAST,SOUTH,Engineering,- MESFET : Effects of channel length and gate length on IDS and gm,tiny,whisper_norm,gold,it is not Vpo it is Vpo cylindrical is equal to q ND amplitude twice epsilon r epsilon,it is not vpo it is vpo cylindrical is equal to q nd amplitude twice epsilon r epsilon,"In fact, it is not if you throw it, it will be throw a friend at all. A is equal to 3 and the magnitude, 5 epsilon are epsilon 0.",in fact it is not if you throw it it will be throw a friend at all a is equal to 3 and the magnitude 5 epsilon are epsilon 0,1.1667,0.7209,0.4615,1.6667
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,tiny,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"x by. So, it is h square by. So, it was 3 factorial and that multiplied by 2. So, that it becomes 3 and divided by 2. Yes.",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.1,0.988,0.6471,1.4
test,sCXbZp08jMA,49,24.12,M,FAST,SOUTH,Engineering,6 Soil Mechanics,tiny,whisper_norm,gold,depth z is given by (N dash) into W by V) where Ws is equal to W by V. Unit weight of suspension after elapsing time td can be determined at depth z is (gamma z) is equal to [(gamma w) plus N dash (W by V) into (Gs minus 1) by Gs)]. From this rearranging,depth z is given by into w by v where ws is equal to w by v unit weight of suspension after elapsing time td can be determined at depth z is is equal to from this rearranging,"z is given by z is equal to n at the z is given by n dash into w by v where w is equal to w by v. So, unit weight of suspension after alapsing time t can be determined at the z as gamma z is equal to gamma w in plus n dash w by v into g s minus 1 divided by g s. So, from this root.",z is given by z is equal to n at the z is given by n dash into w by v where w is equal to w by v so unit weight of suspension after alapsing time t can be determined at the z as gamma z is equal to gamma w in plus n dash w by v into g s -one divided by g s so from this root,1.0526,0.7184,0.8148,1.8684
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,tiny,whisper_norm,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
test,RZQTTfU9TNA,284,29.08,M,FAST,SOUTH,Engineering,Encoders and Decoders,tiny,whisper_norm,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,"this is a practical 3T code. Actually, I can give you the IC number if you want to it is 7 4 1 3 8. Doesn't matter, do not have to remember numbers, I do not remember numbers. I always become in fact, I am not even sure it is 1 2 8 or 1 3 8, I think it is 1 3 8. Somebody has a book and have a quick look at it. Anyway, now.",this is a practical 3 t code actually i can give you the ic number if you want to it is 7 4 one 3 8 does not matter do not have to remember numbers i do not remember numbers i always become in fact i am not even sure it is one 2 8 or one 3 8 i think it is one 3 8 somebody has a book and have a quick look at it anyway now,0.9792,0.8146,0.7714,1.6458
