split,ID,Speaker_ID,Speech_Duration_seconds,Accent,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,4.906,INDIAN,in accordance to your request i am sending you sample pages of the dictionary,,In accordance to our request I am sending you sample pages of the dictionary.
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,3.874,INDIAN,i want to listen to joy to the world again,,I want to listen to Joy to the World again.
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,3.479,INDIAN,i want to listen to secret lovers again,,I want to listen to Secret Lovers again.
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,laundry reminder,,laundry reminder
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,6.331,INDIAN,the pupil's party have got the election sewn up they are sure to win,,"The pupils party have got the election, so when up they are sure to win."
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,5.306,INDIAN,fill in the chart write names of your favorite band book and movie,,"Fill in the chart right names of your favorite band, book and movie."
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,5.245,INDIAN,how much is stayfree sanitary pad drymax all night,,How much is the Stifry's sanitary pad? Dry Max all night.
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,3.715,INDIAN,replay the song gaal ni kadni,,"Replay the song, goal knee cut knee."
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,6.375,INDIAN,in a scramble in front of the goal the ball was kicked in,,"In a scramble in front of the goal, the ball was kicked in."
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,7.685,INDIAN,the meeting was a dud as far as new business was concerned,,The meeting was a dot as far as new business was concerned.
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,play songs by mynampati sreeram chandra,,"Please, don't forget to subscribe to my channel."
