ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,0.7957,0.0343,224
gS5iH0QkPHg,25.59,1.1838,0.0463,304
D7Zu1-9kSUg,17.211,0.7182,0.0417,237
rNdMsEHElc4,27.01,1.1646,0.0431,326
aD_BO4DwxlU,21.94,0.8706,0.0397,266
_A5wRmd2rwI,23.04,0.9367,0.0407,355
fGR_qtyRP_I,33.05,1.2256,0.0371,368
5hscXtk6usE,30.291,1.1745,0.0388,354
J_lm2iJ0l0k,27.43,1.1337,0.0413,360
kPnr_57oii4,29.74,0.3939,0.0132,50
hOoGiaUkKpc,25.28,0.8899,0.0352,355
XbUgxPtJuUg,19.66,0.8217,0.0418,230
GOUowwtdcPU,21.16,1.0858,0.0513,362
H1cq5p2nryw,23.09,1.15,0.0498,244
6lqsHV_2yJc,19.76,0.738,0.0374,179
f2kikEusCEM,23.459,1.2068,0.0514,325
uTwm3Zv1HfA,25.431,0.7742,0.0304,195
xacD9zJCqZ4,26.68,1.52,0.057,338
h47JDhpdYe0,24.081,0.6626,0.0275,155
vNNLvowQqoU,23.769,0.8735,0.0367,236
thF6wrlwdTQ,20.33,0.3907,0.0192,104
whCu4Xl3m98,14.58,0.5445,0.0373,111
P5nwZQe4QYI,19.92,0.9843,0.0494,348
JH9x87yjoEk,26.319,1.1101,0.0422,344
4ZydYE-0994,24.601,0.9311,0.0378,354
w_ZPOjcxD8U,33.82,1.0899,0.0322,285
1JGSQQRu4fg,12.321,0.6137,0.0498,154
F2NqTIej98Q,28.819,1.1427,0.0397,321
pGu3HxJQF7I,24.49,0.8085,0.033,255
0zceBXshBzA,22.88,0.9004,0.0394,318
6704d9DDwLo,24.379,1.6155,0.0663,266
VLv1adcoiWo,25.249,1.4548,0.0576,352
dgyPeFemyL8,23.23,0.8366,0.036,270
IcN9rLzhV3U,26.53,0.7747,0.0292,231
0AuMdY3IyJ8,27.74,0.7649,0.0276,203
pGT6iJ_z5Vs,26.35,0.7891,0.0299,210
Ct2RYsd7blI,24.67,0.9535,0.0387,271
too4A5mo1Pk,22.25,0.9364,0.0421,365
jnQFMdMSRAE,25.319,0.8707,0.0344,247
Z4WvQ152QP8,21.67,1.1161,0.0515,363
fwRFaZnr2WU,24.49,1.0181,0.0416,348
C1XMxZEjP8I,22.65,0.7865,0.0347,218
FXEgxrRFVMQ,17.31,0.5644,0.0326,154
4LgvOdyaJ04,23.82,1.1595,0.0487,359
kVr9gGPuThY,20.959,0.6291,0.03,175
d7gzALqU95Y,28.34,1.0141,0.0358,361
trHd9k3WKWg,33.63,0.9641,0.0287,324
zz3cEoeWrUo,20.53,0.9091,0.0443,271
DzF13C0g40A,24.42,0.6147,0.0252,168
jcds3fbVLg0,27.45,0.628,0.0229,164
djzzZHbUc80,25.36,1.0323,0.0407,303
gxges_uq5lc,23.58,0.7873,0.0334,263
PcQlvbmHDVY,28.38,0.8026,0.0283,267
aGM0r3QsYYU,35.669,1.2044,0.0338,369
p-JPAGGOvjU,22.07,0.6878,0.0312,210
Y03fkk2zdOE,23.7,0.9213,0.0389,258
pLPQGrvV4_g,29.071,0.9787,0.0337,368
lmr4kETnwi0,22.05,0.992,0.045,324
7r7rLJqhBBw,19.851,0.9551,0.0481,344
JVdBgP5SD14,29.74,1.0629,0.0357,345
rL47ZBWKRd0,19.65,1.1347,0.0577,368
4vl_r79DBKU,24.459,0.9464,0.0387,306
UfS8-eLsxRA,24.41,1.0038,0.0411,346
qXZ11_ZbxOs,26.8,1.1748,0.0438,306
EayOCWaiRkw,27.8,0.7358,0.0265,178
2LyY4t0Gfvs,34.231,1.2666,0.037,415
Byf8i1KkBiY,20.381,0.5856,0.0287,177
hric4h80PDc,22.6,0.9631,0.0426,306
zVkYmU_CUTs,16.759,0.9013,0.0538,283
LORmHAC_vPo,29.63,0.6431,0.0217,146
DPy4x6ffCrw,18.87,0.9501,0.0504,311
OhERfauZmg0,27.86,1.3113,0.0471,372
6aec4K8H9lE,36.23,1.2994,0.0359,352
Rm-APM83TKc,21.98,0.9956,0.0453,298
_Bds8lC3Pog,25.27,1.2546,0.0496,347
o3mpbZ_FRd0,5.34,0.2772,0.0519,43
4WM8zLqbEsE,22.081,0.835,0.0378,278
9xvvXx96_CI,26.29,0.8053,0.0306,249
Ok57xBmSU-o,25.721,0.8251,0.0321,272
x-Gn-sxbIVU,23.6,1.0498,0.0445,345
eF5IzBMbQrc,21.29,0.5311,0.0249,156
994ZNi7rSXo,23.59,0.7631,0.0324,267
irudCaBrij0,22.46,0.8696,0.0387,260
DWsJ_XUm23s,18.631,0.9837,0.0528,273
G0cJFabIo7c,21.23,0.8531,0.0402,261
0JJxZ-OSEek,24.23,1.0576,0.0436,375
_h6CSuwWqYg,18.89,1.0222,0.0541,343
8v1gUk4Mp2E,29.539,1.0031,0.034,354
3GANGKHWwL4,22.43,0.9972,0.0445,249
VmnzH3GZiKw,20.709,1.0578,0.0511,349
YbxyPM62bmM,22.57,0.7939,0.0352,145
bkzKVsIEjxk,38.81,1.5431,0.0398,385
BEkK73VEjes,29.7,1.0203,0.0344,311
BFBPD4Og4Ts,23.88,0.914,0.0383,316
pu2OzGhv1HI,29.3,0.9585,0.0327,333
ZIHXB0bF7jI,24.0,0.981,0.0409,345
drt3AtQPQmE,26.901,1.0515,0.0391,320
_HSRZMTQCF4,27.99,0.8926,0.0319,210
_45M-dO99-M,31.5,0.9991,0.0317,319
Vpoi5W6a3lo,17.64,0.9394,0.0533,302
gQ3q2G4bWz4,22.42,0.6424,0.0287,209
aCvceLLrE0k,29.62,0.9415,0.0318,271
KYbmJo4gN8c,16.239,0.8888,0.0547,269
M4qSgILzluk,23.92,1.043,0.0436,246
ID_gk0aSo0Y,23.95,0.8047,0.0336,296
h6PayciBR2U,23.159,0.8862,0.0383,283
qij9U1yUXdk,27.689,0.7901,0.0285,268
tg4fRsBUkt8,28.931,0.9644,0.0333,344
2O7hALzoIBw,37.64,1.0341,0.0275,303
5uybKFkufN4,20.42,1.4076,0.0689,350
TSU2VE38qUI,20.4,1.0025,0.0491,342
jtMZfLViZu8,37.02,1.4039,0.0379,373
2eMzsfgLgsE,25.179,1.0726,0.0426,326
L5dDpM_qFw8,24.2,0.8625,0.0356,307
WUCMavXbJo4,23.3,0.9589,0.0412,352
K9O2HfajDrY,16.21,0.585,0.0361,170
CCs22FNcCfU,16.229,0.8838,0.0545,274
xYs72hkKM1M,27.17,0.9862,0.0363,307
pPOXG7XRKTw,16.829,0.8518,0.0506,233
3iplfAfGzzI,37.9,0.8835,0.0233,248
7so_WOmSgGo,25.499,0.7706,0.0302,261
E6bPBhZsMUI,24.98,1.0686,0.0428,321
yqx3UQ5_bIE,19.72,0.9447,0.0479,268
4KAQJhDy1Dk,18.53,0.9232,0.0498,293
nwcOtus_7eo,13.909,0.4851,0.0349,88
waKLGmYW6E8,28.481,0.7976,0.028,283
q4E9yaulqyc,25.43,0.9562,0.0376,299
ZR-OJM3NETw,19.18,0.6781,0.0354,202
I71o7J0ZZq0,17.08,0.8027,0.047,209
l8kIWLWfbZ8,15.83,0.7545,0.0477,106
jqFJ9csUH8g,28.41,1.1799,0.0415,354
8NxgVHsiezY,38.819,1.0716,0.0276,331
3rvPfIT3Wro,22.65,1.0844,0.0479,348
RjZw8KxBmXI,21.8,0.5632,0.0258,186
691g3ilakqY,34.54,0.9824,0.0284,249
mMQxPjw5r0U,47.81,1.3265,0.0277,307
h6F6G4ZZuiA,28.85,1.0069,0.0349,282
SUiTcHV2paQ,32.09,1.1701,0.0365,349
Dsi7x-A89Mw,27.379,1.0249,0.0374,328
3pDVU2ptuXc,22.96,1.1886,0.0518,375
yuE86XeGhEA,23.92,0.7515,0.0314,189
M6ku5oRrpVQ,18.03,0.6824,0.0378,175
7-E1_n1OKY8,24.63,0.8588,0.0349,259
1hadPYzPb8A,22.71,0.4395,0.0194,106
7nJvMid1nQ0,13.91,0.6178,0.0444,192
s8fWxRWXzyA,21.049,1.0963,0.0521,345
XorYn_oYRv0,25.47,1.144,0.0449,344
RjZJjneJ5fk,23.11,1.0526,0.0455,343
ZcTTkCWnQNg,28.5,0.8369,0.0294,243
gCfnDn6AzBE,17.03,0.8691,0.051,265
PU_viTA3Fco,34.279,1.0845,0.0316,327
ZkTa-yNNaNE,25.21,1.0839,0.043,345
en84VHnVyCU,21.859,0.8016,0.0367,270
z3MFZezdkz4,23.92,0.685,0.0286,262
WL93rGYf7s0,26.02,1.0792,0.0415,382
IfVWwZipn-k,22.97,1.174,0.0511,356
zk1lXf7Ceiw,1.0,0.2267,0.2267,18
dYvgdN3YRAM,28.74,0.6416,0.0223,164
jqhQx9U9kok,24.44,0.6998,0.0286,215
qfiAIzh2pJQ,16.15,0.8867,0.0549,195
f9JJo49xzj8,21.53,0.7515,0.0349,228
DSdVV8TQUR0,22.041,0.725,0.0329,238
LclyvV5awb0,26.421,1.0843,0.041,349
lnD212vbPSk,26.769,1.1604,0.0433,335
4UFmjCPnhsQ,21.61,0.6958,0.0322,195
Lmi6BPLres4,24.16,1.097,0.0454,339
P5hzwY7_Uzc,20.49,1.1696,0.0571,349
fMJl01wbmWE,27.32,1.3258,0.0485,387
foW2vtPWEU8,31.81,0.9455,0.0297,311
tmNsUXD4SXs,25.74,0.72,0.028,182
OayFGB9Mrw8,38.08,1.1519,0.0302,316
aGvMubj8NXk,17.03,0.8084,0.0475,223
vkjWQzyTjHU,23.111,0.8506,0.0368,210
h0hZcIex-Z8,27.74,0.5737,0.0207,159
ozUsYH3cwVs,19.82,1.1518,0.0581,348
_vnEfLfXxIs,26.25,1.0555,0.0402,361
JmyxDMTpQ4o,33.389,1.1171,0.0335,316
cx5b0kyu-jU,33.31,1.2251,0.0368,355
4qWsaupbZY0,24.059,1.0846,0.0451,367
ZLmqtF2FtkU,21.85,0.8015,0.0367,240
ZZUYzTsBk-0,24.86,0.7705,0.031,202
6I6gTPIZeOk,24.38,1.1622,0.0477,359
oSQofaxaWck,26.31,0.7402,0.0281,248
wb3wDTrr9dM,29.081,0.9922,0.0341,314
Mm9puwlIm5g,24.53,1.2661,0.0516,378
phd9TqHW03Q,25.65,1.0784,0.042,346
tPcTenIPQm4,23.38,1.1577,0.0495,403
cTJ45VdTtEU,25.269,0.9992,0.0395,261
Sg7Q_dC_fWU,22.58,0.8513,0.0377,320
B7Z2U2PsmhY,22.65,0.946,0.0418,365
_KdWxyWHsqk,20.82,1.0587,0.0508,352
ExG0ToMUsEM,26.3,0.9563,0.0364,238
vggipesVGRU,79.47,1.1152,0.014,341
XGTOLHxeHCg,47.39,0.9998,0.0211,315
ksh6OMRFroI,22.93,0.8013,0.0349,222
_rucNS_YpzQ,16.13,0.9907,0.0614,345
p1ZHzSEsCPc,26.411,1.5514,0.0587,344
CFfekXgxHPk,25.86,1.335,0.0516,343
WHWEHwcSI8E,18.87,0.8426,0.0447,299
f-lP08Fiz-s,26.17,1.1823,0.0452,377
