split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,adjust direction to,adjust direction to,add just a reaction to,add just a reaction to,1.3333,0.2632,0.3333,1.6667
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,will there be snow in amsterda,will there be snow in amsterda,will your best no one am stare da,will your best no one am stare da,1.1667,0.4667,0.1667,1.3333
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,decrease speed,decrease speed,the cruise speed,the cruise speed,1.0,0.3571,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karutamutu,favorite karutamutu,1.0,0.1364,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,AESRC2020-INDIAN-ACCENT-G23656,2.674,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,show me mundiyan lyrics,show me mundiyan lyrics,sauce ne mundiyah lirics,sauce ne mundiyah lirics,1.0,0.3043,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,dodge based jambos bada pao shuntar have take away,dodge based jambos bada pao shuntar have take away,1.0,0.3333,0.125,1.125
test,AESRC2020-INDIAN-ACCENT-G91301-G91301S2352,AESRC2020-INDIAN-ACCENT-G91301,2.665,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,what genre of music is priyadarshini,what genre of music is priyadarshini,one genre of music is free at the same time,one genre of music is free at the same time,1.0,0.5833,0.6667,1.6667
test,AESRC2020-INDIAN-ACCENT-G93639-G93639S2366,AESRC2020-INDIAN-ACCENT-G93639,4.465,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,find gorni kramer music collaborations,find gorni kramer music collaborations,fin gourmet cremeur jib kodoburations,fin gourmet cremeur jib kodoburations,1.0,0.4474,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by bennie dike silver man or dastro and corral,play songs by bennie dike silver man or dastro and corral,0.875,0.283,0.5,1.375
test,AESRC2020-INDIAN-ACCENT-G13176-G13176S2365,AESRC2020-INDIAN-ACCENT-G13176,5.07,INDIAN,tiny_aesrc_ft_seed44,transcript_raw,gold,does handicrafts emporium cater for vegans,does handicrafts emporium cater for vegans,does handy crafts emperor yang catar for vegans,does handy crafts emperor yang catar for vegans,0.8333,0.2381,0.5,1.3333
