split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,large,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,Favorite? Karu Tamil Tu.,favorite karu tamil tu,2.0,0.3182,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,large,transcript_clean,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,1904869163,one billion nine hundred and four million eight hundred and sixty nine thousand one hundred and sixty three,1.1,1.3404,0.7143,1.8
test,AESRC2020-INDIAN-ACCENT-G11445-G11445S2354,AESRC2020-INDIAN-ACCENT-G11445,3.753,INDIAN,large,transcript_clean,gold,does kishore kumar have an upcoming release,does kishore kumar have an upcoming release,Dust ke shor kumar hai when upcoming release?,dust ke shor kumar hai when upcoming release,0.7143,0.2558,0.4286,1.1429
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,large,transcript_clean,gold,of it the plot of lioness,of it the plot of lioness,Or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,large,transcript_clean,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be large.,only play songs while smile be large,0.6667,0.4242,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,large,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did one dollar azul day zero and first debit,when did one dollar azul day zero and first debit,0.6667,0.3404,0.4444,1.1111
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,large,transcript_clean,gold,lay the prince ascetic next,lay the prince ascetic next,Play the Prince as Ketik next.,play the prince as ketik next,0.6,0.1481,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,large,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,Play Rehmat Da Dariya Ilahi.,play rehmat da dariya ilahi,0.6,0.1111,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G23739-G23739S2373,AESRC2020-INDIAN-ACCENT-G23739,4.238,INDIAN,large,transcript_clean,gold,add nutritiously nicola to my watch list,add nutritiously nicola to my watch list,Add NutritiouslyNikola to my watchlist.,add nutritiouslynikola to my watchlist,0.5714,0.075,0.4286,0.7143
test,AESRC2020-INDIAN-ACCENT-G03453-G03453S2355,AESRC2020-INDIAN-ACCENT-G03453,3.819,INDIAN,large,transcript_clean,gold,add the show jeet jayenge hum to the queue,add the show jeet jayenge hum to the queue,"At the show, we will win the queue.",at the show we will win the queue,0.5556,0.4286,0.375,0.8889
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,large,transcript_clean,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,How large is splash top wired as display free?,how large is splash top wired as display free,0.5556,0.1136,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,large,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,Play songs by Mayapati Shriramchandra.,play songs by mayapati shriramchandra,0.5,0.1795,0.5,0.8333
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,large,transcript_clean,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,Create a playlist with only T.N. Shesha Gopalan songs.,create a playlist with only t n shesha gopalan songs,0.5,0.0612,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G02320-G02320S2355,AESRC2020-INDIAN-ACCENT-G02320,2.846,INDIAN,large,transcript_clean,gold,when did neha rajpal first debut,when did neha rajpal first debut,Vindhi Dineha Rajpal first debut,vindhi dineha rajpal first debut,0.5,0.2188,0.5,0.8333
