model,Age,corpus_wer_pct,num_samples
base,18-30,15.23,2219
base,30-45,14.19,2670
base,45-60,13.99,1305
base,60+,14.14,462
medium,18-30,8.76,2219
medium,30-45,7.21,2670
medium,45-60,7.81,1305
medium,60+,7.44,462
large,18-30,8.15,2219
large,30-45,6.16,2670
large,45-60,6.97,1305
large,60+,7.42,462
large_v3_turbo,18-30,8.92,2219
large_v3_turbo,30-45,7.4,2670
large_v3_turbo,45-60,8.18,1305
large_v3_turbo,60+,7.57,462
parakeet,18-30,12.77,2219
parakeet,30-45,10.74,2670
parakeet,45-60,11.72,1305
parakeet,60+,11.88,462
parakeet_ctc,18-30,16.58,2219
parakeet_ctc,30-45,14.52,2670
parakeet_ctc,45-60,16.67,1305
parakeet_ctc,60+,14.41,462
qwen3,18-30,13.27,2219
qwen3,30-45,10.52,2670
qwen3,45-60,12.06,1305
qwen3,60+,10.79,462
