ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.1258,0.0434,30
281474976888909_f3258_chunk_7.wav,7.414,0.2141,0.0289,55
281474976894795_f2258_chunk_11.wav,12.681,0.2773,0.0219,123
281474976899564_f2428_chunk_0.wav,0.263,0.0933,0.3543,4
281474976885777_f1381_chunk_0.wav,2.889,0.1746,0.0604,41
281474976893835_f569_chunk_0.wav,0.862,0.1482,0.1719,11
281474976895412_f1595_chunk_0.wav,0.312,0.1351,0.4335,2
281474976901586_f1451_chunk_0.wav,0.678,0.1342,0.198,4
281474976892134_f1122_chunk_0.wav,3.074,0.1646,0.0535,42
281474976902183_f1898_chunk_0.wav,3.165,0.1525,0.0482,46
281474976889207_f2377_chunk_2.wav,4.053,0.226,0.0558,19
281474976887817_f1763_chunk_0.wav,8.107,0.2384,0.0294,126
281474976895868_f659_chunk_0.wav,0.576,0.1301,0.226,1
281474976901152_f2107_chunk_3.wav,0.75,0.0867,0.1155,2
281474976906745_f2447_chunk_1.wav,3.633,0.6009,0.1654,70
281474976888218_f2769_chunk_0.wav,6.191,0.2856,0.0461,58
281474976884079_f2150_chunk_1.wav,8.867,0.2988,0.0337,114
281474976897522_f1981_chunk_9.wav,1.3,0.181,0.1392,10
281474976888160_f3202_chunk_5.wav,4.783,0.214,0.0447,71
281474976894896_f456_chunk_0.wav,4.31,0.2505,0.0581,74
281474976893750_f2373_chunk_0.wav,6.392,0.163,0.0255,76
281474976893843_f2130_chunk_4.wav,10.617,0.2217,0.0209,96
281474976893153_f2820_chunk_0.wav,2.839,0.1745,0.0614,46
281474976893017_f2672_chunk_0.wav,5.479,0.1698,0.031,75
281474976894273_f3279_chunk_17.wav,8.455,0.2889,0.0342,120
281474976897290_f1204_chunk_0.wav,0.645,0.3243,0.5027,15
281474976897454_f1975_chunk_4.wav,7.72,0.1555,0.0201,74
281474976900333_f1733_chunk_4.wav,0.71,0.3485,0.4912,5
281474976887025_f36_chunk_0.wav,3.393,0.1517,0.0447,41
281474976901454_f524_chunk_0.wav,0.801,0.0906,0.1132,3
281474976895208_f2923_chunk_0.wav,7.571,0.2617,0.0346,106
281474976884627_f3339_chunk_2.wav,2.811,0.1481,0.0527,42
281474976889221_f3229_chunk_0.wav,5.4,0.2465,0.0457,82
281474976901164_f2275_chunk_6.wav,1.103,0.1014,0.092,10
281474976899764_f2324_chunk_0.wav,0.205,0.2976,1.4533,26
281474976903187_f2699_chunk_1.wav,2.356,0.2223,0.0944,33
281474976885801_f2235_chunk_21.wav,4.75,0.2276,0.0479,57
281474976884085_f3239_chunk_23.wav,5.48,0.1713,0.0313,58
281474976901153_f1889_chunk_7.wav,2.522,0.2151,0.0853,36
281474976893848_f3250_chunk_9.wav,9.65,0.286,0.0296,98
281474976893172_f2123_chunk_3.wav,6.109,0.2095,0.0343,111
281474976885800_f1683_chunk_9.wav,5.519,0.1855,0.0336,104
281474976884044_f1919_chunk_1.wav,3.714,0.1559,0.042,20
281474976887807_f3177_chunk_0.wav,5.056,0.2303,0.0455,54
281474976894795_f2258_chunk_22.wav,14.101,0.3487,0.0247,141
281474976892193_f1802_chunk_0.wav,0.608,0.1471,0.2418,3
281474976898621_f2032_chunk_0.wav,1.785,0.15,0.0841,28
281474976894268_f1720_chunk_0.wav,1.26,0.15,0.1191,27
281474976896999_f1689_chunk_1.wav,2.336,0.1381,0.0591,39
281474976886817_f1675_chunk_1.wav,0.62,0.1402,0.226,9
281474976892333_f3244_chunk_6.wav,4.26,0.2044,0.048,37
281474976884637_f2218_chunk_6.wav,4.96,0.2834,0.0571,50
281474976899581_f1864_chunk_5.wav,2.436,0.2028,0.0832,21
281474976899757_f1404_chunk_0.wav,8.84,0.2807,0.0317,67
281474976893846_f3264_chunk_3.wav,13.0,0.3036,0.0234,105
281474976900339_f2186_chunk_1.wav,7.66,0.2784,0.0363,130
281474976893734_f2994_chunk_0.wav,1.732,0.1571,0.0907,31
281474976887640_f478_chunk_0.wav,3.769,0.2511,0.0666,49
281474976884126_f3274_chunk_5.wav,7.408,0.2742,0.037,82
281474976934186_f3139_chunk_1.wav,6.02,0.2624,0.0436,54
281474976893724_f3273_chunk_4.wav,7.036,0.3144,0.0447,101
281474976884131_f3182_chunk_6.wav,10.645,0.2974,0.0279,85
281474976885510_f2092_chunk_3.wav,0.663,0.17,0.2564,7
281474976893915_f2228_chunk_11.wav,5.365,0.2541,0.0474,79
281474976899939_f968_chunk_0.wav,0.159,0.2978,1.876,12
281474976884229_f2757_chunk_0.wav,8.398,0.2309,0.0275,120
281474976894795_f2258_chunk_10.wav,9.13,0.3077,0.0337,109
281474976884478_f2191_chunk_13.wav,2.04,0.1795,0.088,31
281474976890741_f3144_chunk_0.wav,5.229,0.1558,0.0298,34
281474976888961_f1990_chunk_0.wav,17.474,0.3381,0.0194,218
281474976896668_f987_chunk_0.wav,13.922,0.3399,0.0244,90
281474976883938_f1692_chunk_3.wav,0.772,0.274,0.355,8
281474976887081_f2283_chunk_5.wav,0.635,0.1062,0.1672,5
281474976903907_f3262_chunk_4.wav,8.997,0.2064,0.0229,81
281474976888919_f3231_chunk_13.wav,10.92,0.2629,0.0241,82
281474976885801_f2235_chunk_31.wav,3.833,0.1235,0.0322,34
281474976897079_f2874_chunk_0.wav,1.505,0.1445,0.096,17
281474976900647_f780_chunk_0.wav,0.776,0.127,0.1637,7
281474976896669_f986_chunk_0.wav,0.459,0.123,0.2679,5
281474976899969_f3240_chunk_0.wav,7.826,0.2144,0.0274,96
281474976888156_f2040_chunk_8.wav,1.406,0.1308,0.093,7
281474976883875_f917_chunk_0.wav,1.915,0.1622,0.0847,30
281474976897862_f2802_chunk_1.wav,6.502,0.2198,0.0338,31
281474976886889_f844_chunk_0.wav,6.238,0.2005,0.0322,76
281474976898096_f1469_chunk_0.wav,0.511,0.2039,0.3992,6
281474976888231_f1490_chunk_0.wav,3.776,0.151,0.04,39
281474976902188_f2127_chunk_3.wav,1.333,0.1441,0.1081,17
281474976895294_f717_chunk_0.wav,4.078,0.2252,0.0552,66
281474976888909_f3258_chunk_23.wav,10.803,0.2128,0.0197,76
281474976884085_f3239_chunk_34.wav,4.88,0.1611,0.033,70
281474976894794_f3270_chunk_8.wav,6.859,0.1929,0.0281,66
281474976887171_f3278_chunk_8.wav,9.48,0.1999,0.0211,77
281474976898109_f1467_chunk_0.wav,0.566,0.1286,0.2274,9
281474976887080_f3201_chunk_1.wav,6.12,0.2235,0.0365,81
281474976894271_f3141_chunk_13.wav,1.34,0.1179,0.088,25
281474976887082_f3312_chunk_0.wav,6.168,0.2053,0.0333,90
281474976884470_f3243_chunk_8.wav,3.16,0.1662,0.0526,35
281474976899792_f1793_chunk_4.wav,1.589,0.1142,0.0719,18
281474976896155_f453_chunk_0.wav,3.969,0.1637,0.0412,39
281474976893848_f3250_chunk_3.wav,9.45,0.2443,0.0258,94
281474976886870_f3336_chunk_0.wav,5.56,0.2296,0.0413,87
281474976893174_f1860_chunk_2.wav,1.69,0.1452,0.0859,28
281474976884085_f3239_chunk_3.wav,2.147,0.1208,0.0563,24
281474976925450_f2431_chunk_0.wav,1.862,0.1747,0.0938,24
281474976887150_f2645_chunk_0.wav,3.185,0.2067,0.0649,50
281474976887660_f3286_chunk_1.wav,7.636,0.5879,0.077,106
281474976894332_f3200_chunk_1.wav,9.997,0.279,0.0279,127
281474976893063_f159_chunk_0.wav,12.016,0.344,0.0286,169
281474976906767_f2453_chunk_0.wav,0.521,0.1942,0.3728,5
281474976883946_f1999_chunk_9.wav,9.473,0.2862,0.0302,129
