split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,YOi4ONq4Zsk,125,37.18,M,SLOW,EAST,Engineering,of Difference Equation,small_ft,transcript_clean,gold,"be 1. What will be y 1? 0.8, it will be now y 0 which is 1 plus x at 1 is 0, so that will be 0.8. What will be y at 2? It will be 0.8 into again 0.8 plus 0. So, 0.64, so it will continue to give you output which will be gradually diminishing in magnitude but it",be one what will be y one zero point eight it will be now y zero which is one plus x at one is zero so that will be zero point eight what will be y at two it will be zero point eight into again zero point eight plus zero so zero point six four so it will continue to give you output which will be gradually diminishing in magnitude but it,"be 1. What will be y 1, 0.8 it will be now y 0 which is 1 plus x at 1 is 0. So that will be 0.8. What will be y at 2, it will be 0.8 into again 0.8 plus 0, 0.64. So if you will continue to give you output, 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again",be one what will be y one zero point eight it will be now y zero which is one plus x at one is zero so that will be zero point eight what will be y at two it will be zero point eight into again zero point eight plus zero zero point six four so if you will continue to give you output zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again zero point six into again,5.726,6.3047,0.8438,6.5616
test,jtMZfLViZu8,224,37.02,M,SLOW,NORTH,Engineering,Lecture 1 Finite Element Method,small_ft,transcript_clean,gold,"thetayi, and wi at each of these 4 nodes which have coordinates xi tau, yi tau in this expanded form. How many values we have? We have 12 values; it is a twelfth order, there are terms in this expression. We can write it as, this whole thing wi, w1 thetay1, thetax1, then w2, thetay2, thetax2 up to all the way down to w4, thetay4, thetax4 this is equal to this",thetayi and wi at each of these four nodes which have coordinates xi tau yi tau in this expanded form how many values we have we have twelve values it is a twelfth order there are terms in this expression we can write it as this whole thing wi w1 thetay1 thetax1 then w2 thetay2 thetax2 up to all the way down to w4 thetay4 thetax4 this is equal to this,"x i, theta y i and w i at each of these four nodes which have coordinates x i tau y i tau in this expanded form. How many values now we have? We have 12 values, there are 12 terms in this expression. Now, we solve for, we can write it as this whole thing w i, w 1, theta y 1, theta x 1, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i y1 theta x1 then w2 theta y2 theta x2 up to all the way down to",x i theta y i and w i at each of these four nodes which have coordinates x i tau y i tau in this expanded form how many values now we have we have twelve values there are twelve terms in this expression now we solve for we can write it as this whole thing w i w one theta y one theta x one then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i y1 theta x1 then w2 theta y2 theta x2 up to all the way down to,4.4507,2.4788,0.6909,4.9577
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,small_ft,transcript_clean,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"which we have seen, c times n minus 1 minus 2 j. Sorry, I made a mistake here. j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1, that is 2, and j is 5. So, f is c into 4 minus 2 into 5, which is 2.",which we have seen c times n minus one minus two j sorry i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.5833,1.3585,0.9412,2.4167
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),small_ft,transcript_clean,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"rate could be something like, well, 2 people arrive per minute. So, that is 2. And, I want to ask the question, what is the probability 0 people will arrive over the next minute? So, I would say, on average 2 people arrive at the bus stop, k is that 0. So, I will substitute k with 0.",rate could be something like well two people arrive per minute so that is two and i want to ask the question what is the probability zero people will arrive over the next minute so i would say on average two people arrive at the bus stop k is that zero so i will substitute k with zero,1.1667,0.769,0.1176,1.2083
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,small_ft,transcript_clean,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by so it is h square by so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2, yes.",x by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,1.1,0.956,0.6471,1.4
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,small_ft,transcript_clean,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,thing in a new monetary methods problem generally we work on shared memory model but people are working now a days on class time exchange now the next problem is that you have to tell me how i can do it,thing in a new monetary methods problem generally we work on shared memory model but people are working now a days on class time exchange now the next problem is that you have to tell me how i can do it,1.0,0.8506,0.3214,1.0
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,small_ft,transcript_clean,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,i wont say assumption ah but it is an abstraction we will talk about how it affects our analysis so ah as many number of processors as you need which means it is valid for single processors to machine of even million processors yes right ah um the one is the amount of resources how much memory i have how much local versus auto shared,i wont say assumption ah but it is an abstraction we will talk about how it affects our analysis so ah as many number of processors as you need which means it is valid for single processors to machine of even million processors yes right ah um the one is the amount of resources how much memory i have how much local versus auto shared,1.0,0.8989,0.8667,1.8571
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),small_ft,transcript_clean,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,much higher compared to the summit and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying birds once the sludge is tried. How can we remove it? We have to remove the sludge from the sludge trying bird manually. So it is a labor intensive process and,much higher compared to the summit and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying birds once the sludge is tried how can we remove it we have to remove the sludge from the sludge trying bird manually so it is a labor intensive process and,0.9643,0.7121,0.2286,1.125
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,small_ft,transcript_clean,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"So, Rn-Bn¬plus resin means activity of Bn¬plus in the resin and Bn¬plus 1s means activity of Bn¬plus in the solution.",so rn bn plus resin means activity of bn plus in the resin and bn plus 1s means activity of bn plus in the solution,0.9362,0.7438,0.1389,0.5319
test,qBw8ZQrJeys,292,7.01,M,SLOW,SOUTH,Engineering,Level Testing,small_ft,transcript_clean,gold,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.",that is also saw it as an input may not be a functional requirements this is a dependent in the message okay so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,this we will continue in the next video.,this we will continue in the next video,0.9111,0.8696,0.1053,0.1778
