ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.2563,0.0884,32
281474976888909_f3258_chunk_7.wav,7.414,0.3544,0.0478,56
281474976894795_f2258_chunk_11.wav,12.681,0.4429,0.0349,112
281474976899564_f2428_chunk_0.wav,0.263,0.4105,1.5588,2
281474976885777_f1381_chunk_0.wav,2.889,0.2894,0.1002,41
281474976893835_f569_chunk_0.wav,0.862,0.1746,0.2026,9
281474976895412_f1595_chunk_0.wav,0.312,0.2097,0.6726,2
281474976901586_f1451_chunk_0.wav,0.678,0.2196,0.324,4
281474976892134_f1122_chunk_0.wav,3.074,0.2176,0.0708,42
281474976902183_f1898_chunk_0.wav,3.165,0.2316,0.0732,46
281474976889207_f2377_chunk_2.wav,4.053,0.3417,0.0843,23
281474976887817_f1763_chunk_0.wav,8.107,0.4137,0.051,126
281474976895868_f659_chunk_0.wav,0.576,0.186,0.3231,5
281474976901152_f2107_chunk_3.wav,0.75,0.1532,0.2041,2
281474976906745_f2447_chunk_1.wav,3.633,0.3825,0.1053,51
281474976888218_f2769_chunk_0.wav,6.191,0.3155,0.051,57
281474976884079_f2150_chunk_1.wav,8.867,0.5416,0.0611,122
281474976897522_f1981_chunk_9.wav,1.3,0.1523,0.1172,10
281474976888160_f3202_chunk_5.wav,4.783,0.3337,0.0698,70
281474976894896_f456_chunk_0.wav,4.31,0.3114,0.0722,73
281474976893750_f2373_chunk_0.wav,6.392,0.3225,0.0505,76
281474976893843_f2130_chunk_4.wav,10.617,0.5022,0.0473,105
281474976893153_f2820_chunk_0.wav,2.839,0.2233,0.0786,46
281474976893017_f2672_chunk_0.wav,5.479,0.2636,0.0481,73
281474976894273_f3279_chunk_17.wav,8.455,0.5434,0.0643,110
281474976897290_f1204_chunk_0.wav,0.645,0.2393,0.3709,5
281474976897454_f1975_chunk_4.wav,7.72,0.3576,0.0463,74
281474976900333_f1733_chunk_4.wav,0.71,0.6084,0.8575,8
281474976887025_f36_chunk_0.wav,3.393,0.2646,0.078,38
281474976901454_f524_chunk_0.wav,0.801,0.1624,0.2029,3
281474976895208_f2923_chunk_0.wav,7.571,0.4589,0.0606,109
281474976884627_f3339_chunk_2.wav,2.811,0.3532,0.1256,43
281474976889221_f3229_chunk_0.wav,5.4,0.3777,0.0699,85
281474976901164_f2275_chunk_6.wav,1.103,0.1478,0.134,10
281474976899764_f2324_chunk_0.wav,0.205,0.1483,0.7245,3
281474976903187_f2699_chunk_1.wav,2.356,0.2506,0.1064,33
281474976885801_f2235_chunk_21.wav,4.75,0.2453,0.0517,56
281474976884085_f3239_chunk_23.wav,5.48,0.3558,0.0649,62
281474976901153_f1889_chunk_7.wav,2.522,0.2546,0.1009,38
281474976893848_f3250_chunk_9.wav,9.65,0.4231,0.0438,85
281474976893172_f2123_chunk_3.wav,6.109,0.488,0.0799,111
281474976885800_f1683_chunk_9.wav,5.519,0.3375,0.0612,104
281474976884044_f1919_chunk_1.wav,3.714,0.1769,0.0476,20
281474976887807_f3177_chunk_0.wav,5.056,0.4073,0.0806,52
281474976894795_f2258_chunk_22.wav,14.101,0.7129,0.0506,138
281474976892193_f1802_chunk_0.wav,0.608,0.1648,0.2709,3
281474976898621_f2032_chunk_0.wav,1.785,0.2153,0.1206,28
281474976894268_f1720_chunk_0.wav,1.26,0.3035,0.2408,27
281474976896999_f1689_chunk_1.wav,2.336,0.293,0.1254,39
281474976886817_f1675_chunk_1.wav,0.62,0.1648,0.2657,8
281474976892333_f3244_chunk_6.wav,4.26,0.3169,0.0744,37
281474976884637_f2218_chunk_6.wav,4.96,0.2487,0.0501,47
281474976899581_f1864_chunk_5.wav,2.436,0.2137,0.0877,21
281474976899757_f1404_chunk_0.wav,8.84,0.4313,0.0488,75
281474976893846_f3264_chunk_3.wav,13.0,0.3892,0.0299,105
281474976900339_f2186_chunk_1.wav,7.66,0.5477,0.0715,131
281474976893734_f2994_chunk_0.wav,1.732,0.2502,0.1445,32
281474976887640_f478_chunk_0.wav,3.769,0.2912,0.0772,50
281474976884126_f3274_chunk_5.wav,7.408,0.3858,0.0521,81
281474976934186_f3139_chunk_1.wav,6.02,0.2978,0.0495,54
281474976893724_f3273_chunk_4.wav,7.036,0.3636,0.0517,101
281474976884131_f3182_chunk_6.wav,10.645,0.3248,0.0305,85
281474976885510_f2092_chunk_3.wav,0.663,0.4776,0.7205,5
281474976893915_f2228_chunk_11.wav,5.365,0.3697,0.0689,81
281474976899939_f968_chunk_0.wav,0.159,0.1496,0.9421,10
281474976884229_f2757_chunk_0.wav,8.398,0.3935,0.0469,118
281474976894795_f2258_chunk_10.wav,9.13,0.5773,0.0632,108
281474976884478_f2191_chunk_13.wav,2.04,0.2301,0.1128,31
281474976890741_f3144_chunk_0.wav,5.229,0.3181,0.0608,35
281474976888961_f1990_chunk_0.wav,17.474,0.7115,0.0407,218
281474976896668_f987_chunk_0.wav,13.922,0.4889,0.0351,69
281474976883938_f1692_chunk_3.wav,0.772,0.2053,0.266,9
281474976887081_f2283_chunk_5.wav,0.635,0.1405,0.2212,5
281474976903907_f3262_chunk_4.wav,8.997,0.4094,0.0455,83
281474976888919_f3231_chunk_13.wav,10.92,0.3675,0.0336,87
281474976885801_f2235_chunk_31.wav,3.833,0.2429,0.0634,30
281474976897079_f2874_chunk_0.wav,1.505,0.1512,0.1004,17
281474976900647_f780_chunk_0.wav,0.776,0.1324,0.1707,7
281474976896669_f986_chunk_0.wav,0.459,0.1387,0.3022,5
281474976899969_f3240_chunk_0.wav,7.826,0.341,0.0436,96
281474976888156_f2040_chunk_8.wav,1.406,0.2018,0.1435,8
281474976883875_f917_chunk_0.wav,1.915,0.2507,0.1309,34
281474976897862_f2802_chunk_1.wav,6.502,0.306,0.0471,31
281474976886889_f844_chunk_0.wav,6.238,0.3746,0.06,78
281474976898096_f1469_chunk_0.wav,0.511,0.2351,0.4604,4
281474976888231_f1490_chunk_0.wav,3.776,0.2519,0.0667,39
281474976902188_f2127_chunk_3.wav,1.333,0.3062,0.2296,18
281474976895294_f717_chunk_0.wav,4.078,0.3854,0.0945,54
281474976888909_f3258_chunk_23.wav,10.803,0.4681,0.0433,77
281474976884085_f3239_chunk_34.wav,4.88,0.4356,0.0893,70
281474976894794_f3270_chunk_8.wav,6.859,0.3425,0.0499,67
281474976887171_f3278_chunk_8.wav,9.48,0.4351,0.0459,85
281474976898109_f1467_chunk_0.wav,0.566,0.1362,0.2407,9
281474976887080_f3201_chunk_1.wav,6.12,0.384,0.0627,83
281474976894271_f3141_chunk_13.wav,1.34,0.252,0.1881,21
281474976887082_f3312_chunk_0.wav,6.168,0.4008,0.065,89
281474976884470_f3243_chunk_8.wav,3.16,0.3111,0.0985,40
281474976899792_f1793_chunk_4.wav,1.589,0.2319,0.1459,17
281474976896155_f453_chunk_0.wav,3.969,0.3021,0.0761,42
281474976893848_f3250_chunk_3.wav,9.45,0.489,0.0517,100
281474976886870_f3336_chunk_0.wav,5.56,0.4674,0.0841,87
281474976893174_f1860_chunk_2.wav,1.69,0.2395,0.1417,29
281474976884085_f3239_chunk_3.wav,2.147,0.1801,0.0839,29
281474976925450_f2431_chunk_0.wav,1.862,0.2776,0.1491,24
281474976887150_f2645_chunk_0.wav,3.185,0.271,0.0851,51
281474976887660_f3286_chunk_1.wav,7.636,0.3842,0.0503,82
281474976894332_f3200_chunk_1.wav,9.997,0.4963,0.0496,131
281474976893063_f159_chunk_0.wav,12.016,0.5958,0.0496,160
281474976906767_f2453_chunk_0.wav,0.521,0.2013,0.3864,5
281474976883946_f1999_chunk_9.wav,9.473,0.4205,0.0444,128
281474976897115_f3174_chunk_0.wav,5.11,0.324,0.0634,82
281474976888873_f2272_chunk_22.wav,3.875,0.2388,0.0616,27
281474976895434_f1887_chunk_2.wav,4.969,0.2624,0.0528,73
281474976893060_f1738_chunk_2.wav,1.58,0.2731,0.1729,17
281474976903869_f1624_chunk_0.wav,4.898,0.2883,0.0589,51
281474976893915_f2228_chunk_1.wav,4.137,0.398,0.0962,64
281474976897387_f2253_chunk_1.wav,1.116,0.2156,0.1931,11
281474976885804_f1685_chunk_10.wav,3.3,0.3131,0.0949,37
281474976888919_f3231_chunk_9.wav,7.58,0.4339,0.0572,78
281474976886852_f238_chunk_0.wav,8.452,0.4451,0.0527,117
281474976886874_f1933_chunk_0.wav,9.883,0.5656,0.0572,153
281474976898393_f3128_chunk_0.wav,7.12,0.3673,0.0516,88
281474976888866_f2195_chunk_7.wav,13.952,0.5282,0.0379,134
281474976893909_f2140_chunk_4.wav,7.975,0.3641,0.0457,82
281474976901593_f1446_chunk_0.wav,0.684,0.2288,0.3343,6
281474976897000_f2147_chunk_3.wav,2.3,0.2415,0.105,32
281474976894895_f747_chunk_0.wav,4.537,0.4101,0.0904,61
281474976896751_f2714_chunk_0.wav,0.38,0.1358,0.3574,5
281474976897307_f3234_chunk_0.wav,3.44,0.2269,0.0659,44
281474976893696_f2692_chunk_0.wav,0.564,0.1854,0.3285,6
281474976895429_f2104_chunk_8.wav,9.199,0.3524,0.0383,100
281474976915903_f3188_chunk_1.wav,8.07,0.4273,0.0529,86
281474976899798_f2095_chunk_3.wav,6.846,0.4292,0.0627,99
281474976886793_f1328_chunk_1.wav,2.08,0.2523,0.1213,42
281474976890723_f2836_chunk_0.wav,2.743,0.2836,0.1034,46
281474976888161_f1851_chunk_9.wav,1.162,0.1512,0.1301,9
281474976897454_f1975_chunk_7.wav,3.78,0.2126,0.0562,30
281474976883820_f1191_chunk_0.wav,2.082,0.2396,0.1151,25
281474976892141_f2594_chunk_0.wav,5.143,0.3887,0.0756,70
281474976884129_f3284_chunk_4.wav,7.2,0.3362,0.0467,61
281474976897460_f2190_chunk_1.wav,6.215,0.3788,0.0609,85
281474976896770_f3298_chunk_6.wav,6.251,0.3703,0.0592,87
281474976893071_f3151_chunk_3.wav,5.14,0.3072,0.0598,73
281474976900642_f154_chunk_0.wav,4.594,0.3264,0.071,67
281474976901605_f2022_chunk_6.wav,4.534,0.3474,0.0766,64
281474976893852_f1949_chunk_0.wav,17.274,0.6691,0.0387,187
281474976896757_f1719_chunk_2.wav,0.676,0.1857,0.2746,9
281474976897540_f438_chunk_0.wav,3.944,0.2942,0.0746,49
281474976898132_f2234_chunk_2.wav,11.249,0.4262,0.0379,129
281474976895165_f2773_chunk_0.wav,5.748,0.5,0.087,68
281474976897423_f442_chunk_0.wav,7.415,0.539,0.0727,70
281474976887705_f3172_chunk_5.wav,5.695,0.3251,0.0571,62
281474976893848_f3250_chunk_14.wav,9.05,0.3871,0.0428,54
281474976883938_f1692_chunk_1.wav,0.56,0.2766,0.4942,7
281474976895111_f1208_chunk_0.wav,0.472,0.2051,0.4346,4
281474976884593_f2516_chunk_0.wav,3.188,0.377,0.1182,52
281474976895086_f1130_chunk_0.wav,2.304,0.4457,0.1935,40
281474976901745_f973_chunk_0.wav,6.006,0.5977,0.0995,78
281474976893864_f30_chunk_0.wav,1.208,0.2991,0.2477,26
281474976884634_f2217_chunk_12.wav,4.8,0.4046,0.0843,71
281474976888145_f1900_chunk_0.wav,0.923,0.8173,0.8852,14
281474976888154_f2008_chunk_2.wav,0.654,0.2378,0.3637,7
281474976883744_f1103_chunk_0.wav,8.928,0.7243,0.0811,130
281474976884627_f3339_chunk_6.wav,8.96,0.4885,0.0545,102
281474976893715_f1740_chunk_0.wav,5.551,0.3973,0.0716,70
281474976900596_f3268_chunk_12.wav,3.613,0.2701,0.0747,28
281474976892155_f1770_chunk_0.wav,3.783,0.3184,0.0842,30
281474976896984_f217_chunk_0.wav,0.575,0.2132,0.3707,5
281474976884345_f432_chunk_0.wav,5.93,0.4255,0.0718,67
281474976915880_f2659_chunk_0.wav,0.68,0.1894,0.2785,5
281474976885796_f2048_chunk_5.wav,1.74,0.2526,0.1452,21
281474976899581_f1864_chunk_4.wav,3.32,0.277,0.0834,30
281474976888866_f2195_chunk_19.wav,3.317,0.3081,0.0929,35
281474976883978_f1047_chunk_0.wav,0.521,0.2444,0.4691,4
281474976886872_f2204_chunk_1.wav,2.271,0.2428,0.1069,18
281474976889203_f2817_chunk_1.wav,2.62,0.2254,0.086,9
281474976896999_f1689_chunk_2.wav,2.233,0.2884,0.1292,24
281474976896646_f1667_chunk_0.wav,7.905,0.4847,0.0613,87
281474976884082_f1806_chunk_2.wav,10.204,0.5082,0.0498,94
281474976893913_f2002_chunk_16.wav,3.425,0.3033,0.0885,40
281474976894939_f2193_chunk_5.wav,7.112,0.4946,0.0695,118
281474976887083_f2168_chunk_0.wav,3.448,0.2598,0.0754,52
281474976895315_f2485_chunk_0.wav,0.598,0.6502,1.0879,11
281474976888160_f3202_chunk_0.wav,2.666,0.3605,0.1352,47
281474976888157_f3255_chunk_4.wav,7.938,0.3714,0.0468,57
281474976893004_f484_chunk_0.wav,1.35,0.3147,0.2331,17
281474976893617_f1433_chunk_0.wav,0.271,0.3261,1.2018,6
281474976879627_f1171_chunk_0.wav,4.516,0.3529,0.0781,52
281474976888909_f3258_chunk_20.wav,2.56,0.2879,0.1125,18
281474976885804_f1685_chunk_2.wav,4.466,0.3728,0.0835,43
281474976897895_f1879_chunk_0.wav,6.745,0.4288,0.0636,102
281474976893805_f171_chunk_1.wav,5.886,0.3833,0.0651,64
281474976893071_f3151_chunk_0.wav,6.483,0.3773,0.0582,93
281474976888630_f3289_chunk_2.wav,6.76,0.3025,0.0447,56
281474976893075_f2114_chunk_8.wav,3.03,0.2868,0.0946,47
281474976892193_f1802_chunk_4.wav,0.964,0.2367,0.2456,3
281474976891390_f3043_chunk_1.wav,1.185,0.244,0.2059,20
281474976901608_f2023_chunk_6.wav,3.971,0.3829,0.0964,34
281474976889307_f3158_chunk_0.wav,2.24,0.2922,0.1305,38
281474976888866_f2195_chunk_23.wav,5.55,0.5211,0.0939,103
