split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G12929-G12929S2350,AESRC2020-INDIAN-ACCENT-G12929,4.34,INDIAN,tiny_hf,transcript_clean,gold,i want to know the ten day weather forecast in howrah,i want to know the ten day weather forecast in howrah,I want to know the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste,i want to know the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste of the taste,39.9091,35.4717,0.4545,40.3636
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S1299,AESRC2020-INDIAN-ACCENT-G13842,5.032,INDIAN,tiny_hf,transcript_clean,gold,three comes after one five comes after three and so on what's after nine,three comes after one five comes after three and so on what s after nine,"3 curves after 1, 5 curves after 3 and so on, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",three curves after one five curves after three and so on one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one one,14.5333,11.9722,0.6364,15.1333
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,tiny_hf,transcript_clean,gold,skip apni mitti,skip apni mitti,escape its own meaty.,escape its own meaty,1.3333,0.9333,0.0,1.3333
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny_hf,transcript_clean,gold,will there be snow in amsterda,will there be snow in amsterda,"Well, there's no end. I'm scared of that.",well there s no end im scared of that,1.3333,0.6333,0.1667,1.5
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny_hf,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,"Please, don't forget to subscribe to my channel.",please dont forget to subscribe to my channel,1.3333,0.7692,0.0,1.3333
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny_hf,transcript_clean,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,Give the next to clear in the things on.,give the next to clear in the things on,1.1667,0.6286,0.3333,1.5
test,AESRC2020-INDIAN-ACCENT-G33289-G33289S2353,AESRC2020-INDIAN-ACCENT-G33289,3.585,INDIAN,tiny_hf,transcript_clean,gold,what is the altitude in nellore,what is the altitude in nellore,What is the LT-T-U-D-N-N-LOR?,what is the lt t u d n n lor,1.1667,0.2903,0.5,1.6667
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_hf,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,Dodge based jump-up and a power center have taken away.,dodge based jump up and a power center have taken away,1.125,0.4222,0.25,1.375
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny_hf,transcript_clean,gold,decrease speed,decrease speed,The crease speed.,the crease speed,1.0,0.2143,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G43065-G43065S3375,AESRC2020-INDIAN-ACCENT-G43065,3.115,INDIAN,tiny_hf,transcript_clean,gold,set the alarm at seven am,set the alarm at seven am,Say it to Alam at 7am.,say it to alam at 7am,1.0,0.52,0.1667,1.0
