ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.0776,0.0268,30
281474976888909_f3258_chunk_7.wav,7.414,0.0787,0.0106,54
281474976894795_f2258_chunk_11.wav,12.681,0.0786,0.0062,112
281474976899564_f2428_chunk_0.wav,0.263,0.0822,0.3122,3
281474976885777_f1381_chunk_0.wav,2.889,0.0809,0.028,40
281474976893835_f569_chunk_0.wav,0.862,0.0824,0.0956,8
281474976895412_f1595_chunk_0.wav,0.312,0.0802,0.2572,5
281474976901586_f1451_chunk_0.wav,0.678,0.0827,0.122,3
281474976892134_f1122_chunk_0.wav,3.074,0.0826,0.0269,43
281474976902183_f1898_chunk_0.wav,3.165,0.084,0.0265,45
281474976889207_f2377_chunk_2.wav,4.053,0.081,0.02,56
281474976887817_f1763_chunk_0.wav,8.107,0.0852,0.0105,122
281474976895868_f659_chunk_0.wav,0.576,0.0812,0.1412,4
281474976901152_f2107_chunk_3.wav,0.75,0.0783,0.1043,6
281474976906745_f2447_chunk_1.wav,3.633,0.0903,0.0249,46
281474976888218_f2769_chunk_0.wav,6.191,0.0821,0.0133,56
281474976884079_f2150_chunk_1.wav,8.867,0.086,0.0097,120
281474976897522_f1981_chunk_9.wav,1.3,0.088,0.0677,9
281474976888160_f3202_chunk_5.wav,4.783,0.0854,0.0179,68
281474976894896_f456_chunk_0.wav,4.31,0.082,0.019,72
281474976893750_f2373_chunk_0.wav,6.392,0.082,0.0128,75
281474976893843_f2130_chunk_4.wav,10.617,0.0843,0.0079,105
281474976893153_f2820_chunk_0.wav,2.839,0.0805,0.0284,45
281474976893017_f2672_chunk_0.wav,5.479,0.0801,0.0146,81
281474976894273_f3279_chunk_17.wav,8.455,0.0825,0.0098,108
281474976897290_f1204_chunk_0.wav,0.645,0.0834,0.1293,4
281474976897454_f1975_chunk_4.wav,7.72,0.0839,0.0109,74
281474976900333_f1733_chunk_4.wav,0.71,0.0822,0.1158,8
281474976887025_f36_chunk_0.wav,3.393,0.0794,0.0234,39
281474976901454_f524_chunk_0.wav,0.801,0.08,0.0999,2
281474976895208_f2923_chunk_0.wav,7.571,0.0792,0.0105,106
281474976884627_f3339_chunk_2.wav,2.811,0.0797,0.0283,38
281474976889221_f3229_chunk_0.wav,5.4,0.0807,0.0149,89
281474976901164_f2275_chunk_6.wav,1.103,0.0812,0.0736,9
281474976899764_f2324_chunk_0.wav,0.205,0.074,0.3613,6
281474976903187_f2699_chunk_1.wav,2.356,0.0804,0.0341,32
281474976885801_f2235_chunk_21.wav,4.75,0.0808,0.017,55
281474976884085_f3239_chunk_23.wav,5.48,0.0832,0.0152,64
281474976901153_f1889_chunk_7.wav,2.522,0.086,0.0341,37
281474976893848_f3250_chunk_9.wav,9.65,0.0807,0.0084,98
281474976893172_f2123_chunk_3.wav,6.109,0.0808,0.0132,109
281474976885800_f1683_chunk_9.wav,5.519,0.0817,0.0148,103
281474976884044_f1919_chunk_1.wav,3.714,0.08,0.0215,19
281474976887807_f3177_chunk_0.wav,5.056,0.0806,0.0159,43
281474976894795_f2258_chunk_22.wav,14.101,0.084,0.006,133
281474976892193_f1802_chunk_0.wav,0.608,0.0809,0.133,6
281474976898621_f2032_chunk_0.wav,1.785,0.0819,0.0459,28
281474976894268_f1720_chunk_0.wav,1.26,0.0812,0.0645,26
281474976896999_f1689_chunk_1.wav,2.336,0.0789,0.0338,38
281474976886817_f1675_chunk_1.wav,0.62,0.0816,0.1315,8
281474976892333_f3244_chunk_6.wav,4.26,0.0833,0.0195,45
281474976884637_f2218_chunk_6.wav,4.96,0.0807,0.0163,56
281474976899581_f1864_chunk_5.wav,2.436,0.0895,0.0367,20
281474976899757_f1404_chunk_0.wav,8.84,0.0821,0.0093,125
281474976893846_f3264_chunk_3.wav,13.0,0.0795,0.0061,103
281474976900339_f2186_chunk_1.wav,7.66,0.0814,0.0106,128
281474976893734_f2994_chunk_0.wav,1.732,0.0863,0.0498,31
281474976887640_f478_chunk_0.wav,3.769,0.0801,0.0213,52
281474976884126_f3274_chunk_5.wav,7.408,0.0804,0.0108,76
281474976934186_f3139_chunk_1.wav,6.02,0.0828,0.0137,52
281474976893724_f3273_chunk_4.wav,7.036,0.0818,0.0116,94
281474976884131_f3182_chunk_6.wav,10.645,0.082,0.0077,85
281474976885510_f2092_chunk_3.wav,0.663,0.081,0.1222,8
281474976893915_f2228_chunk_11.wav,5.365,0.0888,0.0166,78
281474976899939_f968_chunk_0.wav,0.159,0.0815,0.5133,0
281474976884229_f2757_chunk_0.wav,8.398,0.0815,0.0097,116
281474976894795_f2258_chunk_10.wav,9.13,0.0839,0.0092,107
281474976884478_f2191_chunk_13.wav,2.04,0.0813,0.0399,30
281474976890741_f3144_chunk_0.wav,5.229,0.0808,0.0155,30
281474976888961_f1990_chunk_0.wav,17.474,0.0949,0.0054,212
281474976896668_f987_chunk_0.wav,13.922,0.0816,0.0059,111
281474976883938_f1692_chunk_3.wav,0.772,0.0816,0.1058,7
281474976887081_f2283_chunk_5.wav,0.635,0.0862,0.1357,7
